d_llave,clee,nom_est,raz_soc,cve_scian,desc_scian,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Numero exterior o kilometro,Letra exterior,Edificio,Edificio Piso,Numero interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado publico",Numero de local,Codigo Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,cve_loc,localidad,Area geoestadistica basica,Manzana,Numero de telefono,Correo electronico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporacion al DENUE,coincide_filtro_scian,coincide_filtro_texto,textil,mezclilla,humedo_explicito,lavado_generico,produccion,maquila,proceso_seco_explicito,scian_textil,scian_acabado_humedo,scian_lavanderia,sector_textil,evidencia_hidrica
11620168,21074315224000081000000000U6,ARTESANIAS PARA CARNAVAL SIN NOMBRE,,315224,Confección en serie de disfraces y trajes típicos,0 a 5 personas,CALLE,AVENIDA LAS HUERTAS,CALLE,CORREGIDORA,PRIVADA,LAS HUERTAS,AVENIDA,ABASOLO,1323,,,,,,BARRIO,CUARTO BARRIO,,,,74158,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,010A,021,2481393693,,,Fijo,19.16739713,-98.40361347,2024-11,True,False,False,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA
9682319,21074314991000271000000000U8,BORDADOS COMPUTARIZADOS,,314991,"Confección, bordado y deshilado de productos textiles",0 a 5 personas,CALLE,20 DE NOVIEMBRE,CALLE,AYALA,PRIVADA,20 DE NOVIEMBRE,CALLE,REFORMA,,SN,,,321,,BARRIO,TERCER,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0044,018,2212343718,,,Fijo,19.16159272,-98.41213947,2024-11,True,True,True,False,False,False,True,False,True,True,False,False,INCLUIR,SIN_EVIDENCIA
10819893,21074314991000251000000000U0,BORDADOS SIN NOMBRE,,314991,"Confección, bordado y deshilado de productos textiles",0 a 5 personas,AVENIDA,VICENTE GUERRERO,CALLE,JOSE MARIA MORELOS,CALLE,NICOLAS BRAVO,CALLE,AVENIDA LAS HUERTAS,,SN,,,,,BARRIO,CUARTO BARRIO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0044,021,2221829292,,,Fijo,19.15990025,-98.40534525,2024-11,True,True,True,False,False,False,True,False,True,True,False,False,INCLUIR,SIN_EVIDENCIA
10066057,21074315224000102000000000U0,BORDARTE,,314991,"Confección, bordado y deshilado de productos textiles",6 a 10 personas,AVENIDA,PORFIRIO DIAZ,CALLE,AYALA,CALLE,REFORMA,AVENIDA,GUADALUPE VICTORIA,305,A,,,,,BARRIO,TERCER,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0044,004,2225866522,,,Fijo,19.160108,-98.40799474,2024-11,True,False,False,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA
10788794,21074315225000221000000000U5,BOUTIQUE ADORA,,315225,Confección de prendas de vestir sobre medida,0 a 5 personas,CALLE,MEXICO PUEBLA MIGUEL JERONIMO MARTINEZ,CALLE,FRAY JUAN DE ALAMEDA,AVENIDA,MIGUEL JERONIMO MARTINEZ,AVENIDA,5 DE MAYO,,SN,,,,,BARRIO,CUARTO BARRIO,,,,74150,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,010A,005,2271123026,,,Fijo,19.16843808,-98.40535238,2024-11,True,False,False,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA
11484735,21074313111000021000000000U3,CASA OLIVER,,313111,Preparación e hilado de fibras duras naturales,0 a 5 personas,AVENIDA,5 DE MAYO,CALLE,PLAZA SAN DIEGO,CALLE,PLAZA PRINCIPAL,AVENIDA,5 DE MAYO,303,,,,,,BARRIO,TERCER,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0044,009,,,,Fijo,19.16097359,-98.4070651,2024-11,True,False,False,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA
9734956,21074315229002843000000000U6,COLMEX CONFECCIONES,COLMEX CONFECCIONES,315229,Confección en serie de otra ropa exterior de materiales textiles,11 a 30 personas,AVENIDA,CARLOS B ZETINA,CALLE,JUAN DE DIOS PEZA,CALLE,MANUEL ACUÑA,AVENIDA,MIGUEL HIDALGO,1410,,,,,,LOCALIDAD,HUEJOTZINGO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0063,005,,,,Fijo,19.1523526,-98.40723685,2024-11,True,True,True,False,False,False,True,False,True,True,False,False,INCLUIR,SIN_EVIDENCIA
10940394,21074315225000211000000000U6,CONFECCIONES DE ROPA PALACIOS,,315225,Confección de prendas de vestir sobre medida,0 a 5 personas,AVENIDA,LA SOLEDAD,CALLE,AMADO NERVO,CALLE,SALVADOR DIAZ MIRON,AVENIDA,MIGUEL HIDALGO,,SN,,,,,BARRIO,SEGUNDO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0063,006,2214351409,,,Fijo,19.1530422,-98.4088014,2024-11,True,True,True,False,False,False,True,False,True,True,False,False,INCLUIR,SIN_EVIDENCIA
8271641,21074465915000021010000000U3,CREACIONES MAYRA,,315224,Confección en serie de disfraces y trajes típicos,0 a 5 personas,AVENIDA,5 DE MAYO,CALLE,LEONA VICARIO,CALLE,JUVENTINO ROSAS,AVENIDA,PORFIRIO DIAZ,915,,,,,,BARRIO,TERCER,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,010A,014,2223698602,,,Fijo,19.16529124,-98.40650601,2019-11,True,False,False,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA
8089749,21074315229001921000000000U1,DESHEBRADO DE PANTALON SIN NOMBRE,,315229,Confección en serie de otra ropa exterior de materiales textiles,0 a 5 personas,AVENIDA,GUADALUPE VICTORIA,CALLE,FRAY JUAN DE ALAMEDA,PROLONGACION,GUADALUPE VICTORIA,AVENIDA,PORFIRIO DIAZ,1508,,,,,,LOCALIDAD,HUEJOTZINGO,,,,74169,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,010A,040,,,,Fijo,19.17098447,-98.40741127,2019-11,True,True,True,True,False,False,True,False,True,True,False,False,INCLUIR,REVISAR
