id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta,_id_key,en_universo_hidrico_preliminar,en_mh,resultado_comparacion,razon_situacion
3326133,21074315229001451000000000U9,DESEBRADO DE BLUSA SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,PRIVADA,DOMINGO ARENAS,CALLE,EL REBOZO,CALLE,ADOLFO LOPEZ MATEOS,CALLE,VIOLETAS PONIENTE,52,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,190,21,2271093445,,,Fijo,19.2125903,-98.38502297,2014-12,3326133,FALSE,TRUE,SOLO_MH,PRODUCCION:EXCLUIR_SECO
3427188,21074315229001062000000000U4,MAQUILA J-RING-O,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,TRIUNFO,CALLE,REAL DE PUEBLA,CALLE,PALMA,PRIVADA,PRIVADA DE LA PALMA,3,,,,,,COLONIA,CENTRO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,25,15,,,,Fijo,19.20766774,-98.38004855,2010-07,3427188,TRUE,FALSE,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR
3427952,21074812210000031010000000U8,MAQUILA DE LAVANDERIA DE PANTALON,,313310,Acabado de productos textiles,0 a 5 personas,CALLE,ZARAGOZA,CALLE,16 DE SEPTIEMBRE,CALLE,INDUSTRIA,CALLE,MAGNOLIA,23,,,,,,COLONIA,CENTRO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,190,14,2211693368,,,Fijo,19.2108461,-98.37936835,2010-07,3427952,TRUE,FALSE,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR
8559575,21074315229001522001000000U7,MAQUILA DE PANTALONES SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,LOS REYES,CALLE,NINGUNO,PRIVADA,PRIVADA DE LA GLORIA,PRIVADA,GLORIA,10,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,25,52,,,,Fijo,19.20874706,-98.37678859,2019-11,8559575,TRUE,FALSE,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR
3427190,21074315229001243002000000U0,MAQUILA DE PANTALONES SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,PRIVADA,PRIVADA DE LA PALMA,CALLE,IXTACUIXTLA SUR,PRIVADA,NINGUNO,CALLE,TRIUNFO,77,,,,,,COLONIA,CENTRO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,25,15,,,,Fijo,19.20763327,-98.37937063,2010-07,3427190,TRUE,FALSE,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR
9811213,21074315229002691000000000U9,MAQUILA DE PANTALONES,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,INDUSTRIA,CALLEJON,CALLEJON DE LA INDUSTRIA,CALLE,INDEPENDENCIA,CALLE,PROVIDENCIA,17,,,,,,COLONIA,CENTRO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,190,7,,,,Fijo,19.21121359,-98.38094548,2024-11,9811213,TRUE,FALSE,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR
10382850,21074314991000261000000000U9,GILCERJEANS,,314991,"Confecci�n, bordado y deshilado de productos textiles",0 a 5 personas,CALLE,MAGNOLIA,PRIVADA,MAGNOLIA,CALLE,INDUSTRIA,CALLE,ZARAGOZA,,SN,,,,,COLONIA,CENTRO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,190,14,2271004885,GILCERJAES@GMAIL.COM,,Fijo,19.21177368,-98.38001572,2024-11,10382850,TRUE,FALSE,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR
3326137,21074315229001301002000000U6,MAQUILA DE PANTALON FOSIL JEANS,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,CALLE,REFORMA,CALLE,VIOLETAS PONIENTE,CALLE,MORELOS,CALLE,MELCHOR OCAMPO,15,,,,,,PUEBLO,SANTA ANA XALMIMINULCO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,190,9,2227054744,JOSEROBERTO.JUAREZC@GMAIL.COM,,Fijo,19.21180747,-98.38308957,2014-12,3326137,TRUE,FALSE,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR
3427211,21074315225000041002000000U7,MAQUILA DE PANTALON SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,PALMA,PRIVADA,NINGUNO,PRIVADA,NINGUNO,CALLE,VENUSTIANO CARRANZA,8,,,,,,COLONIA,CENTRO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,25,2,2271030359,,,Fijo,19.20783852,-98.38225532,2010-07,3427211,FALSE,TRUE,SOLO_MH,AUDITORIA_MANUAL:EXCLUIR_NO_ENCONTRADO
3428204,21074315229000241000000000U5,MAQUILA DE PANTALON DE MESCLILLA,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,CALLE DEL REFUGIO,PRIVADA,NINGUNO,CALLEJON,CALLEJON DEL REFUGIO,CALLE,PROVIDENCIA,22,,,,,,PUEBLO,SANTA ANA XALMIMINULCO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,190,5,,,,Fijo,19.21390585,-98.38287639,2010-07,3428204,TRUE,FALSE,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR
