ID,Nombre,Dirección ,Telefono,Coordenadas 
1,Taller de pantalon ,"Calle Jose Maria Morelos Col. Primero, Huejotzingo, Huejotzingo, Puebla C.P. 74160",2271212571,"19°09'39.9""N 98°24'12.9""W"
2,Maquiladora Estyr Blue Michelle Jeans,"Calle Camelia Col. Primero, Huejotzingo, Huejotzingo, Puebla C.P. 74160",2271017175,"19°09'19.3""N 98°24'01.0""W"
3,Tecni Color,"Avenida Mariano Matamoros Col. Primero, Huejotzingo, Huejotzingo, Puebla C.P. 74160",,"19°09'43.9""N 98°24'08.6""W"
4,Deshebrado de pantalon,"AVENIDA GUADALUPE VICTORIA 1508, Entre CALLE FRAY JUAN DE ALAMEDA / PROLONGACION GUADALUPE VICTORIA / AVENIDA PORFIRIO DIAZ, LOCALIDAD HUEJOTZINGO, C.P. 74169",,"19°10'15.5""N 98°24'26.7""W"
5,Taller Bombom Jenas,"Avenida Ignacio Allende No. 500 Col. Primero, Huejotzingo, Huejotzingo, Puebla C.P. 74160",,"19.161105, -98.401676"
6,Maquila,"Reforma 608, Tercero, Tercer Barrio, 74160 Huejotzingo, Pue.",,"19.159993, -98.409443"
7,Jeans Emociones ,"Calle Jaime Nuno Colonia Tercero Huejotzingo, Huejotzingo, C.P. 74160",,"19°09'51.9""N 98°25'13.8""W"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
