nom_mun,Sectorial,Amplio DENUE,Amplio + MH,Estricto DENUE,Estricto + MH
Ocoyucan,3,0,0,0,0
San Gregorio Atzompa,0,0,0,0,0
San Andrés Cholula,5,2,2,0,0
Puebla,109,25,25,10,10
Amozoc,7,2,2,1,1
San Pedro Cholula,5,1,1,1,1
Cuautlancingo,7,0,0,0,0
Juan C. Bonilla,0,0,0,0,0
Coronango,3,0,0,0,0
San Miguel Xoxtla,4,0,0,0,0
Calpan,0,0,0,0,0
Domingo Arenas,0,0,0,0,0
Tlaltenango,0,0,0,0,0
Huejotzingo,61,14,20,8,15
Chiautzingo,8,2,2,2,2
San Felipe Teotlalcingo,1,0,0,0,0
San Salvador el Verde,7,2,2,1,1
San Martín Texmelucan,27,1,1,0,0
San Matías Tlalancaleca,24,6,6,5,5
Tlahuapan,62,0,0,0,0
