modalidad,estrato,n,porcentaje_universo
Sectorial,0 a 5 personas,3332,83.0922693266833
Amplio DENUE,0 a 5 personas,1595,94.99702203692674
Amplio + MH,0 a 5 personas,1617,94.175888177053
Estricto DENUE,0 a 5 personas,419,89.33901918976545
Estricto + MH,0 a 5 personas,441,86.47058823529412
Sectorial,6 a 10 personas,333,8.30423940149626
Amplio DENUE,6 a 10 personas,55,3.275759380583681
Amplio + MH,6 a 10 personas,61,3.5527082119976705
Estricto DENUE,6 a 10 personas,28,5.970149253731344
Estricto + MH,6 a 10 personas,35,6.862745098039215
