fuente,nombre_mh,id_mh,id_salida,accion,distancia_match_m,similitud_nombre
MH_XALMI,HERA APPAREL,3538483,3538483,AGREGADO_DESDE_DENUE,,
MH_XALMI,Deshebrado de pantalon,,MH_XALMI_SIN_ID_002,AGREGADO_SUPLEMENTARIO,,
MH_XALMI,Maquila de pantalon de mezclilla,,MH_XALMI_SIN_ID_003,AGREGADO_SUPLEMENTARIO,,
MH_XALMI,Taller de maquila de pantalon,,MH_XALMI_SIN_ID_004,AGREGADO_SUPLEMENTARIO,,
MH_XALMI,Taller de bordado,8089452,8089452,YA_PRESENTE,,
MH_XALMI,Taller de deshebrado,8089455,8089455,AGREGADO_DESDE_DENUE,,
MH_XALMI,Taller de maquila de pantalon,3427268,3427268,AGREGADO_DESDE_DENUE,,
MH_XALMI,Maquila de pantalon de mezclilla,3326339,3326339,YA_PRESENTE,,
MH_XALMI,Acabado de pantalon de mezclilla,11359086,11359086,AGREGADO_DESDE_DENUE,,
MH_XALMI,Taller de maquila de pantalon de mezclilla,3326347,3326347,AGREGADO_DESDE_DENUE,,
MH_XALMI,Maquila de pantalon,8089208,8089208,AGREGADO_DESDE_DENUE,,
MH_XALMI,Maquiladora,3327188,MH_XALMI_3327188,AGREGADO_SUPLEMENTARIO,,
MH_XALMI,Taller de maquila de pantalon de mezclilla,9725562,9725562,YA_PRESENTE,,
MH_XALMI,Taller de maquila de pantalon de mezclilla,3427182,3427182,AGREGADO_DESDE_DENUE,,
MH_XALMI,Maquila de pantalon de mezclilla,3427211,3427211,AGREGADO_DESDE_DENUE,,
MH_XALMI,Maquila de pantalon de mezclilla,3428048,3428048,AGREGADO_DESDE_DENUE,,
MH_XALMI,Maquila,6450047,6450047,AGREGADO_DESDE_DENUE,,
MH_XALMI,Maquila de pantalon,,MH_XALMI_SIN_ID_018,AGREGADO_SUPLEMENTARIO,,
MH_XALMI,Taller de maquila de pantalon de mezclilla,11179294,11179294,AGREGADO_DESDE_DENUE,,
MH_XALMI,Taller de maquila,3427858,3427858,AGREGADO_DESDE_DENUE,,
MH_XALMI,Taller de maquila,3427887,3427887,AGREGADO_DESDE_DENUE,,
MH_XALMI,Taller de maquila,3427899,3427899,AGREGADO_DESDE_DENUE,,
MH_XALMI,Maquila de pantalon,3326144,3326144,AGREGADO_DESDE_DENUE,,
MH_XALMI,Maquila de pantalon de vestir,10398573,10398573,AGREGADO_DESDE_DENUE,,
MH_XALMI,Deshebrado de blusa,3326133,3326133,YA_PRESENTE,,
MH_XALMI,Taller de maquila de pantalon de mezclilla,8090624,8090624,AGREGADO_DESDE_DENUE,,
MH_XALMI,Maquila de pantalon de mezclilla,3428151,3428151,YA_PRESENTE,,
MH_XALMI,Taller de deshebrado,11313187,11313187,AGREGADO_DESDE_DENUE,,
MH_XALMI,Taller de maquila,3428168,3428168,AGREGADO_DESDE_DENUE,,
MH_XALMI,Maquila de pantalon,9890180,9890180,AGREGADO_DESDE_DENUE,,
MH_XALMI,Taller de maquila,10122074,10122074,AGREGADO_DESDE_DENUE,,
MH_XALMI,Maquila de pantalon de mezclilla,9804661,9804661,AGREGADO_DESDE_DENUE,,
MH_XALMI,Taller de maquila de pantalon de mezclilla,7742787,7742787,YA_PRESENTE,,
MH_XALMI,Taller de pantalon de mezclilla,11521781,11521781,AGREGADO_DESDE_DENUE,,
MH_XALMI,Maquila de pantalon de mezclilla,10494863,10494863,AGREGADO_DESDE_DENUE,,
MH_XALMI,Taller de maquila,11528292,11528292,AGREGADO_DESDE_DENUE,,
MH_XALMI,Taller de maquila de pantalon de mezclilla,10416578,10416578,AGREGADO_DESDE_DENUE,,
MH_XALMI,Maquila de pantalon de mezclilla,9890969,9890969,AGREGADO_DESDE_DENUE,,
MH_XALMI,Taller de pantalon de mezclilla,11303687,11303687,AGREGADO_DESDE_DENUE,,
MH_XALMI,Lavanderia Santa Monica,3428134,3428134,YA_PRESENTE,,
MH_XALMI,Lavados Nacionales,6272576,6272576,YA_PRESENTE,,
MH_XALMI,Stonelav,6861846,6861846,YA_PRESENTE,,
MH_XALMI,Poliprocesos s.a. de c.v.,3428329,3428329,YA_PRESENTE,,
MH_XALMI,Lavaplus,3326066,3326066,YA_PRESENTE,,
MH_XALMI,Taller de maquila de mezclilla,8090455,8090455,YA_PRESENTE,,
MH_XALMI,Maquila de pantalon de mezclilla,11173772,11173772,AGREGADO_DESDE_DENUE,,
MH_HUEJO,Taller de pantalon ,1,8089412,AGREGADO_DESDE_DENUE,26.8,0.766
MH_HUEJO,Maquiladora Estyr Blue Michelle Jeans,2,9347738,YA_PRESENTE,0.5,1.0
MH_HUEJO,Tecni Color,3,MH_HUEJO_003,AGREGADO_SUPLEMENTARIO,149.8,0.267
MH_HUEJO,Deshebrado de pantalon,4,8089749,YA_PRESENTE,1.5,0.8
MH_HUEJO,Taller Bombom Jenas,5,7872777,AGREGADO_DESDE_DENUE,8.7,0.895
MH_HUEJO,Maquila,6,MH_HUEJO_006,AGREGADO_SUPLEMENTARIO,14.1,0.138
MH_HUEJO,Jeans Emociones ,7,3325807,YA_PRESENTE,6.4,0.577
