d_llave,clee,nom_est,raz_soc,cve_scian,desc_scian,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Numero exterior o kilometro,Letra exterior,Edificio,Edificio Piso,Numero interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado publico",Numero de local,Codigo Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,cve_loc,localidad,Area geoestadistica basica,Manzana,Numero de telefono,Correo electronico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporacion al DENUE,coincide_filtro_scian,coincide_filtro_texto,textil,mezclilla,humedo_explicito,lavado_generico,produccion,maquila,proceso_seco_explicito,scian_textil,scian_acabado_humedo,scian_lavanderia,sector_textil,evidencia_hidrica
11691450,21114313310000301000000000U1,ACABADO DE PRODUCTOS TEXTILES SIN NOMBRE,PLAYERAS VAZCO,313310,Acabado de productos textiles,0 a 5 personas,CALLE,AVENIDA 36 PONIENTE,CIRCUITO,UNIDAD HABITACIONAL PROFESOR JORGE MURAD,CALLE,35 NORTE,BOULEVARD,NORTE,,SN,,,3302,,COLONIA,JORGE MURAD,,,,72044,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,0126,001,2228136512,ADMVEN.CAZCO@GMAIL.COM,,Fijo,19.07198574,-98.21020224,2024-11,True,True,False,False,True,False,False,False,False,True,True,False,INCLUIR,SI
11444838,21114313310000253000000000U4,ACABADOS ANUAR,,313310,Acabado de productos textiles,11 a 30 personas,CALLE,ANTIGUO CAMINO A LA RESURRECCION,PRIVADA,PARAISO,CALLE,RESURRECCION SUR,PRIVADA,RESURRECCION PONIENTE,10428,32,,,,,PARQUE INDUSTRIAL,LA RESURRECCION,,,,72228,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,1641,033,,ANUARAAC@GMAIL.COM,,Fijo,19.08300258,-98.16052031,2024-11,True,False,False,False,False,False,False,False,False,True,True,False,INCLUIR,SI
3344947,21114313210000483011000000U9,ACABADOS ANUAR,,313310,Acabado de productos textiles,0 a 5 personas,CALLE,ANTIGUO CAMINO A LA RESURRECCION,PRIVADA,PARAISO,CALLE,RESURRECCION SUR,PRIVADA,RESURRECCION PONIENTE,10428,,,,,,PARQUE INDUSTRIAL,LA RESURRECCION,,,,72228,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,1641,033,,,,Fijo,19.08293087,-98.16060671,2014-12,True,False,False,False,False,False,False,False,False,True,True,False,INCLUIR,SI
6378673,21114313310000165000000000U0,ACABADOS RIO TEJO,ACABADOS RIO TEJO,313310,Acabado de productos textiles,51 a 100 personas,AVENIDA,PUEBLA-TLAXCALA,PRIVADA,NINGUNO,PRIVADA,NINGUNO,OTRO(ESPECIFIQUE),RIO ATOYAC,5003,A,,,,,COLONIA,SAN JERONIMO CALERAS,,,,72100,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,3101,002,2223432480,ACA.RIOTEJO@OUTLOOK.COM,,Fijo,19.10981831,-98.22903214,2010-07,True,False,False,False,False,False,False,False,False,True,True,False,INCLUIR,SI
6378340,21140313310000015001000000U2,ACABADOS TEXTILES BORIN,ACABADOS TEXTILES BORIN,313310,Acabado de productos textiles,51 a 100 personas,AVENIDA,5 PONIENTE,CALLE,11 SUR,CALLE,13 SUR,AVENIDA,3 PONIENTE,1113,,,,,,COLONIA,CENTRO,,,,72760,21,PUEBLA,140,San Pedro Cholula,0001,Cholula de Rivadavia,0056,033,,DIRECCION.ADMINISTRATIVO@ACTEXBORIN.COM,,Fijo,19.06508856,-98.31618504,2010-07,True,False,False,False,False,False,False,False,False,True,True,False,INCLUIR,SI
6378672,21114313320000035000000000U4,ACAFINTEX,ACABADOS FINOS TEXTILES,313310,Acabado de productos textiles,51 a 100 personas,AVENIDA,PRIMERA DE CUAUHTÉMOC,PRIVADA,NINGUNO,PRIVADA,SEGUNDA PRIVADA CUAUHTÉMOC,PRIVADA,DOMINGO ARENAS,148,,,,,,COLONIA,AGRICOLA IGNACIO ZARAGOZA,,,,72100,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,3116,021,,CONTABILIDAD@ACAFINTEX.COM,WWW.ACAFINTEX.COM,Fijo,19.12513292,-98.22614097,2010-07,True,False,False,False,False,False,False,False,False,True,True,False,INCLUIR,SI
3264971,21114313310000102010000000U3,AFELPADOS FINOS,AFELPADOS FINOS,313310,Acabado de productos textiles,6 a 10 personas,CALLE,AVENIDA 2 PONIENTE,CALLE,15 NORTE,CALLE,17 NORTE,AVENIDA,REFORMA,1505,,,,,,COLONIA,CENTRO,,,,72000,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,0499,040,,AFINSACV@GMAIL.COM,,Fijo,19.05089974,-98.20921673,2010-07,True,False,False,False,False,False,False,False,False,True,True,False,INCLUIR,SI
10122585,21074315223000971000000000U0,ALEJANDRO GARITA JUAREZ,DESHEBRADO DE PANTALON,315229,Confección en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,LOS REYES,CALLE,LA PIEDAD,CALLE,CALLE DEL CARMEN,CALLE,JUAN PIZACO,33,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0025,049,,,,Fijo,19.2090004,-98.37746816,2024-11,True,True,True,True,False,False,True,False,True,True,False,False,INCLUIR,REVISAR
6377115,21114313310000176000000000U7,ALILTEX,ALILTEX,313310,Acabado de productos textiles,101 a 250 personas,CALLE,ANTIGUO CAMINO A MANZANILLA,AVENIDA,18 DE NOVIEMBRE (FEDERAL PUEBLA-TEHUACÁN),CALLE,NINGUNO,OTRO(ESPECIFIQUE),BARRANCO,59,,,,,,COLONIA,JOAQUIN COLOMBRES,PARQUE INDUSTRIAL,RESURRECCION,SN,72300,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,0338,033,,TEREPC@ALILTEX.COM,,Fijo,19.05664146,-98.15516569,2010-07,True,False,False,False,False,False,False,False,False,True,True,False,INCLUIR,SI
6271633,21114313310000186000000000U6,ALTO ACABADO,ALTO ACABADO,313310,Acabado de productos textiles,101 a 250 personas,CALLE,30 NORTE,AVENIDA,12 ORIENTE,CALLE,NINGUNO,CALLE,32 NORTE BIS,1008,,,,,,COLONIA,HUMBOLDT,,,,72370,21,PUEBLA,114,Puebla,0001,Heroica Puebla de Zaragoza,0624,014,,ADMINISTRACION@ALTOACABADO.COM,,Fijo,19.04151798,-98.17460254,2010-07,True,True,False,False,True,False,False,False,False,True,True,False,INCLUIR,SI
