k,cuantil,distancia_m
2,0.1,11.514207308041735
2,0.25,31.733748493765372
2,0.5,82.97196939778686
2,0.75,165.99415937343943
2,0.9,279.5509442435598
2,0.95,362.78038663146714
2,0.99,727.0292058986555
3,0.1,39.33656766578274
3,0.25,77.14165980997721
3,0.5,154.92136135457696
3,0.75,258.07039104320603
3,0.9,406.6456233652883
3,0.95,516.8975087634311
3,0.99,992.6736580108063
5,0.1,74.00958372336034
5,0.25,138.12266323147279
5,0.5,253.6825725170143
5,0.75,384.4908986715231
5,0.9,572.2658261024977
5,0.95,785.2618913600468
5,0.99,1570.851423960932
10,0.1,129.57742822894346
10,0.25,232.6054198941256
10,0.5,420.82179352112206
10,0.75,595.7494384030912
10,0.9,970.972473116988
10,0.95,1355.4636993632905
10,0.99,2842.6598996595517
15,0.1,171.86442858368306
15,0.25,324.0398387177297
15,0.5,546.9799531635183
15,0.75,772.4619388174951
15,0.9,1265.3849864241527
15,0.95,1761.4420638200907
15,0.99,3512.158308166233
20,0.1,208.3048135646059
20,0.25,395.322645658373
20,0.5,655.8587826281553
20,0.75,928.3106218402552
20,0.9,1586.8121507196472
20,0.95,2227.595616897959
20,0.99,4610.957252364768
30,0.1,269.91881042985744
30,0.25,520.2022588515593
30,0.5,859.513501477693
30,0.75,1186.4032631773455
30,0.9,2013.2143070556754
30,0.95,2809.1810560490358
30,0.99,6738.546103510154
50,0.1,369.4118846353
50,0.25,783.4329377008878
50,0.5,1172.4601506775196
50,0.75,1676.6925959146768
50,0.9,3042.2153993390243
50,0.95,4811.363103267686
50,0.99,22946.537290097836
