escenario_id,metodo,eps_m,min_samples,n_establecimientos,n_clusters,n_ruido,pct_ruido,tam_min,tam_mediana,tam_media,tam_max,pct_cluster_mayor,min_cluster_size,cluster_selection_method,probabilidad_media,pct_probabilidad_ge_0_8,xi,min_cluster_size_frac
dbscan__eps_m-250__min_samples-5,DBSCAN,250.0,5,4365,149,1704,39.03780068728523,3,7.0,17.859060402684563,332,7.605956471935853,,,,,,
dbscan__eps_m-250__min_samples-10,DBSCAN,250.0,10,4365,31,2884,66.07101947308132,10,19.0,47.774193548387096,327,7.491408934707904,,,,,,
dbscan__eps_m-250__min_samples-15,DBSCAN,250.0,15,4365,14,3232,74.04352806414663,15,31.0,80.92857142857143,320,7.331042382588774,,,,,,
dbscan__eps_m-250__min_samples-25,DBSCAN,250.0,25,4365,8,3565,81.67239404352806,27,61.5,100.0,252,5.77319587628866,,,,,,
dbscan__eps_m-400__min_samples-5,DBSCAN,400.0,5,4365,91,633,14.501718213058421,2,13.0,41.010989010989015,727,16.655211912943873,,,,,,
dbscan__eps_m-400__min_samples-10,DBSCAN,400.0,10,4365,69,1603,36.723940435280646,6,16.0,40.028985507246375,336,7.697594501718213,,,,,,
dbscan__eps_m-400__min_samples-15,DBSCAN,400.0,15,4365,29,2540,58.1901489117984,15,34.0,62.93103448275862,335,7.674684994272623,,,,,,
dbscan__eps_m-400__min_samples-25,DBSCAN,400.0,25,4365,12,3133,71.77548682703322,25,54.0,102.66666666666667,334,7.651775486827034,,,,,,
dbscan__eps_m-600__min_samples-5,DBSCAN,600.0,5,4365,51,234,5.360824742268041,5,12.0,81.0,1997,45.75028636884307,,,,,,
dbscan__eps_m-600__min_samples-10,DBSCAN,600.0,10,4365,40,583,13.356242840778924,7,28.5,94.55,1200,27.491408934707902,,,,,,
dbscan__eps_m-600__min_samples-15,DBSCAN,600.0,15,4365,34,1123,25.727376861397477,6,34.5,95.3529411764706,980,22.45131729667812,,,,,,
dbscan__eps_m-600__min_samples-25,DBSCAN,600.0,25,4365,27,2271,52.027491408934715,27,47.0,77.55555555555556,336,7.697594501718213,,,,,,
dbscan__eps_m-800__min_samples-5,DBSCAN,800.0,5,4365,44,106,2.4284077892325318,5,14.5,96.79545454545455,2150,49.25544100801833,,,,,,
dbscan__eps_m-800__min_samples-10,DBSCAN,800.0,10,4365,25,379,8.682703321878579,10,31.0,159.44,2033,46.575028636884305,,,,,,
dbscan__eps_m-800__min_samples-15,DBSCAN,800.0,15,4365,25,534,12.233676975945016,15,35.0,153.24,1659,38.00687285223368,,,,,,
dbscan__eps_m-800__min_samples-25,DBSCAN,800.0,25,4365,23,1216,27.857961053837343,26,61.0,136.91304347826087,969,22.19931271477663,,,,,,
dbscan__eps_m-1200__min_samples-5,DBSCAN,1200.0,5,4365,27,51,1.168384879725086,6,19.0,159.77777777777777,2317,53.08132875143185,,,,,,
dbscan__eps_m-1200__min_samples-10,DBSCAN,1200.0,10,4365,24,143,3.276059564719359,10,26.5,175.91666666666666,2217,50.79037800687285,,,,,,
dbscan__eps_m-1200__min_samples-15,DBSCAN,1200.0,15,4365,20,275,6.300114547537228,15,36.5,204.5,2133,48.865979381443296,,,,,,
dbscan__eps_m-1200__min_samples-25,DBSCAN,1200.0,25,4365,13,510,11.683848797250858,28,76.0,296.53846153846155,2050,46.96449026345933,,,,,,
dbscan__eps_m-1600__min_samples-5,DBSCAN,1600.0,5,4365,22,27,0.6185567010309279,5,26.5,197.1818181818182,2462,56.40320733104238,,,,,,
dbscan__eps_m-1600__min_samples-10,DBSCAN,1600.0,10,4365,16,81,1.8556701030927836,17,39.0,267.75,2435,55.784650630011456,,,,,,
dbscan__eps_m-1600__min_samples-15,DBSCAN,1600.0,15,4365,17,145,3.3218785796105386,15,40.0,248.23529411764707,2244,51.40893470790378,,,,,,
dbscan__eps_m-1600__min_samples-25,DBSCAN,1600.0,25,4365,13,329,7.5372279495990835,20,95.0,310.46153846153845,2178,49.896907216494846,,,,,,
hdbscan__min_cluster_size-10__min_samples-5__cluster_selection_method-eom,HDBSCAN,,5,4365,99,955,21.878579610538374,10,20.0,34.44444444444444,340,7.789232531500573,10.0,eom,0.9048295338040124,80.29325513196481,,
hdbscan__min_cluster_size-10__min_samples-5__cluster_selection_method-leaf,HDBSCAN,,5,4365,134,1435,32.87514318442153,10,18.0,21.865671641791046,78,1.7869415807560138,10.0,leaf,0.8824217585345129,74.81228668941979,,
hdbscan__min_cluster_size-10__min_samples-10__cluster_selection_method-eom,HDBSCAN,,10,4365,73,1274,29.18671248568156,10,23.0,42.342465753424655,337,7.720504009163803,10.0,eom,0.8823564626188902,75.76835975412489,,
hdbscan__min_cluster_size-10__min_samples-10__cluster_selection_method-leaf,HDBSCAN,,10,4365,94,1969,45.108820160366555,10,21.0,25.48936170212766,93,2.1305841924398625,10.0,leaf,0.8641965706501006,71.86978297161937,,
hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,HDBSCAN,,20,4365,22,584,13.379152348224514,14,46.5,171.86363636363637,1997,45.75028636884307,10.0,eom,0.9140475396707125,83.97249404919333,,
hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-leaf,HDBSCAN,,20,4365,53,2413,55.28064146620848,11,33.0,36.83018867924528,100,2.290950744558992,10.0,leaf,0.8601973451372575,74.64139344262296,,
hdbscan__min_cluster_size-20__min_samples-5__cluster_selection_method-eom,HDBSCAN,,5,4365,55,965,22.107674684994272,20,40.0,61.81818181818182,340,7.789232531500573,20.0,eom,0.9124367546062756,83.94117647058823,,
hdbscan__min_cluster_size-20__min_samples-5__cluster_selection_method-leaf,HDBSCAN,,5,4365,70,1480,33.90607101947308,20,34.5,41.214285714285715,103,2.359679266895762,20.0,leaf,0.9090223038121061,83.0155979202773,,
hdbscan__min_cluster_size-20__min_samples-10__cluster_selection_method-eom,HDBSCAN,,10,4365,24,450,10.309278350515463,20,43.5,163.125,2065,47.30813287514319,20.0,eom,0.9367155190149334,86.94763729246488,,
hdbscan__min_cluster_size-20__min_samples-10__cluster_selection_method-leaf,HDBSCAN,,10,4365,57,1885,43.184421534937,20,36.0,43.50877192982456,112,2.5658648339060712,20.0,leaf,0.903686865983357,83.10483870967742,,
hdbscan__min_cluster_size-20__min_samples-20__cluster_selection_method-eom,HDBSCAN,,20,4365,21,598,13.699885452462773,20,48.0,179.38095238095238,1997,45.75028636884307,20.0,eom,0.9092836985746914,82.79798247942661,,
hdbscan__min_cluster_size-20__min_samples-20__cluster_selection_method-leaf,HDBSCAN,,20,4365,40,2227,51.01947308132875,20,43.0,53.45,224,5.1317296678121425,20.0,leaf,0.8657473478098875,75.67820392890552,,
hdbscan__min_cluster_size-30__min_samples-5__cluster_selection_method-eom,HDBSCAN,,5,4365,19,267,6.116838487972508,30,74.0,215.68421052631578,2310,52.92096219931271,30.0,eom,0.9405038803972531,88.57979502196194,,
hdbscan__min_cluster_size-30__min_samples-5__cluster_selection_method-leaf,HDBSCAN,,5,4365,47,1427,32.69186712485681,30,58.0,62.51063829787234,132,3.0240549828178693,30.0,leaf,0.9030975525037174,82.50510551395507,,
hdbscan__min_cluster_size-30__min_samples-10__cluster_selection_method-eom,HDBSCAN,,10,4365,20,440,10.080183276059564,30,68.5,196.25,2065,47.30813287514319,30.0,eom,0.9316182057293825,86.80254777070063,,
hdbscan__min_cluster_size-30__min_samples-10__cluster_selection_method-leaf,HDBSCAN,,10,4365,42,1815,41.580756013745706,30,54.0,60.714285714285715,112,2.5658648339060712,30.0,leaf,0.9054039802663274,85.45098039215686,,
hdbscan__min_cluster_size-30__min_samples-20__cluster_selection_method-eom,HDBSCAN,,20,4365,18,646,14.799541809851089,30,72.5,206.61111111111111,1997,45.75028636884307,30.0,eom,0.9106616087660688,82.57596127991395,,
hdbscan__min_cluster_size-30__min_samples-20__cluster_selection_method-leaf,HDBSCAN,,20,4365,34,2230,51.08820160366552,30,48.0,62.794117647058826,224,5.1317296678121425,30.0,leaf,0.8793111439213799,76.95550351288057,,
hdbscan__min_cluster_size-50__min_samples-5__cluster_selection_method-eom,HDBSCAN,,5,4365,10,251,5.75028636884307,53,201.5,411.4,2310,52.92096219931271,50.0,eom,0.9099295927494765,81.72095284394749,,
hdbscan__min_cluster_size-50__min_samples-5__cluster_selection_method-leaf,HDBSCAN,,5,4365,29,1697,38.8774341351661,53,78.0,92.0,223,5.108820160366552,50.0,leaf,0.9216029597844995,87.21889055472263,,
hdbscan__min_cluster_size-50__min_samples-10__cluster_selection_method-eom,HDBSCAN,,10,4365,13,367,8.407789232531501,53,155.0,307.53846153846155,2236,51.22565864833906,50.0,eom,0.9157690714567437,81.3656828414207,,
