cluster_principal,escenario_comparado,cluster_correspondiente,jaccard
0,dbscan__eps_m-1600__min_samples-25,5.0,1.0
1,dbscan__eps_m-1600__min_samples-25,4.0,0.9024390243902439
2,dbscan__eps_m-1600__min_samples-25,12.0,1.0
3,dbscan__eps_m-1600__min_samples-25,,0.0
4,dbscan__eps_m-1600__min_samples-25,,0.0
5,dbscan__eps_m-1600__min_samples-25,6.0,0.9428571428571428
6,dbscan__eps_m-1600__min_samples-25,6.0,0.03773584905660377
7,dbscan__eps_m-1600__min_samples-25,7.0,0.9207920792079208
8,dbscan__eps_m-1600__min_samples-25,8.0,1.0
9,dbscan__eps_m-1600__min_samples-25,3.0,0.15625
10,dbscan__eps_m-1600__min_samples-25,3.0,0.7395833333333334
11,dbscan__eps_m-1600__min_samples-25,10.0,0.8333333333333334
12,dbscan__eps_m-1600__min_samples-25,1.0,0.3141654978962132
13,dbscan__eps_m-1600__min_samples-25,1.0,0.20897615708274894
14,dbscan__eps_m-1600__min_samples-25,,0.0
15,dbscan__eps_m-1600__min_samples-25,1.0,0.12903225806451613
16,dbscan__eps_m-1600__min_samples-25,1.0,0.07152875175315568
17,dbscan__eps_m-1600__min_samples-25,1.0,0.06311360448807854
18,dbscan__eps_m-1600__min_samples-25,2.0,0.7560975609756098
19,dbscan__eps_m-1600__min_samples-25,9.0,0.9900990099009901
20,dbscan__eps_m-1600__min_samples-25,0.0,0.9168962350780533
21,dbscan__eps_m-1600__min_samples-25,0.0,0.014233241505968778
0,hdbscan__min_cluster_size-20__min_samples-20__cluster_selection_method-eom,0.0,1.0
1,hdbscan__min_cluster_size-20__min_samples-20__cluster_selection_method-eom,1.0,1.0
2,hdbscan__min_cluster_size-20__min_samples-20__cluster_selection_method-eom,2.0,1.0
3,hdbscan__min_cluster_size-20__min_samples-20__cluster_selection_method-eom,3.0,1.0
4,hdbscan__min_cluster_size-20__min_samples-20__cluster_selection_method-eom,4.0,1.0
