escenario_id,metodo,eps_m,min_samples,n_establecimientos,n_clusters,n_ruido,pct_ruido,tam_min,tam_mediana,tam_media,tam_max,pct_cluster_mayor,min_cluster_size,cluster_selection_method,probabilidad_media,pct_probabilidad_ge_0_8,xi,min_cluster_size_frac,bbox_mediana_km,bbox_max_km,chaining_proxy_max,ari_mediana_mismo_metodo,ari_top5_mismo_metodo,ari_perturbacion_25m,puntaje_espacial,rol
hdbscan__min_cluster_size-30__min_samples-5__cluster_selection_method-eom,HDBSCAN,,5,4365,19,267,6.116838487972508,30,74.0,215.68421052631575,2310,52.92096219931271,30.0,eom,0.9405038803972532,88.57979502196194,,,3.2147316823177063,42.016905896371945,1.523629756592184,0.3279538774947841,0.9280635813348797,0.9423756765891073,0.9450037794029146,NO_SELECCIONADO
dbscan__eps_m-1200__min_samples-10,DBSCAN,1200.0,10,4365,24,143,3.276059564719359,10,26.5,175.91666666666666,2217,50.79037800687285,,,,,,,2.5677315087689965,35.59636614123687,0.8480780098477233,0.44321398828552044,0.9501076681229284,0.9992903307734243,0.9236651392019547,NO_SELECCIONADO
dbscan__eps_m-800__min_samples-10,DBSCAN,800.0,10,4365,25,379,8.682703321878579,10,31.0,159.44,2033,46.57502863688431,,,,,,,1.975111243168312,29.415593777050734,0.6523924555158512,0.5179122938994101,0.9147354923665925,0.9961585960964664,0.9234794983885983,NO_SELECCIONADO
dbscan__eps_m-1200__min_samples-25,DBSCAN,1200.0,25,4365,13,510,11.683848797250858,28,76.0,296.53846153846155,2050,46.96449026345933,,,,,,,3.337881285094298,29.831200676516758,0.658861003070548,0.4840295488395476,0.909573206941458,0.9793813421938694,0.922815521906351,NO_SELECCIONADO
dbscan__eps_m-1200__min_samples-15,DBSCAN,1200.0,15,4365,20,275,6.300114547537228,15,36.5,204.5,2133,48.865979381443296,,,,,,,2.6562191785586413,31.212703893020567,0.7914499197557924,0.4483240864792471,0.9292401673718359,0.9907332367096845,0.921457255204328,NO_SELECCIONADO
dbscan__eps_m-1600__min_samples-15,DBSCAN,1600.0,15,4365,17,145,3.3218785796105386,15,40.0,248.23529411764707,2244,51.40893470790378,,,,,,,3.764668162626869,34.978346498553194,0.9079971879923155,0.45521842148188396,0.9454547212782505,0.9783721531797372,0.9178071272958209,NO_SELECCIONADO
dbscan__eps_m-600__min_samples-5,DBSCAN,600.0,5,4365,51,234,5.360824742268041,5,12.0,81.0,1997,45.75028636884307,,,,,,,1.5237311892412955,29.415593777050734,0.6886143399012862,0.5145256183758504,0.8958228049086511,0.9837022373039462,0.9103002651191898,NO_SELECCIONADO
dbscan__eps_m-1200__min_samples-5,DBSCAN,1200.0,5,4365,27,51,1.168384879725086,6,19.0,159.77777777777777,2317,53.08132875143185,,,,,,,2.1996425815285345,42.41363985896889,0.8976966291170906,0.48553701889717354,0.9320667576769421,1.0,0.9099572872632167,NO_SELECCIONADO
dbscan__eps_m-800__min_samples-5,DBSCAN,800.0,5,4365,44,106,2.428407789232532,5,14.5,96.79545454545456,2150,49.25544100801833,,,,,,,1.7862956448614669,34.29095986644072,0.865417023209214,0.4476245471995923,0.9159054277625979,0.989175740916972,0.9094979824144063,NO_SELECCIONADO
dbscan__eps_m-1600__min_samples-10,DBSCAN,1600.0,10,4365,16,81,1.855670103092784,17,39.0,267.75,2435,55.784650630011456,,,,,,,3.9427417689355626,44.10420745349052,1.125229018915225,0.4799375997278118,0.9073456464910301,0.9982265376144838,0.8967787684482066,NO_SELECCIONADO
dbscan__eps_m-1600__min_samples-5,DBSCAN,1600.0,5,4365,22,27,0.6185567010309279,5,26.5,197.1818181818182,2462,56.40320733104238,,,,,,,2.433242928475552,44.4823288518291,1.1474836400097441,0.49159708238792094,0.896088081308475,0.9998714072110211,0.889738967660026,NO_SELECCIONADO
hdbscan__min_cluster_size-75__min_samples-10__cluster_selection_method-eom,HDBSCAN,,10,4365,9,418,9.576174112256588,79,211.0,438.55555555555554,2236,51.22565864833906,75.0,eom,0.9278367855632064,83.27843932100329,,,6.4033588744462575,53.75158288347545,6.047525555782059,0.31886537268022125,0.9443862647803647,0.9941038236742786,0.874012698656164,NO_SELECCIONADO
hdbscan__min_cluster_size-75__min_samples-20__cluster_selection_method-eom,HDBSCAN,,20,4365,9,522,11.958762886597938,79,211.0,427.0,2152,49.30126002290951,75.0,eom,0.93247838826366,85.84439240176945,,,6.008975076676262,53.75158288347545,6.047525555782059,0.30318970470540146,0.9210021631808818,0.9804925117532314,0.8700061628679607,NO_SELECCIONADO
dbscan__eps_m-800__min_samples-15,DBSCAN,800.0,15,4365,25,534,12.233676975945016,15,35.0,153.24,1659,38.00687285223368,,,,,,,2.657482654331155,26.247627493990816,0.6444168102669364,0.5448010488417895,0.7319912534927466,0.9761578147166693,0.8655603797901661,NO_SELECCIONADO
hdbscan__min_cluster_size-50__min_samples-20__cluster_selection_method-eom,HDBSCAN,,20,4365,10,469,10.744558991981672,53,202.5,389.6,2152,49.30126002290951,50.0,eom,0.9141959625133926,81.1858316221766,,,5.53756748521158,53.75158288347545,6.047525555782059,0.29414196778431584,0.9226002379790794,0.980929365265086,0.8652331298220404,NO_SELECCIONADO
