cluster,escenario_id,n_total_cluster,n_dentro_cuenca,n_fuera_cuenca,pct_cluster_dentro_cuenca,pct_cluster_fuera_cuenca,cruza_limite_cuenca,area_convexa_km2,area_buffer_150m_km2,densidad_convexa_est_km2,n_municipios,n_localidades,persistencia_media
0,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,211,0,211,0.0,100.0,False,1.0712993198012046,0.592375417793199,196.95709322316583,1,1,1.0
1,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,41,0,41,0.0,100.0,False,7.366783079189489,0.08453863852813198,5.565522909968855,1,2,0.9804878048780489
2,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,37,0,37,0.0,100.0,False,0.6730047313978674,0.12014832061224222,54.97732523090735,1,1,1.0
3,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,20,0,20,0.0,100.0,False,1.1340348340146984,0.000943890667396904,17.636142559392294,1,1,0.4000000000000001
4,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,28,28,0,100.0,0.0,False,9.274527376311061,0.008845746379208435,3.019021764011115,1,3,0.6
5,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,33,33,0,100.0,0.0,False,1.4184133524790898,0.02553878111867804,23.265432423011884,2,2,1.0
6,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,20,20,0,100.0,0.0,False,0.40472173420930946,0.08224918311066926,49.41666905799683,1,1,0.8200000000000001
7,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,99,99,0,100.0,0.0,False,13.435050351748284,0.3497989325955099,7.368785185618398,1,8,0.987878787878788
8,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,337,337,0,100.0,0.0,False,4.696061720849396,1.9839630721098,71.76225953415396,1,1,1.0
9,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,30,30,0,100.0,0.0,False,0.9362920044693955,0.031334946697435,32.04128611244656,1,2,0.9733333333333334
10,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,142,142,0,100.0,0.0,False,1.5571686815140717,0.7091128695683309,91.19114819463879,1,1,0.9943661971830985
11,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,48,8,40,16.666666666666668,83.33333333333333,True,2.9218934529484772,0.1721726978167197,16.42770373832875,1,2,0.9666666666666667
12,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,224,224,0,100.0,0.0,False,3.246117359166667,1.153823085351932,69.00551496311414,2,2,0.9982142857142857
13,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,149,149,0,100.0,0.0,False,4.253721980910087,0.7580947782227453,35.02814727165628,2,3,0.9973154362416107
14,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,14,14,0,100.0,0.0,False,2.0881687690561392,2.992254006071543e-05,6.704438935904619,1,2,0.4000000000000001
15,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,92,92,0,100.0,0.0,False,2.6347508460327393,0.5332924706443765,34.917912689364336,1,1,0.9782608695652174
16,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,51,51,0,100.0,0.0,False,1.1339373209677313,0.2836207491093129,44.976030911898455,1,1,0.9843137254901961
17,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,45,45,0,100.0,0.0,False,0.4738497712404117,0.2547194771017679,94.9668074803583,1,1,1.0
18,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,32,32,0,100.0,0.0,False,4.553237485224187,0.0203028149366752,7.027966387398838,1,1,0.96875
19,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,100,100,0,100.0,0.0,False,6.977009477424834,0.2686112438597526,14.332788327658875,2,3,0.934
20,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,1997,1997,0,100.0,0.0,False,265.2904616454244,2.405409416941677,7.527598194122421,6,14,0.9985978968452679
21,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,31,31,0,100.0,0.0,False,2.704550609734702,0.06375438028648375,11.462163025686877,1,2,0.9870967741935485
