grupo_espacial,n,n_lavanderia_tintoreria,pct_lavanderia_tintoreria,n_manufactura_textil,pct_manufactura_textil,tipo_coexistencia_descriptivo
CLUSTER_004,28,2,7.142857142857143,26,92.85714285714286,CONCENTRACION_MANUFACTURA
CLUSTER_005,33,2,6.0606060606060606,31,93.93939393939394,CONCENTRACION_MANUFACTURA
CLUSTER_006,20,0,0.0,20,100.0,CONCENTRACION_MANUFACTURA
CLUSTER_007,99,44,44.44444444444444,55,55.55555555555556,COEXISTENCIA_MIXTA
CLUSTER_008,337,27,8.011869436201781,310,91.98813056379822,CONCENTRACION_MANUFACTURA
CLUSTER_009,30,0,0.0,30,100.0,CONCENTRACION_MANUFACTURA
CLUSTER_010,142,5,3.5211267605633805,137,96.47887323943662,CONCENTRACION_MANUFACTURA
CLUSTER_011,8,1,12.5,7,87.5,CONCENTRACION_MANUFACTURA
CLUSTER_012,224,16,7.142857142857143,208,92.85714285714286,CONCENTRACION_MANUFACTURA
CLUSTER_013,149,12,8.053691275167786,137,91.94630872483222,CONCENTRACION_MANUFACTURA
CLUSTER_014,14,5,35.714285714285715,9,64.28571428571429,COEXISTENCIA_MIXTA
CLUSTER_015,92,45,48.91304347826087,47,51.08695652173913,COEXISTENCIA_MIXTA
CLUSTER_016,51,8,15.686274509803921,43,84.31372549019608,CONCENTRACION_MANUFACTURA
CLUSTER_017,45,6,13.333333333333334,39,86.66666666666667,CONCENTRACION_MANUFACTURA
CLUSTER_018,32,13,40.625,19,59.375,COEXISTENCIA_MIXTA
CLUSTER_019,100,9,9.0,91,91.0,CONCENTRACION_MANUFACTURA
CLUSTER_020,1997,1185,59.339008512769155,812,40.660991487230845,COEXISTENCIA_MIXTA
CLUSTER_021,31,13,41.935483870967744,18,58.064516129032256,COEXISTENCIA_MIXTA
RUIDO_DISPERSO,578,193,33.391003460207614,385,66.60899653979239,COEXISTENCIA_MIXTA
