grupo_espacial,evidencia_hidrica,n,pct_grupo
CLUSTER_004,REVISAR,4,14.285714285714286
CLUSTER_004,SIN_EVIDENCIA,24,85.71428571428571
CLUSTER_005,REVISAR,2,6.0606060606060606
CLUSTER_005,SIN_EVIDENCIA,31,93.93939393939394
CLUSTER_006,SIN_EVIDENCIA,20,100.0
CLUSTER_007,REVISAR,47,47.474747474747474
CLUSTER_007,SI,1,1.0101010101010102
CLUSTER_007,SIN_EVIDENCIA,51,51.515151515151516
CLUSTER_008,REVISAR,62,18.397626112759642
CLUSTER_008,SI,6,1.7804154302670623
CLUSTER_008,SIN_EVIDENCIA,269,79.82195845697329
CLUSTER_009,SIN_EVIDENCIA,30,100.0
CLUSTER_010,REVISAR,5,3.5211267605633805
CLUSTER_010,SI,1,0.704225352112676
CLUSTER_010,SIN_EVIDENCIA,136,95.77464788732394
CLUSTER_011,REVISAR,1,12.5
CLUSTER_011,SIN_EVIDENCIA,7,87.5
CLUSTER_012,REVISAR,31,13.839285714285714
CLUSTER_012,SI,3,1.3392857142857142
CLUSTER_012,SIN_EVIDENCIA,190,84.82142857142857
CLUSTER_013,REVISAR,12,8.053691275167786
CLUSTER_013,SIN_EVIDENCIA,137,91.94630872483222
CLUSTER_014,REVISAR,5,35.714285714285715
CLUSTER_014,SIN_EVIDENCIA,9,64.28571428571429
CLUSTER_015,REVISAR,45,48.91304347826087
CLUSTER_015,SIN_EVIDENCIA,47,51.08695652173913
CLUSTER_016,REVISAR,8,15.686274509803921
CLUSTER_016,SI,2,3.9215686274509802
CLUSTER_016,SIN_EVIDENCIA,41,80.3921568627451
CLUSTER_017,REVISAR,6,13.333333333333334
CLUSTER_017,SIN_EVIDENCIA,39,86.66666666666667
CLUSTER_018,REVISAR,13,40.625
CLUSTER_018,SIN_EVIDENCIA,19,59.375
CLUSTER_019,REVISAR,9,9.0
CLUSTER_019,SIN_EVIDENCIA,91,91.0
CLUSTER_020,REVISAR,1183,59.23885828743115
CLUSTER_020,SI,22,1.101652478718077
CLUSTER_020,SIN_EVIDENCIA,792,39.65948923385078
CLUSTER_021,REVISAR,13,41.935483870967744
CLUSTER_021,SIN_EVIDENCIA,18,58.064516129032256
RUIDO_DISPERSO,REVISAR,192,33.21799307958477
RUIDO_DISPERSO,SI,6,1.0380622837370241
RUIDO_DISPERSO,SIN_EVIDENCIA,380,65.7439446366782
