grupo_espacial,localidad,n,pct_grupo
CLUSTER_004,San Antonio Tlatenco,6,21.428571428571427
CLUSTER_004,San Lorenzo Chiautzingo,15,53.57142857142857
CLUSTER_004,San Nicolás Zecalacoayan,7,25.0
CLUSTER_005,Guadalupe Zaragoza,9,27.272727272727273
CLUSTER_005,Juárez Coronaco,24,72.72727272727273
CLUSTER_006,Santiago Coltzingo,20,100.0
CLUSTER_007,Aeropuerto Internacional Hermanos Serdán,1,1.0101010101010102
CLUSTER_007,Camino a Mextla,1,1.0101010101010102
CLUSTER_007,Huejotzingo,71,71.71717171717172
CLUSTER_007,Los Encinos,1,1.0101010101010102
CLUSTER_007,Rancho de los Caballos,9,9.090909090909092
CLUSTER_007,Valle de San Miguel,4,4.040404040404041
CLUSTER_007,Área 4 Anexo [Parque Industrial],1,1.0101010101010102
CLUSTER_007,Área 4 la Trinida [Ciudad Textil],11,11.11111111111111
CLUSTER_008,Santa Ana Xalmimilulco,337,100.0
CLUSTER_009,San Miguel Tianguistenco,16,53.333333333333336
CLUSTER_009,Santa María Texmelucan,14,46.666666666666664
CLUSTER_010,San Rafael Ixtapalucan,142,100.0
CLUSTER_011,San Bernabé Temoxtitla,8,100.0
CLUSTER_012,San Lucas el Grande,1,0.44642857142857145
CLUSTER_012,San Matías Tlalancaleca,223,99.55357142857143
CLUSTER_013,San Lucas el Grande,21,14.093959731543624
CLUSTER_013,San Martín Texmelucan de Labastida,1,0.6711409395973155
CLUSTER_013,San Rafael Tlanalapan,127,85.23489932885906
CLUSTER_014,San Jacinto,1,7.142857142857143
CLUSTER_014,San Lorenzo Almecatla,13,92.85714285714286
CLUSTER_015,San Martín Texmelucan de Labastida,92,100.0
CLUSTER_016,Santa María Moyotzingo,51,100.0
CLUSTER_017,San Martín Texmelucan de Labastida,45,100.0
CLUSTER_018,Amozoc de Mota,32,100.0
CLUSTER_019,San Antonio Mihuacán,29,29.0
CLUSTER_019,San Miguel Xoxtla,68,68.0
CLUSTER_019,Santa María Coronango,3,3.0
CLUSTER_020,Amozoc de Mota,5,0.25037556334501754
CLUSTER_020,Barrio de Nuevo León,2,0.100150225338007
CLUSTER_020,Casa Blanca,10,0.5007511266900351
CLUSTER_020,Cholula de Rivadavia,94,4.707060590886329
CLUSTER_020,Heroica Puebla de Zaragoza,1608,80.52078117175763
CLUSTER_020,La Trinidad Chautenco,8,0.400600901352028
CLUSTER_020,San Andrés Cholula,66,3.3049574361542313
CLUSTER_020,San Bernardino Tlaxcalancingo,77,3.85578367551327
CLUSTER_020,San Francisco Ocotlán (Ocotlán),3,0.15022533800701052
CLUSTER_020,San Juan Cuautlancingo,54,2.704056084126189
CLUSTER_020,San Sebastián de Aparicio,1,0.0500751126690035
CLUSTER_020,Sanctorum,30,1.5022533800701052
CLUSTER_020,Santa María Xonacatepec,1,0.0500751126690035
CLUSTER_020,Santiago Momoxpan,38,1.9028542814221332
CLUSTER_021,Amozoc de Mota,29,93.54838709677419
CLUSTER_021,Casa Blanca,2,6.451612903225806
RUIDO_DISPERSO,Amozoc de Mota,10,1.7301038062283738
RUIDO_DISPERSO,Analco de Ponciano Arriaga (Santa Cruz Analco),7,1.2110726643598615
RUIDO_DISPERSO,Barrio de Nuevo León,1,0.17301038062283736
RUIDO_DISPERSO,Casa Blanca,2,0.3460207612456747
RUIDO_DISPERSO,Centro Logístico [Reserva Industrial],1,0.17301038062283736
RUIDO_DISPERSO,Chachapa [Parque Industrial],4,0.6920415224913494
RUIDO_DISPERSO,Chipilo de Francisco Javier Mina,8,1.3840830449826989
RUIDO_DISPERSO,Cholula de Rivadavia,24,4.1522491349480966
RUIDO_DISPERSO,Concepción Capulac (La Ex-Hacienda),2,0.3460207612456747
RUIDO_DISPERSO,Cuanalá,5,0.8650519031141869
RUIDO_DISPERSO,Domingo Arenas,1,0.17301038062283736
RUIDO_DISPERSO,El Calvario,1,0.17301038062283736
RUIDO_DISPERSO,El Carmen [Parque Industrial],1,0.17301038062283736
RUIDO_DISPERSO,Galaxia la Calera,1,0.17301038062283736
RUIDO_DISPERSO,Heroica Puebla de Zaragoza,88,15.22491349480969
RUIDO_DISPERSO,La Concepción,1,0.17301038062283736
RUIDO_DISPERSO,La Resurrección,7,1.2110726643598615
RUIDO_DISPERSO,Los Volcanes,2,0.3460207612456747
RUIDO_DISPERSO,Primero de Mayo,2,0.3460207612456747
RUIDO_DISPERSO,San Andrés Azumiatla,2,0.3460207612456747
RUIDO_DISPERSO,San Andrés Calpan,3,0.5190311418685121
RUIDO_DISPERSO,San Andrés Cholula,15,2.5951557093425603
RUIDO_DISPERSO,San Andrés Hueyacatitla,4,0.6920415224913494
RUIDO_DISPERSO,San Baltazar Tetela,3,0.5190311418685121
RUIDO_DISPERSO,San Bernabé Temoxtitla,1,0.17301038062283736
RUIDO_DISPERSO,San Bernardino Tlaxcalancingo,35,6.055363321799308
RUIDO_DISPERSO,San Felipe Teotlalcingo,7,1.2110726643598615
RUIDO_DISPERSO,San Francisco Coapan,1,0.17301038062283736
RUIDO_DISPERSO,San Francisco Ocotlán (Ocotlán),17,2.9411764705882355
RUIDO_DISPERSO,San Francisco Tepeyecac,8,1.3840830449826989
RUIDO_DISPERSO,San Gregorio Atzompa,2,0.3460207612456747
RUIDO_DISPERSO,San Gregorio Aztotoacan,2,0.3460207612456747
RUIDO_DISPERSO,San Gregorio Zacapechpan,3,0.5190311418685121
RUIDO_DISPERSO,San Jacinto,10,1.7301038062283738
RUIDO_DISPERSO,San Jerónimo Tianguismanalco,6,1.0380622837370241
RUIDO_DISPERSO,San Juan Tuxco,17,2.9411764705882355
RUIDO_DISPERSO,San Lorenzo Almecatla,6,1.0380622837370241
RUIDO_DISPERSO,San Lorenzo Chiautzingo,1,0.17301038062283736
RUIDO_DISPERSO,San Lucas el Grande,9,1.5570934256055364
RUIDO_DISPERSO,San Luis Tehuiloyocan,6,1.0380622837370241
RUIDO_DISPERSO,San Martín Texmelucan de Labastida,57,9.86159169550173
RUIDO_DISPERSO,San Mateo Capultitlán,1,0.17301038062283736
RUIDO_DISPERSO,San Miguel Canoa,18,3.114186851211073
RUIDO_DISPERSO,San Miguel Espejo,2,0.3460207612456747
RUIDO_DISPERSO,San Miguel Tianguistenco,9,1.5570934256055364
RUIDO_DISPERSO,San Pedro Zacachimalpa,2,0.3460207612456747
RUIDO_DISPERSO,San Rafael Tlanalapan,16,2.7681660899653977
RUIDO_DISPERSO,San Salvador el Verde,5,0.8650519031141869
RUIDO_DISPERSO,San Sebastián de Aparicio,6,1.0380622837370241
RUIDO_DISPERSO,San Simón Atzitzintla,1,0.17301038062283736
RUIDO_DISPERSO,Sanctorum,7,1.2110726643598615
RUIDO_DISPERSO,Santa Catarina,4,0.6920415224913494
RUIDO_DISPERSO,Santa Clara Ocoyucan,6,1.0380622837370241
RUIDO_DISPERSO,Santa María Coronango,14,2.422145328719723
RUIDO_DISPERSO,Santa María Malacatepec,2,0.3460207612456747
RUIDO_DISPERSO,Santa María Moyotzingo,39,6.747404844290657
RUIDO_DISPERSO,Santa María Nepopualco,6,1.0380622837370241
RUIDO_DISPERSO,Santa María Texmelucan,11,1.9031141868512111
