grupo_espacial,Municipio,n,pct_grupo
CLUSTER_004,Chiautzingo,28,100.0
CLUSTER_005,San Matías Tlalancaleca,24,72.72727272727273
CLUSTER_005,Tlahuapan,9,27.272727272727273
CLUSTER_006,Tlahuapan,20,100.0
CLUSTER_007,Huejotzingo,99,100.0
CLUSTER_008,Huejotzingo,337,100.0
CLUSTER_009,Tlahuapan,30,100.0
CLUSTER_010,Tlahuapan,142,100.0
CLUSTER_011,Ocoyucan,8,100.0
CLUSTER_012,San Matías Tlalancaleca,223,99.55357142857143
CLUSTER_012,San Salvador el Verde,1,0.44642857142857145
CLUSTER_013,San Martín Texmelucan,128,85.90604026845638
CLUSTER_013,San Salvador el Verde,21,14.093959731543624
CLUSTER_014,Cuautlancingo,14,100.0
CLUSTER_015,San Martín Texmelucan,92,100.0
CLUSTER_016,San Martín Texmelucan,51,100.0
CLUSTER_017,San Martín Texmelucan,45,100.0
CLUSTER_018,Amozoc,32,100.0
CLUSTER_019,Coronango,32,32.0
CLUSTER_019,San Miguel Xoxtla,68,68.0
CLUSTER_020,Amozoc,15,0.7511266900350526
CLUSTER_020,Coronango,3,0.15022533800701052
CLUSTER_020,Cuautlancingo,94,4.707060590886329
CLUSTER_020,Puebla,1610,80.62093139709565
CLUSTER_020,San Andrés Cholula,143,7.160741111667501
CLUSTER_020,San Pedro Cholula,132,6.609914872308463
CLUSTER_021,Amozoc,31,100.0
RUIDO_DISPERSO,Amozoc,18,3.114186851211073
RUIDO_DISPERSO,Calpan,3,0.5190311418685121
RUIDO_DISPERSO,Chiautzingo,1,0.17301038062283736
RUIDO_DISPERSO,Coronango,31,5.3633217993079585
RUIDO_DISPERSO,Cuautlancingo,24,4.1522491349480966
RUIDO_DISPERSO,Domingo Arenas,1,0.17301038062283736
RUIDO_DISPERSO,Huejotzingo,15,2.5951557093425603
RUIDO_DISPERSO,Juan C. Bonilla,16,2.7681660899653977
RUIDO_DISPERSO,Ocoyucan,9,1.5570934256055364
RUIDO_DISPERSO,Puebla,152,26.29757785467128
RUIDO_DISPERSO,San Andrés Cholula,56,9.688581314878892
RUIDO_DISPERSO,San Felipe Teotlalcingo,7,1.2110726643598615
RUIDO_DISPERSO,San Gregorio Atzompa,10,1.7301038062283738
RUIDO_DISPERSO,San Martín Texmelucan,143,24.740484429065745
RUIDO_DISPERSO,San Pedro Cholula,28,4.844290657439446
RUIDO_DISPERSO,San Salvador el Verde,31,5.3633217993079585
RUIDO_DISPERSO,Tlahuapan,27,4.671280276816609
RUIDO_DISPERSO,Tlaltenango,6,1.0380622837370241
