grupo_espacial,Descripcion estrato personal ocupado,n,pct_grupo
CLUSTER_004,0 a 5 personas,20,71.42857142857143
CLUSTER_004,6 a 10 personas,8,28.571428571428573
CLUSTER_005,0 a 5 personas,29,87.87878787878788
CLUSTER_005,11 a 30 personas,1,3.0303030303030303
CLUSTER_005,6 a 10 personas,3,9.090909090909092
CLUSTER_006,0 a 5 personas,20,100.0
CLUSTER_007,0 a 5 personas,75,75.75757575757575
CLUSTER_007,101 a 250 personas,2,2.0202020202020203
CLUSTER_007,11 a 30 personas,7,7.070707070707071
CLUSTER_007,251 y más personas,2,2.0202020202020203
CLUSTER_007,31 a 50 personas,2,2.0202020202020203
CLUSTER_007,51 a 100 personas,6,6.0606060606060606
CLUSTER_007,6 a 10 personas,5,5.05050505050505
CLUSTER_008,0 a 5 personas,268,79.52522255192878
CLUSTER_008,11 a 30 personas,12,3.5608308605341246
CLUSTER_008,31 a 50 personas,1,0.29673590504451036
CLUSTER_008,51 a 100 personas,2,0.5934718100890207
CLUSTER_008,6 a 10 personas,54,16.023738872403563
CLUSTER_009,0 a 5 personas,23,76.66666666666667
CLUSTER_009,11 a 30 personas,2,6.666666666666667
CLUSTER_009,6 a 10 personas,5,16.666666666666668
CLUSTER_010,0 a 5 personas,73,51.40845070422535
CLUSTER_010,11 a 30 personas,18,12.67605633802817
CLUSTER_010,51 a 100 personas,1,0.704225352112676
CLUSTER_010,6 a 10 personas,50,35.2112676056338
CLUSTER_011,0 a 5 personas,6,75.0
CLUSTER_011,6 a 10 personas,2,25.0
CLUSTER_012,0 a 5 personas,199,88.83928571428571
CLUSTER_012,11 a 30 personas,3,1.3392857142857142
CLUSTER_012,6 a 10 personas,22,9.821428571428571
CLUSTER_013,0 a 5 personas,131,87.91946308724832
CLUSTER_013,11 a 30 personas,9,6.040268456375839
CLUSTER_013,6 a 10 personas,9,6.040268456375839
CLUSTER_014,0 a 5 personas,11,78.57142857142857
CLUSTER_014,11 a 30 personas,1,7.142857142857143
CLUSTER_014,6 a 10 personas,2,14.285714285714286
CLUSTER_015,0 a 5 personas,85,92.3913043478261
CLUSTER_015,11 a 30 personas,2,2.1739130434782608
CLUSTER_015,6 a 10 personas,5,5.434782608695652
CLUSTER_016,0 a 5 personas,48,94.11764705882354
CLUSTER_016,6 a 10 personas,3,5.882352941176471
CLUSTER_017,0 a 5 personas,44,97.77777777777777
CLUSTER_017,11 a 30 personas,1,2.2222222222222223
CLUSTER_018,0 a 5 personas,30,93.75
CLUSTER_018,11 a 30 personas,1,3.125
CLUSTER_018,6 a 10 personas,1,3.125
CLUSTER_019,0 a 5 personas,93,93.0
CLUSTER_019,11 a 30 personas,1,1.0
CLUSTER_019,6 a 10 personas,6,6.0
CLUSTER_020,0 a 5 personas,1687,84.47671507260891
CLUSTER_020,101 a 250 personas,28,1.4021031547320981
CLUSTER_020,11 a 30 personas,103,5.157736604907361
CLUSTER_020,251 y más personas,13,0.6509764646970456
CLUSTER_020,31 a 50 personas,30,1.5022533800701052
CLUSTER_020,51 a 100 personas,30,1.5022533800701052
CLUSTER_020,6 a 10 personas,106,5.307961942914371
CLUSTER_021,0 a 5 personas,26,83.87096774193549
CLUSTER_021,11 a 30 personas,2,6.451612903225806
CLUSTER_021,31 a 50 personas,1,3.225806451612903
CLUSTER_021,6 a 10 personas,2,6.451612903225806
RUIDO_DISPERSO,0 a 5 personas,464,80.27681660899654
RUIDO_DISPERSO,101 a 250 personas,6,1.0380622837370241
RUIDO_DISPERSO,11 a 30 personas,31,5.3633217993079585
RUIDO_DISPERSO,251 y más personas,9,1.5570934256055364
RUIDO_DISPERSO,31 a 50 personas,9,1.5570934256055364
RUIDO_DISPERSO,51 a 100 personas,9,1.5570934256055364
RUIDO_DISPERSO,6 a 10 personas,50,8.650519031141869
