nodo_a,nodo_b,distancia,n_elementos
10.0,14.0,0.028925388825575677,2.0
0.0,9.0,0.042169503089146965,2.0
12.0,15.0,0.05479815458646424,2.0
3.0,17.0,0.05510968271305749,2.0
4.0,8.0,0.05959600322255766,2.0
19.0,20.0,0.07510989842264726,4.0
22.0,23.0,0.08345801350674362,6.0
16.0,21.0,0.087637195966204,3.0
13.0,24.0,0.08778153451263498,7.0
5.0,6.0,0.09122886201065253,2.0
11.0,18.0,0.09819034369394047,3.0
1.0,26.0,0.11989242567887208,8.0
25.0,28.0,0.16468871289712014,6.0
7.0,29.0,0.2320490950394295,9.0
2.0,31.0,0.28964561081542284,10.0
27.0,32.0,0.3248146583700767,12.0
30.0,33.0,0.379745910753381,18.0
