cluster_a,cluster_b,distancia_perfil
CLUSTER_014,CLUSTER_018,0.0289253888255756
CLUSTER_004,CLUSTER_013,0.0421695030891469
CLUSTER_012,CLUSTER_013,0.0453533218251048
CLUSTER_016,CLUSTER_019,0.0547981545864642
CLUSTER_007,CLUSTER_021,0.0551096827130574
CLUSTER_012,CLUSTER_019,0.0580333985669376
CLUSTER_008,CLUSTER_012,0.0595960032225576
CLUSTER_013,CLUSTER_019,0.0640423840803461
CLUSTER_004,CLUSTER_019,0.0673462352864756
CLUSTER_013,CLUSTER_017,0.0681638450626784
CLUSTER_004,CLUSTER_008,0.0755395983819054
CLUSTER_004,CLUSTER_016,0.0786305701764127
CLUSTER_007,CLUSTER_020,0.0820113524634749
CLUSTER_015,CLUSTER_018,0.0822645755208983
CLUSTER_012,CLUSTER_017,0.0840696609853301
CLUSTER_008,CLUSTER_019,0.0868744158425365
CLUSTER_004,CLUSTER_017,0.0874537217826867
CLUSTER_004,CLUSTER_012,0.0896657955660909
CLUSTER_013,CLUSTER_016,0.0904204041473545
CLUSTER_009,CLUSTER_010,0.0912288620106525
CLUSTER_016,CLUSTER_017,0.0912499546232633
CLUSTER_020,CLUSTER_021,0.0932630394689331
CLUSTER_017,CLUSTER_019,0.093346520136119
CLUSTER_008,CLUSTER_013,0.0961217925571407
CLUSTER_007,CLUSTER_015,0.0984813876976384
CLUSTER_008,CLUSTER_017,0.1024055044857323
CLUSTER_012,CLUSTER_016,0.1071439671057581
CLUSTER_005,CLUSTER_008,0.1084105261545972
CLUSTER_008,CLUSTER_016,0.1089318182084745
CLUSTER_015,CLUSTER_020,0.1109307072061164
CLUSTER_005,CLUSTER_019,0.1137543593404805
CLUSTER_014,CLUSTER_015,0.1141161118669826
CLUSTER_004,CLUSTER_005,0.114929382259494
CLUSTER_005,CLUSTER_012,0.1230490986031796
CLUSTER_005,CLUSTER_017,0.1248130739214083
CLUSTER_005,CLUSTER_016,0.1259462688965341
CLUSTER_005,CLUSTER_013,0.1283442705764106
CLUSTER_015,CLUSTER_021,0.1377389888993187
CLUSTER_007,CLUSTER_018,0.14137812456513
CLUSTER_011,CLUSTER_014,0.1447685669978275
CLUSTER_007,CLUSTER_014,0.164754674123646
CLUSTER_011,CLUSTER_018,0.1809302126870111
CLUSTER_011,CLUSTER_019,0.1882135238648262
CLUSTER_018,CLUSTER_020,0.188697714875628
CLUSTER_018,CLUSTER_021,0.1944664743220389
CLUSTER_011,CLUSTER_013,0.1954240168139108
CLUSTER_011,CLUSTER_016,0.200735889643534
CLUSTER_011,CLUSTER_012,0.2045585792773088
CLUSTER_014,CLUSTER_021,0.2202219194412098
CLUSTER_014,CLUSTER_016,0.2242142335769296
CLUSTER_014,CLUSTER_020,0.2255284249433547
CLUSTER_016,CLUSTER_018,0.2259415890092098
CLUSTER_011,CLUSTER_017,0.2274708969153449
CLUSTER_015,CLUSTER_016,0.2334014325256261
CLUSTER_014,CLUSTER_019,0.2445367880158814
CLUSTER_004,CLUSTER_006,0.2469215870489724
CLUSTER_013,CLUSTER_014,0.2478601552032503
CLUSTER_014,CLUSTER_017,0.2504721846994122
CLUSTER_006,CLUSTER_011,0.251463465815839
CLUSTER_004,CLUSTER_009,0.2518941449776591
CLUSTER_004,CLUSTER_011,0.2526977458560598
CLUSTER_017,CLUSTER_018,0.2542692638186254
CLUSTER_012,CLUSTER_014,0.2542971179041856
CLUSTER_018,CLUSTER_019,0.2572770009440543
CLUSTER_013,CLUSTER_018,0.2583678692886891
CLUSTER_006,CLUSTER_016,0.2603412351765505
CLUSTER_006,CLUSTER_019,0.2637230292326002
CLUSTER_009,CLUSTER_013,0.2647782600959039
CLUSTER_012,CLUSTER_018,0.2660247774910533
CLUSTER_009,CLUSTER_019,0.2681197521045452
CLUSTER_009,CLUSTER_012,0.2695836056093755
CLUSTER_007,CLUSTER_016,0.2698493031762118
CLUSTER_015,CLUSTER_017,0.2701841092657904
CLUSTER_005,CLUSTER_009,0.2768212465211126
CLUSTER_008,CLUSTER_011,0.2808158296207567
CLUSTER_011,CLUSTER_015,0.2833513676434882
CLUSTER_005,CLUSTER_010,0.284080624192321
CLUSTER_009,CLUSTER_017,0.2867085458376577
CLUSTER_006,CLUSTER_013,0.2917691752029662
CLUSTER_008,CLUSTER_009,0.2919570414561881
CLUSTER_015,CLUSTER_019,0.2927948542093113
CLUSTER_007,CLUSTER_011,0.2963528987930244
CLUSTER_016,CLUSTER_021,0.2971297808196843
CLUSTER_005,CLUSTER_006,0.299548272248699
CLUSTER_005,CLUSTER_011,0.3064762783236946
CLUSTER_013,CLUSTER_015,0.3099910917502085
CLUSTER_007,CLUSTER_017,0.3114545790096471
CLUSTER_009,CLUSTER_016,0.3127658498560742
CLUSTER_004,CLUSTER_010,0.3157203508067002
CLUSTER_007,CLUSTER_019,0.3159375685321011
CLUSTER_006,CLUSTER_008,0.3168253529418326
CLUSTER_004,CLUSTER_018,0.3169963101355288
CLUSTER_004,CLUSTER_014,0.3192406686834321
CLUSTER_012,CLUSTER_015,0.3212265911262136
CLUSTER_008,CLUSTER_014,0.3274437439891114
CLUSTER_010,CLUSTER_019,0.3279784574538367
CLUSTER_008,CLUSTER_018,0.3281390086719115
CLUSTER_010,CLUSTER_017,0.3286690834103967
CLUSTER_008,CLUSTER_010,0.3290960176992004
CLUSTER_006,CLUSTER_012,0.3306869589078597
CLUSTER_010,CLUSTER_012,0.3334955599193866
CLUSTER_011,CLUSTER_021,0.3360891766869929
CLUSTER_004,CLUSTER_015,0.3364034968460522
CLUSTER_010,CLUSTER_013,0.3403760562139035
CLUSTER_007,CLUSTER_012,0.3428526722367084
CLUSTER_006,CLUSTER_017,0.3455314207634851
CLUSTER_008,CLUSTER_015,0.3473684109305553
CLUSTER_007,CLUSTER_013,0.350915807386043
CLUSTER_009,CLUSTER_011,0.3510483619025235
CLUSTER_017,CLUSTER_021,0.3535501774613912
CLUSTER_005,CLUSTER_014,0.359493406160234
CLUSTER_010,CLUSTER_016,0.3617641326171696
CLUSTER_005,CLUSTER_018,0.362284655738151
CLUSTER_005,CLUSTER_015,0.3643012658886862
CLUSTER_019,CLUSTER_021,0.3665269837578856
CLUSTER_007,CLUSTER_008,0.3673186091628004
CLUSTER_004,CLUSTER_007,0.3754184400610235
CLUSTER_005,CLUSTER_007,0.3775500231550328
CLUSTER_016,CLUSTER_020,0.3890262485736396
CLUSTER_006,CLUSTER_009,0.3966430642780747
CLUSTER_004,CLUSTER_021,0.4045265752122804
CLUSTER_006,CLUSTER_014,0.4103970354213143
CLUSTER_013,CLUSTER_021,0.4129880148633323
CLUSTER_005,CLUSTER_021,0.4165034280169727
CLUSTER_011,CLUSTER_020,0.4173860211400786
CLUSTER_012,CLUSTER_021,0.4209513672885797
CLUSTER_006,CLUSTER_018,0.4215152146180316
CLUSTER_010,CLUSTER_011,0.4239690399456196
CLUSTER_008,CLUSTER_021,0.425601513400173
CLUSTER_017,CLUSTER_020,0.4362665095277301
CLUSTER_009,CLUSTER_014,0.4578940773453989
CLUSTER_019,CLUSTER_020,0.4581171525933128
CLUSTER_009,CLUSTER_018,0.4712011258622245
CLUSTER_006,CLUSTER_015,0.4767242545489322
CLUSTER_006,CLUSTER_010,0.4808239725038846
CLUSTER_007,CLUSTER_009,0.4872701116044698
CLUSTER_013,CLUSTER_020,0.4873536071212612
CLUSTER_012,CLUSTER_020,0.4914434530956673
CLUSTER_006,CLUSTER_021,0.4946431860405703
CLUSTER_007,CLUSTER_010,0.4987079146135401
CLUSTER_006,CLUSTER_007,0.5006239651044362
CLUSTER_004,CLUSTER_020,0.5044599313024402
CLUSTER_009,CLUSTER_015,0.505671168933495
CLUSTER_009,CLUSTER_021,0.5067915535793966
CLUSTER_010,CLUSTER_014,0.5071593691667688
CLUSTER_008,CLUSTER_020,0.5078018510607302
CLUSTER_010,CLUSTER_021,0.5081408884240435
CLUSTER_005,CLUSTER_020,0.5145982662523201
CLUSTER_010,CLUSTER_018,0.5174775141939212
CLUSTER_010,CLUSTER_015,0.5250235351853302
CLUSTER_010,CLUSTER_020,0.6022604417006346
CLUSTER_006,CLUSTER_020,0.6101795639801254
CLUSTER_009,CLUSTER_020,0.6104745210333027
