subnucleo_diagnostico,n,probabilidad_media,municipios,localidades
0,31,0.9991654582703839,San Andrés Cholula,San Andrés Cholula
1,76,0.9246346631137851,San Pedro Cholula | San Andrés Cholula,Cholula de Rivadavia | San Andrés Cholula
2,46,0.9818379735296365,Puebla | San Andrés Cholula,Heroica Puebla de Zaragoza | San Bernardino Tlaxcalancingo | San Andrés Cholula
3,57,0.9222719136756055,San Andrés Cholula,San Bernardino Tlaxcalancingo
4,92,0.9519172203699556,Puebla,Heroica Puebla de Zaragoza
5,93,0.9195671601024731,San Pedro Cholula | Puebla | Cuautlancingo,Santiago Momoxpan | Heroica Puebla de Zaragoza | San Juan Cuautlancingo
6,58,0.9637218944104083,Puebla,Heroica Puebla de Zaragoza
7,41,0.9707452806556669,Puebla,Heroica Puebla de Zaragoza
8,36,0.9989474201847212,Puebla,Heroica Puebla de Zaragoza
9,65,0.9494218112790515,Puebla,Heroica Puebla de Zaragoza
10,33,0.9979569393823282,Puebla,Heroica Puebla de Zaragoza
11,74,0.9628086398036623,Puebla,Heroica Puebla de Zaragoza
12,112,0.9032124021259765,Puebla,Heroica Puebla de Zaragoza
13,97,0.9156675199562828,Puebla,Heroica Puebla de Zaragoza
14,78,0.9282936524903855,Puebla,Heroica Puebla de Zaragoza
15,54,0.9851019990351998,Puebla,Heroica Puebla de Zaragoza
16,30,1.0,Puebla,Heroica Puebla de Zaragoza
17,35,0.9974454322745158,Puebla,Heroica Puebla de Zaragoza
