cluster_principal,n,estabilidad_media,estabilidad_min,pct_nucleo_robusto,pct_estable,pct_sensible,jaccard_media,jaccard_min,jaccard_max,dbscan__eps_m-1600__min_samples-25,hdbscan__min_cluster_size-20__min_samples-10__cluster_selection_method-eom,hdbscan__min_cluster_size-20__min_samples-20__cluster_selection_method-eom,hdbscan__min_cluster_size-30__min_samples-10__cluster_selection_method-eom,hdbscan__min_cluster_size-30__min_samples-20__cluster_selection_method-eom
0,211,1.0,1.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,41,0.9804878048780489,0.8,100.0,0.0,0.0,0.9804878048780488,0.902439024390244,1.0,0.902439024390244,1.0,1.0,1.0,1.0
2,37,1.0,1.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,20,0.4,0.4,0.0,0.0,100.0,0.4,0.0,1.0,0.0,1.0,1.0,0.0,0.0
4,28,0.6,0.6,0.0,100.0,0.0,0.5111111111111111,0.0,1.0,0.0,0.7777777777777778,1.0,0.7777777777777778,0.0
5,33,1.0,1.0,100.0,0.0,0.0,0.8376280323450134,0.6226415094339622,1.0,0.9428571428571428,1.0,1.0,0.6226415094339622,0.6226415094339622
6,20,0.8200000000000001,0.8,100.0,0.0,0.0,0.5584905660377358,0.0377358490566037,1.0,0.0377358490566037,1.0,1.0,0.3773584905660377,0.3773584905660377
7,99,0.9878787878787878,0.8,100.0,0.0,0.0,0.9723937099592312,0.9207920792079208,1.0,0.9207920792079208,0.9705882352941176,1.0,0.9705882352941176,1.0
8,337,1.0,1.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,30,0.9733333333333333,0.6,93.33333333333333,6.666666666666667,0.0,0.6979166666666666,0.15625,1.0,0.15625,0.6666666666666666,1.0,0.6666666666666666,1.0
10,142,0.9943661971830985,0.6,98.59154929577466,1.4084507042253522,0.0,0.9422828638497652,0.7395833333333334,1.0,0.7395833333333334,0.9859154929577464,1.0,0.9859154929577464,1.0
11,48,0.9666666666666667,0.8,100.0,0.0,0.0,0.9095238095238095,0.8333333333333334,1.0,0.8333333333333334,0.8571428571428571,1.0,0.8571428571428571,1.0
12,224,0.9982142857142857,0.6,99.55357142857143,0.4464285714285714,0.0,0.8610473852935284,0.3141654978962132,1.0,0.3141654978962132,0.9955357142857144,1.0,0.9955357142857144,1.0
13,149,0.9973154362416107,0.6,99.32885906040269,0.6711409395973155,0.0,0.8212824109037292,0.2089761570827489,1.0,0.2089761570827489,0.9487179487179488,1.0,0.9487179487179488,1.0
14,14,0.4,0.4,0.0,0.0,100.0,0.18666666666666668,0.0,0.4666666666666667,0.0,0.4666666666666667,0.0,0.4666666666666667,0.0
15,92,0.9782608695652174,0.6,94.56521739130434,5.434782608695652,0.0,0.7636705292828061,0.1290322580645161,1.0,0.1290322580645161,0.8446601941747572,1.0,0.8446601941747572,1.0
16,51,0.9843137254901961,0.8,100.0,0.0,0.0,0.7080888191336999,0.0715287517531556,1.0,0.0715287517531556,0.8392857142857143,1.0,0.6296296296296297,1.0
17,45,1.0,1.0,100.0,0.0,0.0,0.8039270687237027,0.0631136044880785,1.0,0.0631136044880785,0.9782608695652174,1.0,0.9782608695652174,1.0
18,32,0.96875,0.4,93.75,3.125,3.125,0.8940766550522647,0.7560975609756098,1.0,0.7560975609756098,0.8571428571428571,1.0,0.8571428571428571,1.0
19,100,0.934,0.8,100.0,0.0,0.0,0.9138379837983799,0.67,1.0,0.99009900990099,0.67,1.0,0.9090909090909092,1.0
20,1997,0.9985978968452679,0.6,99.64947421131698,0.35052578868302453,0.0,0.9675491311854948,0.9168962350780532,1.0,0.9168962350780532,0.9604247104247104,1.0,0.9604247104247104,1.0
21,31,0.9870967741935485,0.6,96.7741935483871,3.225806451612903,0.0,0.7778466483011938,0.0142332415059687,1.0,0.0142332415059687,0.9375,1.0,0.9375,1.0
