etiqueta_canonica,grupo,diccionario_origen,terminos_que_activan,conteo_global,prevalencia_global,heatmap_principal,razon
textil,senal_multilabel,etiqueta canonica derivada de giro/diccionario,Consultar scripts/03_text_filter.py y 201_construir_matriz_maestra.py; regla versionada en codigo,996,0.2483790523690773,False,reservada para heatmap ampliado para evitar redundancia visual
mezclilla,senal_multilabel,etiqueta canonica derivada de giro/diccionario,Consultar scripts/03_text_filter.py y 201_construir_matriz_maestra.py; regla versionada en codigo,74,0.018453865336658354,True,lectura sustantiva compacta central
humedo_explicito,senal_multilabel,etiqueta canonica derivada de giro/diccionario,Consultar scripts/03_text_filter.py y 201_construir_matriz_maestra.py; regla versionada en codigo,370,0.09226932668329177,True,lectura sustantiva compacta central
lavado_generico,senal_multilabel,etiqueta canonica derivada de giro/diccionario,Consultar scripts/03_text_filter.py y 201_construir_matriz_maestra.py; regla versionada en codigo,1200,0.29925187032418954,False,reservada para heatmap ampliado para evitar redundancia visual
produccion,senal_multilabel,etiqueta canonica derivada de giro/diccionario,Consultar scripts/03_text_filter.py y 201_construir_matriz_maestra.py; regla versionada en codigo,489,0.12194513715710723,False,reservada para heatmap ampliado para evitar redundancia visual
maquila,senal_multilabel,etiqueta canonica derivada de giro/diccionario,Consultar scripts/03_text_filter.py y 201_construir_matriz_maestra.py; regla versionada en codigo,589,0.14688279301745635,True,lectura sustantiva compacta central
proceso_seco_explicito,senal_multilabel,etiqueta canonica derivada de giro/diccionario,Consultar scripts/03_text_filter.py y 201_construir_matriz_maestra.py; regla versionada en codigo,644,0.16059850374064838,True,lectura sustantiva compacta central
scian_textil,SCIAN,regla agregada a partir de codigo SCIAN,Consultar scripts/03_text_filter.py y 201_construir_matriz_maestra.py; regla versionada en codigo,2424,0.6044887780548629,False,reservada para heatmap ampliado para evitar redundancia visual
scian_acabado_humedo,SCIAN,regla agregada a partir de codigo SCIAN,Consultar scripts/03_text_filter.py y 201_construir_matriz_maestra.py; regla versionada en codigo,34,0.008478802992518703,False,reservada para heatmap ampliado para evitar redundancia visual
scian_lavanderia,SCIAN,regla agregada a partir de codigo SCIAN,Consultar scripts/03_text_filter.py y 201_construir_matriz_maestra.py; regla versionada en codigo,1586,0.39551122194513716,False,reservada para heatmap ampliado para evitar redundancia visual
actividad_lavanderia_tintoreria,senal_multilabel,etiqueta canonica derivada de giro/diccionario,Consultar scripts/03_text_filter.py y 201_construir_matriz_maestra.py; regla versionada en codigo,1586,0.39551122194513716,True,lectura sustantiva compacta central
actividad_acabado_textil,senal_multilabel,etiqueta canonica derivada de giro/diccionario,Consultar scripts/03_text_filter.py y 201_construir_matriz_maestra.py; regla versionada en codigo,34,0.008478802992518703,True,lectura sustantiva compacta central
actividad_confeccion,senal_multilabel,etiqueta canonica derivada de giro/diccionario,Consultar scripts/03_text_filter.py y 201_construir_matriz_maestra.py; regla versionada en codigo,1562,0.38952618453865334,True,lectura sustantiva compacta central
actividad_fabricacion_telas,senal_multilabel,etiqueta canonica derivada de giro/diccionario,Consultar scripts/03_text_filter.py y 201_construir_matriz_maestra.py; regla versionada en codigo,155,0.03865336658354115,True,lectura sustantiva compacta central
actividad_tejido_hilado,senal_multilabel,etiqueta canonica derivada de giro/diccionario,Consultar scripts/03_text_filter.py y 201_construir_matriz_maestra.py; regla versionada en codigo,359,0.08952618453865337,False,reservada para heatmap ampliado para evitar redundancia visual
actividad_bordado_deshilado,senal_multilabel,etiqueta canonica derivada de giro/diccionario,Consultar scripts/03_text_filter.py y 201_construir_matriz_maestra.py; regla versionada en codigo,179,0.04463840399002494,False,reservada para heatmap ampliado para evitar redundancia visual
senal_pantalon,senal_multilabel,etiqueta canonica derivada de giro/diccionario,Consultar scripts/03_text_filter.py y 201_construir_matriz_maestra.py; regla versionada en codigo,147,0.036658354114713215,False,reservada para heatmap ampliado para evitar redundancia visual
senal_mezclilla_o_pantalon,senal_multilabel,etiqueta canonica derivada de giro/diccionario,Consultar scripts/03_text_filter.py y 201_construir_matriz_maestra.py; regla versionada en codigo,183,0.0456359102244389,False,reservada para heatmap ampliado para evitar redundancia visual
