d_llave,cluster_principal,estabilidad_membresia_entre_especificaciones,clase_estabilidad_membresia
3250553,20,1.0,NUCLEO_ROBUSTO
3250574,20,1.0,NUCLEO_ROBUSTO
3250768,-1,0.8,NUCLEO_ROBUSTO
3250995,20,1.0,NUCLEO_ROBUSTO
3251087,20,1.0,NUCLEO_ROBUSTO
3251320,20,1.0,NUCLEO_ROBUSTO
3251774,20,1.0,NUCLEO_ROBUSTO
3251796,20,1.0,NUCLEO_ROBUSTO
3251845,20,1.0,NUCLEO_ROBUSTO
3251848,20,1.0,NUCLEO_ROBUSTO
3252980,20,1.0,NUCLEO_ROBUSTO
3252981,20,1.0,NUCLEO_ROBUSTO
3253362,20,1.0,NUCLEO_ROBUSTO
3253414,20,1.0,NUCLEO_ROBUSTO
3253438,20,1.0,NUCLEO_ROBUSTO
3254020,20,1.0,NUCLEO_ROBUSTO
3254048,20,1.0,NUCLEO_ROBUSTO
3254094,20,1.0,NUCLEO_ROBUSTO
3254118,20,1.0,NUCLEO_ROBUSTO
3254157,20,1.0,NUCLEO_ROBUSTO
3254160,20,1.0,NUCLEO_ROBUSTO
3254162,20,1.0,NUCLEO_ROBUSTO
3254383,20,1.0,NUCLEO_ROBUSTO
3254572,20,1.0,NUCLEO_ROBUSTO
3254714,20,1.0,NUCLEO_ROBUSTO
3254746,20,1.0,NUCLEO_ROBUSTO
3254892,20,1.0,NUCLEO_ROBUSTO
3254935,20,1.0,NUCLEO_ROBUSTO
3255116,20,1.0,NUCLEO_ROBUSTO
3255129,20,1.0,NUCLEO_ROBUSTO
3255134,20,1.0,NUCLEO_ROBUSTO
3255236,20,1.0,NUCLEO_ROBUSTO
3255766,20,1.0,NUCLEO_ROBUSTO
3255870,20,1.0,NUCLEO_ROBUSTO
3255886,20,1.0,NUCLEO_ROBUSTO
3255960,20,1.0,NUCLEO_ROBUSTO
3256081,20,1.0,NUCLEO_ROBUSTO
3256185,20,1.0,NUCLEO_ROBUSTO
3256188,20,1.0,NUCLEO_ROBUSTO
3256219,20,1.0,NUCLEO_ROBUSTO
3256237,20,1.0,NUCLEO_ROBUSTO
3256268,20,1.0,NUCLEO_ROBUSTO
3256393,20,1.0,NUCLEO_ROBUSTO
3256466,20,1.0,NUCLEO_ROBUSTO
3256669,20,1.0,NUCLEO_ROBUSTO
3256677,20,1.0,NUCLEO_ROBUSTO
3256786,20,1.0,NUCLEO_ROBUSTO
3256789,20,1.0,NUCLEO_ROBUSTO
3256905,20,1.0,NUCLEO_ROBUSTO
3257219,20,1.0,NUCLEO_ROBUSTO
3257309,20,1.0,NUCLEO_ROBUSTO
3257362,20,1.0,NUCLEO_ROBUSTO
3257496,20,1.0,NUCLEO_ROBUSTO
3257610,20,1.0,NUCLEO_ROBUSTO
3257623,20,1.0,NUCLEO_ROBUSTO
3257685,20,1.0,NUCLEO_ROBUSTO
3257908,20,1.0,NUCLEO_ROBUSTO
3258224,20,1.0,NUCLEO_ROBUSTO
3258302,20,1.0,NUCLEO_ROBUSTO
3258305,20,1.0,NUCLEO_ROBUSTO
3258497,20,1.0,NUCLEO_ROBUSTO
3259558,20,1.0,NUCLEO_ROBUSTO
3259739,-1,0.8,NUCLEO_ROBUSTO
3259740,-1,0.8,NUCLEO_ROBUSTO
3259784,-1,0.8,NUCLEO_ROBUSTO
3259840,20,1.0,NUCLEO_ROBUSTO
3259871,20,1.0,NUCLEO_ROBUSTO
3259924,20,1.0,NUCLEO_ROBUSTO
3259931,20,1.0,NUCLEO_ROBUSTO
3259991,-1,0.8,NUCLEO_ROBUSTO
3260147,15,1.0,NUCLEO_ROBUSTO
3260321,-1,0.8,NUCLEO_ROBUSTO
3260746,15,1.0,NUCLEO_ROBUSTO
3260913,20,1.0,NUCLEO_ROBUSTO
3261096,20,1.0,NUCLEO_ROBUSTO
3261102,20,1.0,NUCLEO_ROBUSTO
3261128,-1,0.4,SENSIBLE
3261466,20,1.0,NUCLEO_ROBUSTO
3261797,20,1.0,NUCLEO_ROBUSTO
3262580,18,1.0,NUCLEO_ROBUSTO
3262847,18,1.0,NUCLEO_ROBUSTO
3262975,15,1.0,NUCLEO_ROBUSTO
3263076,15,1.0,NUCLEO_ROBUSTO
3263107,15,1.0,NUCLEO_ROBUSTO
3263381,15,1.0,NUCLEO_ROBUSTO
3263505,15,1.0,NUCLEO_ROBUSTO
3263950,20,1.0,NUCLEO_ROBUSTO
3264028,15,1.0,NUCLEO_ROBUSTO
3264041,15,1.0,NUCLEO_ROBUSTO
3264223,15,1.0,NUCLEO_ROBUSTO
3264233,15,1.0,NUCLEO_ROBUSTO
3264275,20,1.0,NUCLEO_ROBUSTO
3264307,20,1.0,NUCLEO_ROBUSTO
3264327,20,1.0,NUCLEO_ROBUSTO
3264328,20,1.0,NUCLEO_ROBUSTO
3264344,20,1.0,NUCLEO_ROBUSTO
3264877,20,1.0,NUCLEO_ROBUSTO
3264898,20,1.0,NUCLEO_ROBUSTO
3264971,20,1.0,NUCLEO_ROBUSTO
3265019,20,1.0,NUCLEO_ROBUSTO
3265576,20,1.0,NUCLEO_ROBUSTO
3265578,20,1.0,NUCLEO_ROBUSTO
3265607,15,1.0,NUCLEO_ROBUSTO
3265664,15,1.0,NUCLEO_ROBUSTO
3266081,15,1.0,NUCLEO_ROBUSTO
3267098,15,1.0,NUCLEO_ROBUSTO
3267105,15,1.0,NUCLEO_ROBUSTO
3267977,-1,0.8,NUCLEO_ROBUSTO
3268584,20,1.0,NUCLEO_ROBUSTO
3268785,15,1.0,NUCLEO_ROBUSTO
3268936,15,1.0,NUCLEO_ROBUSTO
3268954,-1,0.8,NUCLEO_ROBUSTO
3269197,3,0.4,SENSIBLE
3269263,3,0.4,SENSIBLE
3269310,3,0.4,SENSIBLE
3269724,17,1.0,NUCLEO_ROBUSTO
3269804,17,1.0,NUCLEO_ROBUSTO
3270522,20,1.0,NUCLEO_ROBUSTO
3270848,20,1.0,NUCLEO_ROBUSTO
3271177,3,0.4,SENSIBLE
3271312,20,1.0,NUCLEO_ROBUSTO
3271655,20,1.0,NUCLEO_ROBUSTO
3271687,-1,0.8,NUCLEO_ROBUSTO
3271819,20,1.0,NUCLEO_ROBUSTO
3271820,20,1.0,NUCLEO_ROBUSTO
3273655,-1,0.4,SENSIBLE
3273656,16,1.0,NUCLEO_ROBUSTO
3273661,16,1.0,NUCLEO_ROBUSTO
3273663,-1,0.4,SENSIBLE
3273665,16,1.0,NUCLEO_ROBUSTO
3273666,16,1.0,NUCLEO_ROBUSTO
3273808,16,1.0,NUCLEO_ROBUSTO
3273813,16,1.0,NUCLEO_ROBUSTO
3273825,-1,0.4,SENSIBLE
3273826,16,1.0,NUCLEO_ROBUSTO
3273850,16,1.0,NUCLEO_ROBUSTO
3273866,16,1.0,NUCLEO_ROBUSTO
3274185,20,1.0,NUCLEO_ROBUSTO
3274186,20,1.0,NUCLEO_ROBUSTO
3274187,20,1.0,NUCLEO_ROBUSTO
3274188,20,1.0,NUCLEO_ROBUSTO
3274189,20,1.0,NUCLEO_ROBUSTO
3274641,16,1.0,NUCLEO_ROBUSTO
3274711,-1,0.4,SENSIBLE
3274715,-1,0.4,SENSIBLE
3274819,16,0.8,NUCLEO_ROBUSTO
3274822,-1,0.4,SENSIBLE
3274840,-1,0.4,SENSIBLE
3275269,20,1.0,NUCLEO_ROBUSTO
3275404,20,1.0,NUCLEO_ROBUSTO
3275670,20,1.0,NUCLEO_ROBUSTO
3275671,20,1.0,NUCLEO_ROBUSTO
3275708,20,1.0,NUCLEO_ROBUSTO
3275936,-1,0.4,SENSIBLE
3276013,-1,0.6,ESTABLE
3276061,20,1.0,NUCLEO_ROBUSTO
