cluster_a,cluster_b,distancia_coseno,distancia_js,distancia_combinada,senales_compartidas,scian3_compartidos,diferencias_principales
CLUSTER_014,CLUSTER_018,0.020618193043716926,0.04472089170902693,0.03266954237637193,scian_textil:59.4% | textil:42.9% | actividad_confeccion:40.6% | actividad_lavanderia_tintoreria:35.7% | scian_lavanderia:35.7%,315:40.6% | 812:35.7% | 314:18.8%,proceso_seco_explicito:14.7pp | actividad_bordado_deshilado:12.1pp | produccion:9.8pp
CLUSTER_004,CLUSTER_013,0.07116631620638725,0.01582201310925367,0.04349416465782046,scian_textil:91.9% | actividad_confeccion:78.6% | maquila:36.9% | textil:28.6% | scian_lavanderia:7.1%,315:85.2% | 812:7.1% | 314:6.7%,proceso_seco_explicito:40.5pp | textil:24.4pp | maquila:23.8pp
CLUSTER_012,CLUSTER_013,0.016505080345680323,0.08912516045205655,0.05281512039886844,scian_textil:91.9% | actividad_confeccion:81.2% | textil:53.0% | proceso_seco_explicito:47.7% | maquila:25.0%,315:85.2% | 812:7.1% | 314:4.9%,senal_mezclilla_o_pantalon:13.8pp | textil:12.6pp | produccion:12.0pp
CLUSTER_007,CLUSTER_021,0.04049869645232973,0.08374305785999564,0.062120877156162685,scian_textil:55.6% | scian_lavanderia:41.9% | actividad_lavanderia_tintoreria:41.9% | lavado_generico:37.4% | actividad_confeccion:25.8%,812:41.9% | 315:29.0% | 313:13.1%,textil:21.0pp | proceso_seco_explicito:13.1pp | produccion:10.7pp
CLUSTER_016,CLUSTER_019,0.03488622886360215,0.08973595162176715,0.06231109024268465,scian_textil:84.3% | actividad_confeccion:70.6% | maquila:44.0% | textil:21.6% | proceso_seco_explicito:17.6%,315:72.5% | 314:9.0% | 812:9.0%,produccion:29.1pp | textil:17.4pp | lavado_generico:7.7pp
CLUSTER_008,CLUSTER_012,0.08222638495023782,0.044400236332215424,0.06331331064122662,scian_textil:92.0% | actividad_confeccion:83.9% | textil:45.1% | maquila:25.0% | proceso_seco_explicito:15.7%,315:86.6% | 812:7.1% | 314:3.0%,proceso_seco_explicito:32.9pp | maquila:30.8pp | senal_pantalon:27.4pp
CLUSTER_012,CLUSTER_019,0.0484674827825311,0.08119505128599887,0.06483126703426498,scian_textil:91.0% | actividad_confeccion:76.0% | textil:39.0% | maquila:25.0% | proceso_seco_explicito:23.0%,315:80.0% | 812:7.1% | 314:4.9%,textil:26.6pp | proceso_seco_explicito:25.7pp | maquila:19.0pp
CLUSTER_013,CLUSTER_019,0.036904195805722795,0.10951902870152824,0.07321161225362552,scian_textil:91.0% | actividad_confeccion:76.0% | textil:39.0% | maquila:36.9% | proceso_seco_explicito:23.0%,315:80.0% | 812:8.1% | 314:6.7%,produccion:25.6pp | proceso_seco_explicito:24.7pp | textil:14.0pp
CLUSTER_004,CLUSTER_019,0.042525137235919774,0.11070424942919882,0.0766146933325593,scian_textil:91.0% | actividad_confeccion:76.0% | maquila:44.0% | textil:28.6% | scian_lavanderia:7.1%,315:80.0% | 314:7.1% | 812:7.1%,produccion:27.9pp | maquila:16.7pp | proceso_seco_explicito:15.9pp
CLUSTER_013,CLUSTER_017,0.04037846249765842,0.1152467674093806,0.07781261495351952,scian_textil:86.7% | actividad_confeccion:81.2% | proceso_seco_explicito:24.4% | textil:24.4% | maquila:17.8%,315:84.4% | 812:8.1% | 314:2.2%,textil:28.6pp | proceso_seco_explicito:23.2pp | maquila:19.1pp
CLUSTER_004,CLUSTER_008,0.05229868413705896,0.1186474872674046,0.08547308570223178,scian_textil:92.0% | actividad_confeccion:78.6% | maquila:55.8% | textil:28.6% | mezclilla:7.1%,315:85.7% | 812:7.1% | 314:3.0%,senal_mezclilla_o_pantalon:33.5pp | senal_pantalon:28.8pp | textil:16.5pp
