legacy_id,legacy_clee,legacy_nom_estab,legacy_raz_social,legacy_codigo_act,legacy_nombre_act,legacy_per_ocu,legacy_tipo_vial,legacy_nom_vial,legacy_tipo_v_e_1,legacy_nom_v_e_1,legacy_tipo_v_e_2,legacy_nom_v_e_2,legacy_tipo_v_e_3,legacy_nom_v_e_3,legacy_numero_ext,legacy_letra_ext,legacy_edificio,legacy_edificio_e,legacy_numero_int,legacy_letra_int,legacy_tipo_asent,legacy_nomb_asent,legacy_tipoCenCom,legacy_nom_CenCom,legacy_num_local,legacy_cod_postal,legacy_cve_ent,legacy_entidad,legacy_cve_mun,legacy_municipio,legacy_cve_loc,legacy_localidad,legacy_ageb,legacy_manzana,legacy_telefono,legacy_correoelec,legacy_www,legacy_tipoUniEco,legacy_latitud,legacy_longitud,legacy_fecha_alta,legacy__id_key,legacy_en_universo_hidrico_preliminar,legacy_en_mh,legacy_resultado_comparacion,legacy_razon_situacion,id_comparacion,actual_d_llave,actual_clee,actual_nom_est,actual_raz_soc,actual_cve_scian,actual_desc_scian,actual_Descripcion estrato personal ocupado,actual_Tipo de vialidad,actual_Nombre de la vialidad,actual_Tipo de entre vialidad 1,actual_Nombre de entre vialidad 1,actual_Tipo de entre vialidad 2,actual_Nombre de entre vialidad 2,actual_Tipo de entre vialidad 3,actual_Nombre de entre vialidad 3,actual_Numero exterior o kilometro,actual_Letra exterior,actual_Edificio,actual_Edificio Piso,actual_Numero interior,actual_Letra interior,actual_Tipo de asentamiento humano,actual_Nombre de asentamiento humano,actual_Tipo centro comercial,"actual_Corredor industrial, centro comercial o mercado publico",actual_Numero de local,actual_Codigo Postal,actual_Clave entidad,actual_Entidad federativa,actual_Clave municipio,actual_Municipio,actual_cve_loc,actual_localidad,actual_Area geoestadistica basica,actual_Manzana,actual_Numero de telefono,actual_Correo electronico,actual_Sitio en Internet,actual_Tipo de establecimiento,actual_Latitud,actual_Longitud,actual_Fecha de incorporacion al DENUE,actual_coincide_filtro_scian,actual_coincide_filtro_texto,actual_textil,actual_mezclilla,actual_humedo_explicito,actual_lavado_generico,actual_produccion,actual_maquila,actual_proceso_seco_explicito,actual_scian_textil,actual_scian_acabado_humedo,actual_scian_lavanderia,actual_sector_textil,actual_evidencia_hidrica,resultado_comparacion
10099363,21074315223001011000000000U4,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,SAN ISIDRO,CALLE,IXTACUIXTLA SUR,CALLE,PORFIRIO DIAZ,CALLE,ADOLFO LOPEZ MATEOS,28,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,167,6,2271136906,,,Fijo,19.20441257,-98.38004211,2024-11,10099363,TRUE,FALSE,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR,10099363,10099363,21074315223001011000000000U4,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,,315229,Confección en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,SAN ISIDRO,CALLE,IXTACUIXTLA SUR,CALLE,PORFIRIO DIAZ,CALLE,ADOLFO LOPEZ MATEOS,28,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0167,006,2271136906,,,Fijo,19.20441257,-98.38004211,2024-11,True,True,True,True,False,False,False,True,False,True,False,False,INCLUIR,REVISAR,AMBOS
10801837,21074812210000772000000000U7,LAVANDERIA SIN NOMBRE,,812210,Lavander�as y tintorer�as,6 a 10 personas,CALLE,REAL DE PUEBLA,OTRO(ESPECIFIQUE),CULTIVO,CALLE,IXTACUIXTLA SUR,CALLE,NARCISO MENDOZA,81,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,25,25,,,,Fijo,19.20672151,-98.37428614,2024-11,10801837,TRUE,FALSE,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR,10801837,10801837,21074812210000772000000000U7,LAVANDERIA SIN NOMBRE,,812210,Lavanderías y tintorerías,6 a 10 personas,CALLE,REAL DE PUEBLA,OTRO(ESPECIFIQUE),CULTIVO,CALLE,IXTACUIXTLA SUR,CALLE,NARCISO MENDOZA,81,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0025,025,,,,Fijo,19.20672151,-98.37428614,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR,AMBOS
11081907,21074812210000921000000000U0,BODEGA SIN NOMBRE,,812210,Lavander�as y tintorer�as,0 a 5 personas,CALLE,PRIMERO DE MAYO,CALLE,RIO XOCHIAC,PRIVADA,NINGUNO,PRIVADA,NINGUNO,,SN,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,190,25,,,,Fijo,19.21328834,-98.37489147,2024-11,11081907,TRUE,FALSE,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR,11081907,11081907,21074812210000921000000000U0,BODEGA SIN NOMBRE,,812210,Lavanderías y tintorerías,0 a 5 personas,CALLE,PRIMERO DE MAYO,CALLE,RIO XOCHIAC,PRIVADA,NINGUNO,PRIVADA,NINGUNO,,SN,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0190,025,,,,Fijo,19.21328834,-98.37489147,2024-11,True,False,False,False,False,False,False,False,False,False,False,True,REVISAR,REVISAR,AMBOS
11149643,21074812210000672000000000U9,LAVANDERIA LOS SOLARES,JOSE LUIS,812210,Lavander�as y tintorer�as,6 a 10 personas,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,,SN,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,25,800,,,,Fijo,19.20557939,-98.36887278,2024-11,11149643,TRUE,FALSE,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR,11149643,11149643,21074812210000672000000000U9,LAVANDERIA LOS SOLARES,JOSE LUIS,812210,Lavanderías y tintorerías,6 a 10 personas,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,,SN,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0025,800,,,,Fijo,19.20557939,-98.36887278,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR,AMBOS
3326066,21074812210000262001000000U9,LAVANDERIA LAVAPLUS,,812210,Lavander�as y tintorer�as,11 a 30 personas,CALLE,DIVISION DEL NORTE,PRIVADA,NINGUNO,CALLE,JAZMINES,CALLE,DIVISION DEL NORTE,,SN,,,,,PUEBLO,SANTA ANA XALMIMINULCO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,203,58,2225090728,,WWW.LAVAPLUS-LAVANDERIAINDUSTRIAL.COM,Fijo,19.21861458,-98.3819366,2014-12,3326066,TRUE,FALSE,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR,3326066,3326066,21074812210000262001000000U9,LAVANDERIA LAVAPLUS,,812210,Lavanderías y tintorerías,11 a 30 personas,CALLE,DIVISION DEL NORTE,PRIVADA,NINGUNO,CALLE,JAZMINES,CALLE,DIVISION DEL NORTE,,SN,,,,,PUEBLO,SANTA ANA XALMIMINULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0203,058,2225090728,,WWW.LAVAPLUS-LAVANDERIAINDUSTRIAL.COM,Fijo,19.21861458,-98.3819366,2014-12,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR,AMBOS
3326083,21074315229001261000000000U2,MAQUILA DE PANTALON DE MESCLILLA,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,RIO XOCHIAC,PRIVADA,NINGUNO,CALLE,REAL DE LA POSTA,CALLE,MELCHOR OCAMPO,1,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,203,7,,,,Fijo,19.2142724,-98.37712002,2014-12,3326083,TRUE,FALSE,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR,3326083,3326083,21074315229001261000000000U2,MAQUILA DE PANTALON DE MESCLILLA,,315229,Confección en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,RIO XOCHIAC,PRIVADA,NINGUNO,CALLE,REAL DE LA POSTA,CALLE,MELCHOR OCAMPO,1,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0203,007,,,,Fijo,19.2142724,-98.37712002,2014-12,True,True,True,True,False,False,False,True,False,True,False,False,INCLUIR,REVISAR,AMBOS
3326133,21074315229001451000000000U9,DESEBRADO DE BLUSA SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,PRIVADA,DOMINGO ARENAS,CALLE,EL REBOZO,CALLE,ADOLFO LOPEZ MATEOS,CALLE,VIOLETAS PONIENTE,52,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,190,21,2271093445,,,Fijo,19.2125903,-98.38502297,2014-12,3326133,FALSE,TRUE,SOLO_MH,PRODUCCION:EXCLUIR_SECO,3326133,3326133,21074315229001451000000000U9,DESEBRADO DE BLUSA SIN NOMBRE,,315229,Confección en serie de otra ropa exterior de materiales textiles,0 a 5 personas,PRIVADA,DOMINGO ARENAS,CALLE,EL REBOZO,CALLE,ADOLFO LOPEZ MATEOS,CALLE,VIOLETAS PONIENTE,52,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0190,021,2271093445,,,Fijo,19.2125903,-98.38502297,2014-12,True,True,True,True,False,False,True,False,True,True,False,False,INCLUIR,REVISAR,AMBOS
3326137,21074315229001301002000000U6,MAQUILA DE PANTALON FOSIL JEANS,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,CALLE,REFORMA,CALLE,VIOLETAS PONIENTE,CALLE,MORELOS,CALLE,MELCHOR OCAMPO,15,,,,,,PUEBLO,SANTA ANA XALMIMINULCO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,190,9,2227054744,JOSEROBERTO.JUAREZC@GMAIL.COM,,Fijo,19.21180747,-98.38308957,2014-12,3326137,TRUE,FALSE,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR,3326137,3326137,21074315229001301002000000U6,MAQUILA DE PANTALON FOSIL JEANS,,315229,Confección en serie de otra ropa exterior de materiales textiles,6 a 10 personas,CALLE,REFORMA,CALLE,VIOLETAS PONIENTE,CALLE,MORELOS,CALLE,MELCHOR OCAMPO,15,,,,,,PUEBLO,SANTA ANA XALMIMINULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0190,009,2227054744,JOSEROBERTO.JUAREZC@GMAIL.COM,,Fijo,19.21180747,-98.38308957,2014-12,True,True,True,True,False,False,False,True,False,True,False,False,INCLUIR,REVISAR,AMBOS
3326339,21074315229001291001000000U9,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,PRIVADA,NINGUNO,CALLE,NARCISO MENDOZA,OTRO(ESPECIFIQUE),CULTIVO,PRIVADA,NINGUNO,17,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,25,68,,,,Fijo,19.20577329,-98.37807708,2014-12,3326339,TRUE,TRUE,EN_AMBOS,INCLUIDO_PRELIMINAR,3326339,3326339,21074315229001291001000000U9,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,,315229,Confección en serie de otra ropa exterior de materiales textiles,6 a 10 personas,PRIVADA,NINGUNO,CALLE,NARCISO MENDOZA,OTRO(ESPECIFIQUE),CULTIVO,PRIVADA,NINGUNO,17,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0025,068,,,,Fijo,19.20577329,-98.37807708,2014-12,True,True,True,True,False,False,False,True,False,True,False,False,INCLUIR,REVISAR,AMBOS
3326348,21074315229001403002000000U0,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,11 a 30 personas,CALLE,NINGUNO,CALLE,VENUSTIANO CARRANZA,CALLE,SAN MANUEL,CALLE,IXTACUIXTLA SUR,15,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,74,Huejotzingo,29,Santa Ana Xalmimilulco,25,56,2481462395,,,Fijo,19.20615378,-98.38106673,2014-12,3326348,TRUE,FALSE,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR,3326348,3326348,21074315229001403002000000U0,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,,315229,Confección en serie de otra ropa exterior de materiales textiles,11 a 30 personas,CALLE,NINGUNO,CALLE,VENUSTIANO CARRANZA,CALLE,SAN MANUEL,CALLE,IXTACUIXTLA SUR,15,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0025,056,2481462395,,,Fijo,19.20615378,-98.38106673,2014-12,True,True,True,True,False,False,False,True,False,True,False,False,INCLUIR,REVISAR,AMBOS
