keyword_id,term,groups,process_stage,universe,evidence_level,classification_role,notes
kw001,textil,candidate_textile|textile_explicit|material,material_textil,principal,media,inclusion,Senal general de actividad textil
kw002,textilera,candidate_textile|textile_explicit|industrial,manufactura_textil,principal,alta,inclusion,Unidad descrita como industria textil
kw003,tela,candidate_textile|textile_explicit|material,material_textil,principal,media,inclusion,Material textil explicito
kw004,telas,candidate_textile|textile_explicit|material,material_textil,principal,media,inclusion,Material textil explicito
kw005,tejido,candidate_textile|textile_explicit|material|production,tejido,principal,alta,inclusion,Proceso de formacion de tela
kw006,tejeduria,candidate_textile|textile_explicit|material|production,tejido,principal,alta,inclusion,Proceso de formacion de tela
kw007,telar,candidate_textile|textile_explicit|material|production,tejido,principal,media,inclusion,Equipo o proceso de tejido
kw008,hilado,candidate_textile|textile_explicit|material|production,hilatura,principal,alta,inclusion,Produccion de hilo
kw009,hilatura,candidate_textile|textile_explicit|material|production,hilatura,principal,alta,inclusion,Produccion de hilo
kw010,hilo,candidate_textile|textile_explicit|material,material_textil,contexto,baja,alerta,Material textil que requiere contexto productivo
kw011,fibra textil,candidate_textile|textile_explicit|material,material_textil,principal,media,inclusion,Materia prima textil
kw012,pasamaneria,candidate_textile|textile_explicit|material,material_textil,principal,media,inclusion,Produccion de articulos textiles
kw013,mezclilla,candidate_textile|textile_explicit|denim,mezclilla_jeans,principal,alta,inclusion,Material prioritario para deslavado
kw014,mesclilla,candidate_textile|textile_explicit|denim,mezclilla_jeans,principal,alta,inclusion,Variante ortografica de mezclilla
kw015,denim,candidate_textile|textile_explicit|denim,mezclilla_jeans,principal,alta,inclusion,Material prioritario para deslavado
kw016,jean,candidate_textile|textile_explicit|denim,mezclilla_jeans,principal,alta,inclusion,Prenda o material de mezclilla
kw017,jeans,candidate_textile|textile_explicit|denim,mezclilla_jeans,principal,alta,inclusion,Prenda o material de mezclilla
kw018,pantalon de mezclilla,candidate_textile|textile_explicit|denim,mezclilla_jeans,principal,alta,inclusion,Producto de mezclilla explicito
kw019,pantalones de mezclilla,candidate_textile|textile_explicit|denim,mezclilla_jeans,principal,alta,inclusion,Producto de mezclilla explicito
