id,clee,localidad,etapa_productiva_sugerida,decision_estudio_sugerida,flag_estudio_prioritario
3326123,21074314991000161011000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11073004,21074315229002751000000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11444709,21074221312000021000000000U8,Santa Ana Xalmimilulco,acabado_textil,incluir_prioritario,True
8271528,21074315229001641000000000U5,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
8089385,21074315229001861000000000U9,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
6378259,21074313320000017000000000U8,Los Volcanes,fabricacion_textil,incluir_contexto_productivo,False
11137575,21074314991000311000000000U2,Santa Ana Xalmimilulco,bordado,incluir_contexto_productivo,False
10178860,21074314991000321000000000U1,Santa Ana Xalmimilulco,bordado,incluir_contexto_productivo,False
12292251,21074221312000032000000000U5,Rancho de los Caballos,acabado_textil,incluir_prioritario,True
9827043,21074314991000301000000000U3,Santa Ana Xalmimilulco,bordado,incluir_contexto_productivo,False
10939082,21074315223001191000000000U4,Santa Ana Xalmimilulco,revisar,mantener_pendiente,False
11304210,21074315223000561000000000U9,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
11539121,21074315223000781000000000U3,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8089451,21074315229001901000000000U3,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10122585,21074315223000971000000000U0,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
3326133,21074315229001451000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3326283,21074461190000381010000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8559589,21074315229001541001000000U7,Santa Ana Xalmimilulco,bordado,incluir_contexto_productivo,False
9926222,21074314991000291000000000U6,Santa Ana Xalmimilulco,bordado,incluir_contexto_productivo,False
11221708,21074315223001071000000000U8,Santa Ana Xalmimilulco,revisar,mantener_pendiente,False
11536634,21074314991000281000000000U7,Rancho de los Caballos,bordado,incluir_contexto_productivo,False
10947392,21074315229002491000000000U4,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
11155463,21074315223000831000000000U6,Santa Ana Xalmimilulco,revisar,mantener_pendiente,False
10597677,21074313240000023000000000U6,Centro Log�stico [Reserva Industrial],fabricacion_textil,incluir_contexto_productivo,False
8088969,21074315229001661000000000U3,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
11197761,21074315223000481000000000U0,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
10483301,21074315229002461000000000U7,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
11382766,21074315229002732000000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10966285,21074315223001301000000000U9,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
8776861,21074461110008371010000000U6,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
9590208,21074315223001201000000000U1,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
10830903,21074315229002621000000000U6,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
9566007,21074315223001311000000000U8,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
10965648,21074315223000881000000000U1,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
8118934,21074315229002071000000000U4,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
11031066,21074315223000271000000000U5,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
11530961,21074315223000342000000000U4,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
7742908,21074311830001391110000000U6,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
9645802,21074315223001251000000000U6,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,False
11615691,21074315229000932000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11580764,21074315223000741000000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11169870,21074315223000301000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9832799,21074315223000361000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10182979,21074315223001261000000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10228391,21074315223000631000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9938752,21074315229002681000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10380905,21074315223000761000000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3427188,21074315229001062000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11564564,21074315229002581000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8777526,21074315229002171000000000U2,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,True
11133786,21074315229002281000000000U9,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,True
3427952,21074812210000031010000000U8,Santa Ana Xalmimilulco,lavanderia_industrial,incluir_prioritario,True
11259950,21074315123000061000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8559575,21074315229001522001000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3427190,21074315229001243002000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10601053,21074315223001101000000000U3,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10332270,21074315223000491000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10388706,21074315223000991000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11252324,21074315123000041000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11541569,21074315223001211000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9811213,21074315229002691000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10498672,21074315223000111000000000U3,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11119423,21074315223000241000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10382850,21074314991000261000000000U9,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,True
8090633,21074315229002021000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
7742857,21074315229001561000000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3326137,21074315229001301002000000U6,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,True
