id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,source_folder,categoria_relevancia_ambiental,palabras_clave_detectadas,distancia_hidrografia_m,rango_distancia_hidrografia,latitud,longitud,categoria_auditada,notas_auditoria
3326133,21074315229001451000000000U9,DESEBRADO DE BLUSA SIN NOMBRE,315229,agebs\xalmimilulco,revisar,,318.9127687124768,250-500 m,19.2125903,-98.38502297,,
3427871,21074812210000202021000000U5,PEGADO DE PRESILLA SIN NOMBRE,315123,agebs\xalmimilulco,revisar,,603.9602257941615,500-1000 m,19.21221675,-98.38532579,,
3428329,21074812210000243010000000U9,POLIPROCESO,313310,agebs\xalmimilulco,revisar,,1172.2966924090542,>1000 m,19.21009567,-98.37624609,,
3538483,21074315229001255003000000U4,HERA APPAREL,315229,agebs\xalmimilulco,revisar,,114.44913156823104,100-250 m,19.19542489,-98.38726817,,
6378259,21074313320000017000000000U8,AUNDE MEXICO,313320,agebs\xalmimilulco,revisar,,1060.8624928779982,>1000 m,19.21664171,-98.41318695,,
6379033,21074313112000046000000000U8,ESPINTEX,313112,agebs\xalmimilulco,revisar,,593.4966910621499,500-1000 m,19.20632358,-98.41085379,,
6379890,21074313210000047100000000U8,SKYTEX MEXICO,313210,agebs\xalmimilulco,revisar,,45.2195896144847,0-100 m,19.21676433,-98.40587437,,
8089248,21074315229001771000000000U0,TERMINADO,315229,agebs\xalmimilulco,revisar,,964.2845008809292,500-1000 m,19.214406,-98.37765433,,
8089451,21074315229001901000000000U3,DESEBRADORA SIN NOMBRE,315229,agebs\xalmimilulco,revisar,,771.2905131649126,500-1000 m,19.20447416,-98.38030722,,
9650425,21074315229002291000000000U8,MAQUILLA,315229,agebs\xalmimilulco,revisar,,631.591902784276,500-1000 m,19.2140568,-98.38573989,,
9730300,21074315223001162000000000U5,TERMINADO,315229,agebs\xalmimilulco,revisar,,804.258787262092,500-1000 m,19.2143018,-98.3786737,,
9800677,21074315229002321000000000U3,MARQUILLA SIN NOMBRE,315229,agebs\xalmimilulco,revisar,,762.7008696898173,500-1000 m,19.21545438,-98.38702133,,
9804661,21074315229002591000000000U1,MAQUILLA SIN NOMBRE,315229,agebs\xalmimilulco,revisar,,1081.3592548552456,>1000 m,19.21433021,-98.38261209,,
9811409,21074315223001281000000000U3,VICTORIA LIRA LIRA,315229,agebs\xalmimilulco,revisar,,570.0656804310155,500-1000 m,19.20891569,-98.37730833,,
9877804,21074315229002611000000000U7,MAQUILLA,315229,agebs\xalmimilulco,revisar,,1075.282610630078,>1000 m,19.21343595,-98.38213862,,
9920113,21074812210000971000000000U5,PLANCHADO SIN NOMBRE,812210,agebs\xalmimilulco,revisar,,1059.1045315819692,>1000 m,19.21044099,-98.39010957,,
10029125,21074315229002351000000000U0,MAQUILLA,315229,agebs\xalmimilulco,revisar,,479.441185287915,250-500 m,19.2128435,-98.38306201,,
10105987,21074314120000061000000000U9,MONICA SANDOVAL JUAREZ,314120,agebs\xalmimilulco,revisar,,771.4701198545295,500-1000 m,19.21205382,-98.3812411,,
10401755,21074315229002801000000000U4,PASIFIC BRASH,315229,agebs\xalmimilulco,revisar,,936.8204212801002,500-1000 m,19.21007941,-98.38101726,,
10516759,21074315229002271000000000U0,MAQUILLA V SIN NOMBRE,315229,agebs\xalmimilulco,revisar,,694.5925535470122,500-1000 m,19.21551587,-98.38534479,,
10541104,21074315229002441000000000U9,MAQUILLA SIN NOMBRE,315229,agebs\xalmimilulco,revisar,,780.3252648989182,500-1000 m,19.21509667,-98.38405092,,
10623693,21074315223000671000000000U6,PRESILLA,315229,agebs\xalmimilulco,revisar,,1112.2638408197286,>1000 m,19.21687474,-98.37430582,,
10687795,21074315229002672000000000U9,MAQUILLA SIN NOMBRE,315229,agebs\xalmimilulco,revisar,,803.1305639115176,500-1000 m,19.21436984,-98.38784587,,
10752985,21074315223000963000000000U7,TERMINADO O PREPARADO,315229,agebs\xalmimilulco,revisar,,584.7360717864705,500-1000 m,19.2128111,-98.37686215,,
10815242,21074315229002311000000000U4,MAQUILLADORA SIN NOMBRE,315229,agebs\xalmimilulco,revisar,,622.2353632479285,500-1000 m,19.21263001,-98.38327724,,
11081907,21074812210000921000000000U0,BODEGA SIN NOMBRE,812210,agebs\xalmimilulco,revisar,,751.7410027638481,500-1000 m,19.21328834,-98.37489147,,
11084020,21074315229002962000000000U4,MAQUILLADORA SIN NOMBRE,315229,agebs\xalmimilulco,revisar,,897.6699383052924,500-1000 m,19.21521207,-98.38252041,,
11099113,21074812210000911000000000U1,PLANCHAS JOCA,812210,agebs\xalmimilulco,revisar,,880.5440451587393,500-1000 m,19.20723769,-98.38926716,,
11155463,21074315223000831000000000U6,BODEGA,315223,agebs\xalmimilulco,revisar,,569.6912550892471,500-1000 m,19.21128896,-98.37576557,,
11183668,21074812210000251000000000U2,BODEGA DE DESPERDICIO,812210,agebs\xalmimilulco,revisar,,750.8931252658,500-1000 m,19.2111932,-98.37746045,,
11221708,21074315223001071000000000U8,BOLSA TRACERA,315223,agebs\xalmimilulco,revisar,,972.2642240396456,500-1000 m,19.2130382,-98.37426874,,
11313187,21074315229002392000000000U4,MAQUILLADORA SOMBRE,315229,agebs\xalmimilulco,revisar,,943.4025828255662,500-1000 m,19.21339607,-98.38622131,,
11332144,21074315223000751000000000U6,TRABAJO DE OVER,315229,agebs\xalmimilulco,revisar,,1030.7624723848812,>1000 m,19.20708153,-98.37540259,,
11382766,21074315229002732000000000U1,ARTEMIO GARCIA SERRANO,315229,agebs\xalmimilulco,revisar,,1255.8400236285197,>1000 m,19.21129201,-98.38151913,,
11467703,21074315229002382000000000U5,MAQUILLA JUAREZ,315229,agebs\xalmimilulco,revisar,,308.5892652494291,250-500 m,19.21384453,-98.38440646,,
3326283,21074461190000381010000000U5,DISEÑO DE ROPA A LA MEDIDA,315225,agebs\xalmimilulco,revisar,,160.62235133224095,100-250 m,19.20923132,-98.38722989,,
6859807,21074313230000016002000000U1,SKYFELT,313230,agebs\xalmimilulco,revisar,,4.281905593624993,0-100 m,19.21737164,-98.40569301,,
6861846,21074812210000364001000000U3,STONE LAV,812210,agebs\xalmimilulco,revisar,,913.596503634522,500-1000 m,19.21707716,-98.37347932,,
8692099,21074541430000062111000000U5,PUBLICIDAD Y TEXTILES,323119,agebs\xalmimilulco,revisar,textiles,265.8743163645652,250-500 m,19.2125827,-98.37787272,,
9706371,21074315229002251000000000U2,JAVIER SANDOVAL CORDERO,315229,agebs\xalmimilulco,revisar,,978.5494663661344,500-1000 m,19.21211572,-98.38189756,,
9747796,21074313220000011000000000U3,MANUFACTURA DE ETIQUETA EN PIEL,313220,agebs\xalmimilulco,revisar,,1081.936037707714,>1000 m,19.21958272,-98.37372357,,
10122074,21074315229000271000000000U2,MAQUILLADORA SIN NOMBRE,315229,agebs\xalmimilulco,revisar,,824.6893186433564,500-1000 m,19.21349943,-98.38328084,,
10122585,21074315223000971000000000U0,ALEJANDRO GARITA JUAREZ,315229,agebs\xalmimilulco,revisar,,621.7510594629101,500-1000 m,19.2090004,-98.37746816,,
10262715,21074313310000111000000000U0,IMPRESOS EN SERVILLETAS PARA RECUERDO,313310,agebs\xalmimilulco,revisar,,269.3770385016121,250-500 m,19.21216914,-98.38222036,,
10328922,21074315229002573000000000U9,MAQUILLADORA LOS HERMANOS,315229,agebs\xalmimilulco,revisar,,539.4682467103175,500-1000 m,19.21304187,-98.37809667,,
10416578,21074315229002972000000000U3,MAQUILLADORA SIN NOMBRE,315229,agebs\xalmimilulco,revisar,,285.1506900481369,250-500 m,19.21669662,-98.38173764,,
10451408,21074812210000861000000000U8,STONE LAV,812210,agebs\xalmimilulco,revisar,,473.2490792656064,250-500 m,19.21703648,-98.37353551,,
10500192,21074315229002261000000000U1,MAQUILLA,315229,agebs\xalmimilulco,revisar,,933.1239169023728,500-1000 m,19.21399223,-98.38297451,,
10724349,21074315229002943000000000U4,LIDER CORDOBA,315229,agebs\xalmimilulco,revisar,,768.6046150289957,500-1000 m,19.21018665,-98.3815298,,
10939082,21074315223001191000000000U4,CREACIONES MARY,315223,agebs\xalmimilulco,revisar,,810.8405367842789,500-1000 m,19.21147172,-98.38285654,,
11198278,21074315223001051000000000U0,PRETINADOR,315223,agebs\xalmimilulco,revisar,,720.0340707723245,500-1000 m,19.20994035,-98.37729157,,
11521781,21074315229002362000000000U7,MAQUILLADORA,315229,agebs\xalmimilulco,revisar,,782.9798444381723,500-1000 m,19.21535967,-98.38111473,,
