id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,latitud,longitud,source_path,source_file,source_folder,layer_type,texto_busqueda,codigo_scian_detectado
3326398,21074811192000231000000000U5,AUTOLAVADO MONTANA,811192,19.16946679,-98.40682761,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074811192000231000000000u5 autolavado montana 811192 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,811192
3418468,21074811192000021000000000U9,AUTOLAVADO SAN MIGUEL,811192,19.15939599,-98.41498949,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074811192000021000000000u9 autolavado san miguel 811192 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,811192
3418518,21074811192000141000000000U6,AUTO LAVADO EL TIO MIGO,811192,19.15865098,-98.41415606,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074811192000141000000000u6 auto lavado el tio migo 811192 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,811192
3418604,21074811192000191000000000U1,AUTOLAVADO IBIZA,811192,19.14925864,-98.40400144,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074811192000191000000000u1 autolavado ibiza 811192 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,811192
3426682,21074463211000621000000000U6,PP S JEANS BOUTIQUE,463211,19.16194855,-98.40691456,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074463211000621000000000u6 pp s jeans boutique 463211 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,463211
3426890,21074315223000021000000000U4,TIENDA DE ROPA UNIFORMES MENDIETA,315223,19.16085892,-98.41137991,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315223000021000000000u4 tienda de ropa uniformes mendieta 315223 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315223
8089578,21074314991000191000000000U8,VENTA DE GAZNE SIN NOMBRE,314991,19.16168955,-98.40859238,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074314991000191000000000u8 venta de gazne sin nombre 314991 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,314991
8120601,21074315223000041000000000U2,VENTA DE UNIFORMES ESCOLARES GORZO,315223,19.15832181,-98.40985321,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315223000041000000000u2 venta de uniformes escolares gorzo 315223 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315223
8121071,21074811192000431000000000U1,AUTOLAVADO EL CHAS,811192,19.14807361,-98.40593546,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074811192000431000000000u1 autolavado el chas 811192 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,811192
8271458,21074811192000371000000000U9,AUTO LAVADO CLICK MASTER,811192,19.15832279,-98.41253667,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074811192000371000000000u9 auto lavado click master 811192 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,811192
