id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,source_folder,categoria_relevancia_ambiental,palabras_clave_detectadas,distancia_hidrografia_m,rango_distancia_hidrografia,latitud,longitud,nota_metodologica
3325807,21074315229001032000000000U7,TEXTILERA DE PANTALON JEANS EMOCIONES,315229,agebs\huejotzingo,media_relevancia_ambiental,jeans; pantalon; textil,563.1612887761776,500-1000 m,19.16438288,-98.42045081,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
3325813,21074313210000056111000000U9,INDUSTRIAS MAQUIN,313230,agebs\huejotzingo,revisar,,921.240971064623,500-1000 m,19.1613441,-98.39156164,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
3325963,21074315225000111000000000U8,SONIA MENDEZ NOVIAS,315225,agebs\huejotzingo,revisar,,1041.6673268475884,>1000 m,19.16396502,-98.40408051,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
7872777,21074315229001612000000000U6,TALLER BOMBON JEANS,315229,agebs\huejotzingo,media_relevancia_ambiental,jeans,240.64408916616085,100-250 m,19.16102632,-98.40166978,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
8089412,21074315229001873000000000U4,TALLER DE PANTALON SIN NOMBRE,315229,agebs\huejotzingo,media_relevancia_ambiental,pantalon,1217.059569189632,>1000 m,19.16109958,-98.40383744,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
8089749,21074315229001921000000000U1,DESHEBRADO DE PANTALON SIN NOMBRE,315229,agebs\huejotzingo,media_relevancia_ambiental,deshebrado; pantalon,336.25814357309787,250-500 m,19.17098447,-98.40741127,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
8111993,21074315225000161001000000U3,ELABORACION DE ROPA SIN NOMBRE,315225,agebs\huejotzingo,media_relevancia_ambiental,,85.98646275224843,0-100 m,19.1711945,-98.40909877,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
8121067,21074315225000191000000000U0,MODISTA LUCIA,315225,agebs\huejotzingo,media_relevancia_ambiental,modista,374.40470125587626,250-500 m,19.14723262,-98.40603197,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
8271641,21074465915000021010000000U3,CREACIONES MAYRA,315224,agebs\huejotzingo,revisar,,363.02028706415024,250-500 m,19.16529124,-98.40650601,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
8271825,21074812210000401000000000U3,TINTORERIA HIGIENICA,812210,agebs\huejotzingo,alta_relevancia_ambiental,tintoreria,550.7543521535267,500-1000 m,19.16117536,-98.41133705,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
8279928,21074812210000541000000000U6,LAVANDERIA EL REHILETE,812210,agebs\huejotzingo,alta_relevancia_ambiental,lavanderia,658.4668822693124,500-1000 m,19.16077465,-98.40040422,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
8592165,21074812210000571000000000U3,LAVANDERIA SUNNY CLEAN,812210,agebs\huejotzingo,alta_relevancia_ambiental,lavanderia,184.002792065141,100-250 m,19.15472383,-98.40865163,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
8803988,21074812210000561000000000U4,TINTORERIA SANTIAGO,812210,agebs\huejotzingo,alta_relevancia_ambiental,tintoreria,153.3478692122728,100-250 m,19.15485774,-98.40856363,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
9347738,21074315229002223001000000U1,MAQUILADORA ESTYR BLUE MICHELLE JEANS,315229,agebs\huejotzingo,media_relevancia_ambiental,jeans; maquila,22.24969336173728,0-100 m,19.15536543,-98.40027993,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
9440789,21074325620000013000000000U6,PMP PRODUCTOS Y MAQUILAS DE PUEBLA,325620,agebs\huejotzingo,media_relevancia_ambiental,maquila,42.90923552958895,0-100 m,19.16625856,-98.38609275,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
9624559,21074812210000681000000000U0,LAVANDERIA SERGIO,812210,agebs\huejotzingo,alta_relevancia_ambiental,lavanderia,7.814713566941766,0-100 m,19.17696831,-98.39106949,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
9682319,21074314991000271000000000U8,BORDADOS COMPUTARIZADOS,314991,agebs\huejotzingo,media_relevancia_ambiental,bordado,220.37401184225732,100-250 m,19.16159272,-98.41213947,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
9734956,21074315229002843000000000U6,COLMEX CONFECCIONES,315229,agebs\huejotzingo,media_relevancia_ambiental,confeccion,720.2802720035517,500-1000 m,19.1523526,-98.40723685,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
