id,clee,nombre_de_la_unidad_economica,raz_social,codigo_de_la_clase_actividad_scian,nombre_clase_actividad_scian,categoria_clasificacion,regla_decisiva,terminos_detectados,per_ocu,clasificacion_proceso_hidrico,decision_hidrica_automatica,prioridad_hidrica_produccion,causa_decision_hidrica,en_mh,antecedente_mh,nota_antecedente_mh,direccion_completa,tipo_vial,nom_vial,numero_ext,letra_ext,numero_int,letra_int,tipo_asent,nomb_asent,cod_postal,localidad,municipio,entidad,telefono,correoelec,www,latitud_revision,longitud_revision,url_busqueda_google_maps,url_punto_google_maps,url_openstreetmap,estado_revision_manual,establecimiento_encontrado,actividad_observada,evidencia_textil,evidencia_mezclilla,evidencia_proceso_humedo,decision_manual,confianza_revision,fuentes_consultadas,fecha_revision,revisor,notas_revision
9926222,21074314991000291000000000U6,BORDADO,,314991,"Confecci�n, bordado y deshilado de productos textiles",produccion_textil,base_saic_textil,bordado,0 a 5 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"CALLE MELCHOR OCAMPO 12, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,MELCHOR OCAMPO,12,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2271155752,,,19.2169657,-98.37573714,https://www.google.com/maps/search/?api=1&query=CALLE+MELCHOR+OCAMPO+12+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.2169657%2C-98.37573714,https://www.openstreetmap.org/?mlat=19.2169657&mlon=-98.3757371#map=19/19.2169657/-98.3757371,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
9827043,21074314991000301000000000U3,BORDADO DE SERVILLETAS,,314991,"Confecci�n, bordado y deshilado de productos textiles",produccion_textil,base_saic_textil,bordado|servilletas,0 a 5 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"CALLE CARRIL A DE AGUA SANTA SN, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,CARRIL A DE AGUA SANTA,,SN,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2224857048,,,19.20957455,-98.37465899,https://www.google.com/maps/search/?api=1&query=CALLE+CARRIL+A+DE+AGUA+SANTA+SN+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.20957455%2C-98.37465899,https://www.openstreetmap.org/?mlat=19.2095745&mlon=-98.3746590#map=19/19.2095745/-98.3746590,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
10178860,21074314991000321000000000U1,BORDADORA SIN NOMBRE,,314991,"Confecci�n, bordado y deshilado de productos textiles",produccion_textil,base_saic_textil,bordado,0 a 5 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"CALLE RAFAEL ESPINOSA FLORES SN, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,RAFAEL ESPINOSA FLORES,,SN,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,,,,19.20481154,-98.38520812,https://www.google.com/maps/search/?api=1&query=CALLE+RAFAEL+ESPINOSA+FLORES+SN+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.20481154%2C-98.38520812,https://www.openstreetmap.org/?mlat=19.2048115&mlon=-98.3852081#map=19/19.2048115/-98.3852081,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
11137575,21074314991000311000000000U2,BORDADOS,,314991,"Confecci�n, bordado y deshilado de productos textiles",produccion_textil,base_saic_textil,bordado|bordados,0 a 5 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"CALLE 16 DE SEPTIEMBRE SN, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,16 DE SEPTIEMBRE,,SN,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2482252082,,,19.21195405,-98.37814439,https://www.google.com/maps/search/?api=1&query=CALLE+16+DE+SEPTIEMBRE+SN+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.21195405%2C-98.37814439,https://www.openstreetmap.org/?mlat=19.2119540&mlon=-98.3781444#map=19/19.2119540/-98.3781444,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
8559589,21074315229001541001000000U7,BORDADOS SOLIS,,314991,"Confecci�n, bordado y deshilado de productos textiles",produccion_textil,base_saic_textil,bordado|bordados,11 a 30 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"PROLONGACION RAFAEL SERRANO SN, COLONIA SAN ANTONIO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",PROLONGACION,RAFAEL SERRANO,,SN,,,COLONIA,SAN ANTONIO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2271093430,,,19.20792287,-98.3850324,https://www.google.com/maps/search/?api=1&query=PROLONGACION+RAFAEL+SERRANO+SN+COLONIA+SAN+ANTONIO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.20792287%2C-98.3850324,https://www.openstreetmap.org/?mlat=19.2079229&mlon=-98.3850324#map=19/19.2079229/-98.3850324,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
11073004,21074315229002751000000000U1,CORTE DE PANTALON,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,produccion_textil,base_saic_textil,corte|ropa|pantalon,0 a 5 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"PRIVADA MAGNOLIA 3, COLONIA CENTRO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",PRIVADA,MAGNOLIA,3,,,,COLONIA,CENTRO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2271064993,,,19.21128246,-98.38003737,https://www.google.com/maps/search/?api=1&query=PRIVADA+MAGNOLIA+3+COLONIA+CENTRO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.21128246%2C-98.38003737,https://www.openstreetmap.org/?mlat=19.2112825&mlon=-98.3800374#map=19/19.2112825/-98.3800374,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
3326123,21074314991000161011000000U1,CORTE DE PANTALON SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,produccion_textil,base_saic_textil,corte|ropa|pantalon,6 a 10 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"CALLE BENITO JUAREZ 4, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,BENITO JUAREZ,4,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2271250290,,,19.21366359,-98.3881916,https://www.google.com/maps/search/?api=1&query=CALLE+BENITO+JUAREZ+4+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.21366359%2C-98.3881916,https://www.openstreetmap.org/?mlat=19.2136636&mlon=-98.3881916#map=19/19.2136636/-98.3881916,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
3326133,21074315229001451000000000U9,DESEBRADO DE BLUSA SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,produccion_textil,inc_mezclilla_texto,desebrado|ropa,0 a 5 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",True,VISTO_BUENO_PREVIO_MH,"MH incluyó previamente este ID DENUE; usar como antecedente favorable, sin asumir que confirma proceso húmedo actual","PRIVADA DOMINGO ARENAS 52, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",PRIVADA,DOMINGO ARENAS,52,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2271093445,,,19.2125903,-98.38502297,https://www.google.com/maps/search/?api=1&query=PRIVADA+DOMINGO+ARENAS+52+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.2125903%2C-98.38502297,https://www.openstreetmap.org/?mlat=19.2125903&mlon=-98.3850230#map=19/19.2125903/-98.3850230,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
8089451,21074315229001901000000000U3,DESEBRADORA SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,produccion_textil,base_saic_textil,ropa,0 a 5 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"CALLE SAN ISIDRO 25, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,SAN ISIDRO,25,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,,,,19.20447416,-98.38030722,https://www.google.com/maps/search/?api=1&query=CALLE+SAN+ISIDRO+25+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.20447416%2C-98.38030722,https://www.openstreetmap.org/?mlat=19.2044742&mlon=-98.3803072#map=19/19.2044742/-98.3803072,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
11539121,21074315223000781000000000U3,DESHEBRA PANTALONES,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,produccion_textil,base_saic_textil,ropa,0 a 5 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"PRIVADA DIVISION DEL NORTE SN, COLONIA SANTA CRUZ, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",PRIVADA,DIVISION DEL NORTE,,SN,,,COLONIA,SANTA CRUZ,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2271121709,,,19.21983429,-98.38307406,https://www.google.com/maps/search/?api=1&query=PRIVADA+DIVISION+DEL+NORTE+SN+COLONIA+SANTA+CRUZ+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.21983429%2C-98.38307406,https://www.openstreetmap.org/?mlat=19.2198343&mlon=-98.3830741#map=19/19.2198343/-98.3830741,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
