_id_key,id,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,nombre_clase_actividad_scian,clasificacion_anterior,flag_anterior,categoria_filtro,flag_nuevo_relevante,flag_nuevo_revisar,comparacion_filtro,motivo_clasificacion,keywords_detectadas
12301257,12301257,SERVICIO DE MANTENIMIENTO INDUSTRIAL,236221,"Edificaci�n de inmuebles comerciales y de servicios, excepto la supervisi�n",sin_registro_en_filtro_anterior,False,fuera_filtro,False,False,antes_no_ahora_fuera,Sin senal suficiente para el universo textil o de revision.,industrial
10087386,10087386,CENTRO REPOSTERO FLAMINGO,311812,Panificaci�n tradicional,sin_registro_en_filtro_anterior,False,fuera_filtro,False,False,antes_no_ahora_fuera,Sin senal suficiente para el universo textil o de revision.,
11137065,11137065,CHURRERIA SANTA ANA,311910,Elaboraci�n de botanas,sin_registro_en_filtro_anterior,False,fuera_filtro,False,False,antes_no_ahora_fuera,Sin senal suficiente para el universo textil o de revision.,
9769559,9769559,MANTENIMIENTO INDUSTRIAL,236221,"Edificaci�n de inmuebles comerciales y de servicios, excepto la supervisi�n",sin_registro_en_filtro_anterior,False,fuera_filtro,False,False,antes_no_ahora_fuera,Sin senal suficiente para el universo textil o de revision.,industrial
3326123,3326123,CORTE DE PANTALON SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,no_prioritario_anterior,False,produccion_textil,True,False,antes_no_ahora_entra,Actividad manufacturera textil explicita por SCIAN y/o texto.,corte; pantalon; ropa
11073004,11073004,CORTE DE PANTALON,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,no_prioritario_anterior,False,produccion_textil,True,False,antes_no_ahora_entra,Actividad manufacturera textil explicita por SCIAN y/o texto.,corte; pantalon; ropa
11444709,11444709,AGUA POTABLE COAPAXAL,221312,"Captaci�n, tratamiento y suministro de agua realizados por el sector p�blico",prioritario_anterior,True,fuera_filtro,False,False,antes_entraba_ahora_excluye,Sin senal suficiente para el universo textil o de revision.,agua potable; tratamiento
8271528,8271528,DESHEBRADO DE PANTALON SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,no_prioritario_anterior,False,produccion_textil,True,False,antes_no_ahora_entra,Actividad manufacturera textil explicita por SCIAN y/o texto.,deshebrado; pantalon; ropa
8089385,8089385,DESHEBRADO SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,no_prioritario_anterior,False,produccion_textil,True,False,antes_no_ahora_entra,Actividad manufacturera textil explicita por SCIAN y/o texto.,deshebrado; ropa
11137575,11137575,BORDADOS,314991,"Confecci�n, bordado y deshilado de productos textiles",no_prioritario_anterior,False,produccion_textil,True,False,antes_no_ahora_entra,Actividad manufacturera textil explicita por SCIAN y/o texto.,bordado; bordados
10178860,10178860,BORDADORA SIN NOMBRE,314991,"Confecci�n, bordado y deshilado de productos textiles",no_prioritario_anterior,False,produccion_textil,True,False,antes_no_ahora_entra,Actividad manufacturera textil explicita por SCIAN y/o texto.,bordado
9827043,9827043,BORDADO DE SERVILLETAS,314991,"Confecci�n, bordado y deshilado de productos textiles",no_prioritario_anterior,False,excluir_actividad_no_objetivo,False,False,antes_no_ahora_fuera,Actividad de confeccion menor planchado insumos o giro no textil sin proceso humedo suficiente.,bordado; servilletas
8089397,8089397,CREMERIA DO�A JUANITA,311513,Elaboraci�n de derivados y fermentos l�cteos,sin_registro_en_filtro_anterior,False,fuera_filtro,False,False,antes_no_ahora_fuera,Sin senal suficiente para el universo textil o de revision.,
10939082,10939082,CREACIONES MARY,315223,Confecci�n en serie de uniformes,no_prioritario_anterior,False,produccion_textil,True,False,antes_no_ahora_entra,Actividad manufacturera textil explicita por SCIAN y/o texto.,
11304210,11304210,DESHEBRADO,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,no_prioritario_anterior,False,produccion_textil,True,False,antes_no_ahora_entra,Actividad manufacturera textil explicita por SCIAN y/o texto.,deshebrado; ropa
11539121,11539121,DESHEBRA PANTALONES,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,no_prioritario_anterior,False,produccion_textil,True,False,antes_no_ahora_entra,Actividad manufacturera textil explicita por SCIAN y/o texto.,ropa
8089451,8089451,DESEBRADORA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,no_prioritario_anterior,False,produccion_textil,True,False,antes_no_ahora_entra,Actividad manufacturera textil explicita por SCIAN y/o texto.,ropa
