id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,source_folder,categoria_relevancia_ambiental,palabras_clave_detectadas,distancia_hidrografia_m,rango_distancia_hidrografia,latitud,longitud,categoria_auditada,notas_auditoria,fuente_auditoria,query_maps,query_web,keywords_detectadas,criterio_auditoria,criterio_auditoria_sugerido,categoria_sugerida,prioridad_revision,decision_estudio,texto_auditoria_normalizado,region_auditoria,localidad_auditoria,municipio_auditoria,archivo_origen_auditoria,distancia_hidrografia_auditoria_m,__original_columns
11488206,21074315121000023000000000U6,BONETERA DE PUEBLA SAN JOSE,315121,agebs\huejotzingo,revisar,,39.38290354228654,0-100 m,19.14630178,-98.38867009,,,,BONETERA DE PUEBLA SAN JOSE Huejotzingo Puebla Google Maps,BONETERA DE PUEBLA SAN JOSE Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,alta,,bonetera de puebla san jose 315121 nan agebs huejotzingo,huejotzingo,Huejotzingo,Huejotzingo,auditoria_revisar_huejotzingo_enriquecida.csv,39.38290354228654,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
11095597,21074315224000091000000000U5,MASCARAS DE CARNAVAL,315224,agebs\huejotzingo,revisar,,51.536118971083646,0-100 m,19.15676224,-98.41094181,,,,MASCARAS DE CARNAVAL Huejotzingo Puebla Google Maps,MASCARAS DE CARNAVAL Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,alta,,mascaras de carnaval 315224 nan agebs huejotzingo,huejotzingo,Huejotzingo,Huejotzingo,auditoria_revisar_huejotzingo_enriquecida.csv,51.536118971083646,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
6380169,21074313113000035010000000U9,TRITON INDUSTRIAL,313112,agebs\huejotzingo,revisar,,101.19118992559518,100-250 m,19.16088818,-98.38644329,,,,TRITON INDUSTRIAL Huejotzingo Puebla Google Maps,TRITON INDUSTRIAL Huejotzingo Puebla textil mezclilla lavanderia tintoreria acabado,alta: industrial,"posible proceso humedo/textil: contiene keywords de lavado, tenido, tintoreria, acabado o insumos quimicos","posible proceso humedo/textil: contiene keywords de lavado, tenido, tintoreria, acabado o insumos quimicos",alta,alta,,triton industrial 313112 nan agebs huejotzingo,huejotzingo,Huejotzingo,Huejotzingo,auditoria_revisar_huejotzingo_enriquecida.csv,101.19118992559518,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
9522648,21074812210000591000000000U1,TINTOWASH,812210,agebs\huejotzingo,revisar,,105.14881671981745,100-250 m,19.16599298,-98.40553468,,,,TINTOWASH Huejotzingo Puebla Google Maps,TINTOWASH Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,alta,,tintowash 812210 nan agebs huejotzingo,huejotzingo,Huejotzingo,Huejotzingo,auditoria_revisar_huejotzingo_enriquecida.csv,105.14881671981745,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
9844272,21074314991000333000000000U6,GEMINIS TEXTIL,314991,agebs\huejotzingo,revisar,textil,105.57486391863836,100-250 m,19.15548527,-98.41286449,,,,GEMINIS TEXTIL Huejotzingo Puebla Google Maps,GEMINIS TEXTIL Huejotzingo Puebla textil maquila confeccion taller,media: textil,posible proceso productivo textil sin evidencia humeda/quimica,posible proceso productivo textil sin evidencia humeda/quimica,media,alta,,geminis textil 314991 textil agebs huejotzingo,huejotzingo,Huejotzingo,Huejotzingo,auditoria_revisar_huejotzingo_enriquecida.csv,105.57486391863836,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
10582863,21074313220000025000000000U3,CINTAS Y ETIQUETAS ESPINO,313220,agebs\huejotzingo,revisar,,125.67999974369457,100-250 m,19.16242646,-98.37899739,,,,CINTAS Y ETIQUETAS ESPINO Huejotzingo Puebla Google Maps,CINTAS Y ETIQUETAS ESPINO Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,alta,,cintas y etiquetas espino 313220 nan agebs huejotzingo,huejotzingo,Huejotzingo,Huejotzingo,auditoria_revisar_huejotzingo_enriquecida.csv,125.67999974369457,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
8559701,21074314993000013000000000U0,FIBRAS TEXTIL NEPTUNO,314993,agebs\huejotzingo,revisar,textil,197.68647711265507,100-250 m,19.16161451,-98.38403303,,,,FIBRAS TEXTIL NEPTUNO Huejotzingo Puebla Google Maps,FIBRAS TEXTIL NEPTUNO Huejotzingo Puebla textil maquila confeccion taller,media: textil,posible proceso productivo textil sin evidencia humeda/quimica,posible proceso productivo textil sin evidencia humeda/quimica,media,alta,,fibras textil neptuno 314993 textil agebs huejotzingo,huejotzingo,Huejotzingo,Huejotzingo,auditoria_revisar_huejotzingo_enriquecida.csv,197.68647711265507,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
11827938,21074313210000105000000000U4,INDORAMA VENTURES MOBILITY PUEBLA,313210,agebs\huejotzingo,revisar,,211.67224426260253,100-250 m,19.15856927,-98.37948213,,,,INDORAMA VENTURES MOBILITY PUEBLA Huejotzingo Puebla Google Maps,INDORAMA VENTURES MOBILITY PUEBLA Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,alta,,indorama ventures mobility puebla 313210 nan agebs huejotzingo,huejotzingo,Huejotzingo,Huejotzingo,auditoria_revisar_huejotzingo_enriquecida.csv,211.67224426260253,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
10597677,21074313240000023000000000U6,BEKAERTDESLEE,313240,agebs\huejotzingo,revisar,,241.0926120900237,100-250 m,19.17966759,-98.37502579,,,,BEKAERTDESLEE Huejotzingo Puebla Google Maps,BEKAERTDESLEE Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,alta,,bekaertdeslee 313240 nan agebs huejotzingo,huejotzingo,Huejotzingo,Huejotzingo,auditoria_revisar_huejotzingo_enriquecida.csv,241.0926120900237,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
11484735,21074313111000021000000000U3,CASA OLIVER,313111,agebs\huejotzingo,revisar,,307.29928807558366,250-500 m,19.16097359,-98.4070651,,,,CASA OLIVER Huejotzingo Puebla Google Maps,CASA OLIVER Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,manual,,casa oliver 313111 nan agebs huejotzingo,huejotzingo,Huejotzingo,Huejotzingo,auditoria_revisar_huejotzingo_enriquecida.csv,307.29928807558366,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
