comparacion,_id_key,_clee_key,nom_estab,codigo_act,nombre_act,municipio,localidad,FILTRO,_name_norm
solo_denue2026,12301257,21074236221000031000000000U3,SERVICIO DE MANTENIMIENTO INDUSTRIAL,236221,"Edificaci�n de inmuebles comerciales y de servicios, excepto la supervisi�n",Huejotzingo,Santa Ana Xalmimilulco,,SERVICIO DE MANTENIMIENTO INDUSTRIAL
solo_denue2026,12292251,21074221312000032000000000U5,SOSAPAHUE,221312,"Captaci�n, tratamiento y suministro de agua realizados por el sector p�blico",Huejotzingo,Rancho de los Caballos,,SOSAPAHUE
solo_denue2026,12269704,21074322131000033000000000U5,CARTRO,322131,Fabricaci�n de cart�n en plantas integradas,Huejotzingo,Centro Log�stico [Reserva Industrial],,CARTRO
solo_denue2026,12310043,21074336390000037000000000U2,AIR THERMAL SYSTEMS,336390,Fabricaci�n de otras partes para veh�culos automotrices,Huejotzingo,Centro Log�stico [Reserva Industrial],,AIR THERMAL SYSTEMS
solo_denue2026,12330513,21074339999000176000000000U3,SMI TAPAS,339999,Otras industrias manufactureras,Huejotzingo,Los Volcanes,,SMI TAPAS
solo_denue2026,6379799,21174431191000035112007670S0,PEPSICO CEDIS HUEJOTZINGO,431192,Comercio al por mayor de botanas y frituras,Huejotzingo,Centro Log�stico [Reserva Industrial],,PEPSICO CEDIS HUEJOTZINGO
solo_denue2026,12295908,21074467116000023000008267S2,HOME DEPOT LSC 1314 PUEBLA,467116,Comercio al por menor de materiales para la construcci�n en tiendas de autoservicio especializadas,Huejotzingo,Centro Log�stico [Reserva Industrial],,HOME DEPOT LSC 1314 PUEBLA
solo_denue2026,12321491,21074462112000571000008202S4,OXXO SUC 50QP3 ALC�ZAR PBF,462112,Comercio al por menor en minisupers,Huejotzingo,Santiago Mextla,,OXXO SUC 50QP3 ALC ZAR PBF
solo_denue2026,9419793,21074522210000031000041010S9,BANCO DEL BIENESTAR 1888 HUEJOTZINGO XALMIMILULCO,522210,Banca de desarrollo,Huejotzingo,Santa Ana Xalmimilulco,,BANCO DEL BIENESTAR 1888 HUEJOTZINGO XALMIMILULCO
solo_denue2026,9402530,21074522210000021000041010S0,BANCO DEL BIENESTAR 1499 HUEJOTZINGO LOS SAUCES,522210,Banca de desarrollo,Huejotzingo,Rancho de los Caballos,,BANCO DEL BIENESTAR 1499 HUEJOTZINGO LOS SAUCES
solo_denue2026,12284814,21074517910000111000000000U1,NET FI,517910,Otros servicios de telecomunicaciones,Huejotzingo,Santa Ana Xalmimilulco,,NET FI
solo_denue2026,12270313,21074484231000021000000000U2,TRANSPORTE DE MATERIAL PARA CONSTRUCCION,484231,Autotransporte for�neo de materiales para la construcci�n,Huejotzingo,Santa Ana Xalmimilulco,,TRANSPORTE DE MATERIAL PARA CONSTRUCCION
solo_denue2026,12282141,21074621341000211000000000U0,,621341,"Consultorios del sector privado de audiolog�a y de terapia ocupacional, f�sica y del lenguaje",Huejotzingo,Santa Ana Xalmimilulco,,
solo_denue2026,12325464,21074624411000101000000000U1,,624411,Guarder�as del sector privado,Huejotzingo,Rancho de los Caballos,,
solo_denue2026,12280285,21074621211000641000000000U3,,621211,Consultorios dentales del sector privado,Huejotzingo,Rancho de los Caballos,,
solo_denue2026,12280143,21074621211000651000000000U2,CENTRO MEDICO LOS SAUCES,621211,Consultorios dentales del sector privado,Huejotzingo,Rancho de los Caballos,,CENTRO MEDICO LOS SAUCES
solo_denue2026,12282774,21074621391000041000000000U6,SERVICIOS DE NUTRICION SIN NOMBRE,621391,Consultorios de nutri�logos y dietistas del sector privado,Huejotzingo,Santa Ana Xalmimilulco,,SERVICIOS DE NUTRICION SIN NOMBRE
solo_denue2026,12278827,21074621211000671000000000U0,CONSULTORIO DENTAL SIN NOMBRE,621211,Consultorios dentales del sector privado,Huejotzingo,Santa Ana Xalmimilulco,,CONSULTORIO DENTAL SIN NOMBRE
solo_denue2026,12290215,21074722513001471000000000U1,ELABORACION DE QUEZADILLAS Y GORDITAS SIN NOMBRE,722513,Restaurantes con servicio de preparaci�n de antojitos,Huejotzingo,Santa Ana Xalmimilulco,,ELABORACION DE QUEZADILLAS Y GORDITAS SIN NOMBRE
solo_denue2026,12304932,21074722519001691000000000U1,HERBALIFE,722519,Servicios de preparaci�n de otros alimentos para consumo inmediato,Huejotzingo,Santa Ana Xalmimilulco,,HERBALIFE
solo_denue2026,12290290,21074722513001461000098333S2,PASTEKO AVAZA,722513,Restaurantes con servicio de preparaci�n de antojitos,Huejotzingo,La Posta,,PASTEKO AVAZA
solo_denue2026,9433534,21074813210000464000000000U0,IGLESIA METODISTA GENESIS,813210,Asociaciones y organizaciones religiosas,Huejotzingo,Santa Ana Xalmimilulco,,IGLESIA METODISTA GENESIS
solo_maryhelen_mh2,6148976,21074237312000023011000000U6,GRUPO CONSTRUCTOR HERMIT,236211,"Edificaci�n de naves y plantas industriales, excepto la supervisi�n",Huejotzingo,Huejotzingo,,GRUPO CONSTRUCTOR HERMIT
solo_maryhelen_mh2,11810653,21074431211000024000000000S2,DEL FRUTO DISTRIBUIDORA Y COMERCIALIZADORA REFRESQUERA,431211,Comercio al por mayor de bebidas no alcoh�licas y hielo,Huejotzingo,Los Volcanes,,DEL FRUTO DISTRIBUIDORA Y COMERCIALIZADORA REFRESQUERA
solo_maryhelen_mh2,6830715,21074522110000251000000000U5,CAJERO AUTOM�TICO BBVA BANCOMER,522110,Banca m�ltiple,Huejotzingo,Los Volcanes,,CAJERO AUTOM TICO BBVA BANCOMER
