id,clee_denue2026,clee_maryhelen_mh2,nombre_denue2026,nombre_maryhelen_mh2,cambio_clee,cambio_nombre
10080659,21074325610000031000000000U9,21074325610000031000000000S9,INDUSTRIA QUIMICA PQT,INDUSTRIA QUIMICA PQT,True,False
10180246,21074463310000781000000000U8,21074463310000781000000000M8,ZAPATERIA AMARO,ZAPATERIA AMARO,True,False
10382850,21074314991000261000000000U9,21074314991000261000000000S9,GILCERJEANS,GILCERJEANS,True,False
10419011,21074811491000091000000000U9,21074811491000091000088713S9,CERRAJERIA EL JAROCHITO,CERRAJERIA EL JAROCHITO,True,False
10506014,21074466211000041000000000U4,21074466211000041000000000S4,PC IXOYE,PC IXOYE,True,False
10525848,21074467115000701000000000U5,21074467115000701000000000S5,PRODUCTOS DE LIMPIEZA AVRIL,PRODUCTOS DE LIMPIEZA AVRIL,True,False
10532448,21074463211001911000000000U0,21074463211001911000080836S0,ACCESORIOS EUPHORIA,ACCESORIOS EUPHORIA,True,False
10591920,21074315223000903000000000U3,21074315223000903000074539M3,TERMINADO DE PANTALON,TERMINADO DE PANTALON,True,False
10597677,21074313240000023000000000U6,21074313240000023000000000S6,BEKAERTDESLEE,BEKAERTDESLEE,True,False
10607362,21074311830002191000000000U9,21074311830002191000000000S9,TORTILLERIA NI�O DIVINO,TORTILLERIA NI�O DIVINO,True,False
10644173,21074467115000721000000000U3,21074467115000721000000000M3,PRODUCTOS DE LIMPIEZA AVRIL,PRODUCTOS DE LIMPIEZA AVRIL,True,False
10752985,21074315223000963000000000U7,21074315223000963000074539S7,TERMINADO O PREPARADO,TERMINADO O PREPARADO,True,False
10801439,21074468311000111000000000U1,21074468311000111000000000S1,MOTO REFACCIONES SANTA ANA,MOTO REFACCIONES SANTA ANA,True,False
10810194,21074332310000064000000000U8,21074332310000064000000000U8,FABRICACI�N DE ESTRUCTURAS MET�LICAS SIN NOMBRE,HER STEEL GROUP,False,True
10815750,21074531210000051000000000U6,21074531210000051000000000M6,REAL SERVICIOS INMOBILIARIOS,REAL SERVICIOS INMOBILIARIOS,True,False
10831844,21074488519000043000000000U0,21074488519000043000065519S0,SUMA LOGISTIC,SUMA LOGISTIC,True,False
10871453,21074461110009631000000000U2,21074461110009631000000000U2,TIENENDA LA ESTRELLA,TIENDA LA ESTRELLA,False,True
10930157,21074465912001161000000000U3,21074465912001161000000000S3,NOVEDADES,NOVEDADES,True,False
