source_folder,rango_distancia_hidrografia,categoria_relevancia_ambiental,establecimientos
agebs\huejotzingo,0-100 m,alta_relevancia_ambiental,11
agebs\huejotzingo,0-100 m,media_relevancia_ambiental,5
agebs\huejotzingo,0-100 m,revisar,2
agebs\huejotzingo,100-250 m,alta_relevancia_ambiental,11
agebs\huejotzingo,100-250 m,media_relevancia_ambiental,10
agebs\huejotzingo,100-250 m,revisar,7
agebs\huejotzingo,250-500 m,alta_relevancia_ambiental,8
agebs\huejotzingo,250-500 m,media_relevancia_ambiental,7
agebs\huejotzingo,250-500 m,revisar,7
agebs\huejotzingo,500-1000 m,alta_relevancia_ambiental,13
agebs\huejotzingo,500-1000 m,media_relevancia_ambiental,7
agebs\huejotzingo,500-1000 m,revisar,7
agebs\huejotzingo,>1000 m,alta_relevancia_ambiental,1
agebs\huejotzingo,>1000 m,media_relevancia_ambiental,3
agebs\huejotzingo,>1000 m,revisar,6
agebs\san_martin,0-100 m,alta_relevancia_ambiental,12
agebs\san_martin,0-100 m,media_relevancia_ambiental,47
agebs\san_martin,0-100 m,revisar,9
agebs\san_martin,100-250 m,alta_relevancia_ambiental,26
agebs\san_martin,100-250 m,media_relevancia_ambiental,71
agebs\san_martin,100-250 m,revisar,19
agebs\san_martin,250-500 m,alta_relevancia_ambiental,51
agebs\san_martin,250-500 m,media_relevancia_ambiental,136
agebs\san_martin,250-500 m,revisar,43
agebs\san_martin,500-1000 m,alta_relevancia_ambiental,29
agebs\san_martin,500-1000 m,media_relevancia_ambiental,121
agebs\san_martin,500-1000 m,revisar,29
agebs\san_martin,>1000 m,alta_relevancia_ambiental,1
agebs\san_martin,>1000 m,media_relevancia_ambiental,15
agebs\san_martin,>1000 m,revisar,1
agebs\xalmimilulco,0-100 m,media_relevancia_ambiental,15
agebs\xalmimilulco,0-100 m,revisar,2
agebs\xalmimilulco,100-250 m,alta_relevancia_ambiental,1
agebs\xalmimilulco,100-250 m,media_relevancia_ambiental,18
agebs\xalmimilulco,100-250 m,revisar,2
agebs\xalmimilulco,250-500 m,alta_relevancia_ambiental,3
agebs\xalmimilulco,250-500 m,media_relevancia_ambiental,40
agebs\xalmimilulco,250-500 m,revisar,7
agebs\xalmimilulco,500-1000 m,alta_relevancia_ambiental,12
agebs\xalmimilulco,500-1000 m,media_relevancia_ambiental,150
agebs\xalmimilulco,500-1000 m,revisar,32
agebs\xalmimilulco,>1000 m,alta_relevancia_ambiental,7
agebs\xalmimilulco,>1000 m,media_relevancia_ambiental,54
agebs\xalmimilulco,>1000 m,revisar,9
