localidad,categoria_alcance,registros
Huejotzingo,universo_alcance_proyecto,51
Huejotzingo,procesos_humedos,47
Huejotzingo,lavado_deslavado,39
Huejotzingo,mezclilla_jeans,4
Huejotzingo,fuera_alcance_contexto_textil,54
Santa Ana Xalmimilulco,universo_alcance_proyecto,62
Santa Ana Xalmimilulco,procesos_humedos,26
Santa Ana Xalmimilulco,lavado_deslavado,20
Santa Ana Xalmimilulco,mezclilla_jeans,36
Santa Ana Xalmimilulco,fuera_alcance_contexto_textil,290
San Martin Texmelucan,universo_alcance_proyecto,190
San Martin Texmelucan,procesos_humedos,124
San Martin Texmelucan,lavado_deslavado,105
San Martin Texmelucan,mezclilla_jeans,70
San Martin Texmelucan,fuera_alcance_contexto_textil,420
