flag,verdadero,falso
flag_universo_alcance_proyecto,303,764
flag_fuera_alcance_productivo_textil,764,303
flag_estudio_prioritario,241,826
flag_proceso_humedo_relevante,197,870
flag_mezclilla_jeans,110,957
flag_lavado_deslavado,164,903
flag_tenido_tintoreria,20,1047
flag_acabado_tratamiento,4,1063
flag_maquila_productiva,560,507
flag_confeccion_especializada_baja_relevancia,17,1050
flag_comercio_o_renta,7,1060
flag_requiere_auditoria_manual,452,615
flag_prioridad_campo,905,162
flag_cercania_hidrografia_250m,268,799
flag_senal_industrial,38,1029
flag_texto_ambiguo,127,940
flag_posible_falso_positivo,47,1020
flag_posible_falso_negativo,3,1064
tiene_senal_proceso_humedo,197,870
tiene_senal_mezclilla_jeans,110,957
tiene_senal_lavado_deslavado,164,903
tiene_senal_tenido_tintoreria,20,1047
tiene_senal_acabado_tratamiento,4,1063
tiene_senal_industrial,38,1029
tiene_senal_maquila,360,707
tiene_senal_planchado,22,1045
es_confeccion_especializada,21,1046
es_comercio_o_renta,7,1060
requiere_auditoria_manual,452,615
