id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,latitud,longitud,source_path,source_file,source_folder,layer_type,texto_busqueda,codigo_scian_detectado,palabras_clave_detectadas,categoria_relevancia_ambiental,nota_metodologica,distancia_hidrografia_m,en_buffer_100m,en_buffer_250m,en_buffer_500m,en_buffer_1000m,rango_distancia_hidrografia,localidad,municipio,actividad_denue_original,codigo_scian_original,texto_busqueda_normalizado,etapa_productiva_sugerida,etapa_productiva_secundaria,subtipo_confeccion,presion_ambiental_potencial,confianza_clasificacion,evidencia_clasificacion,palabras_clave_etapa,reglas_activadas,tiene_senal_proceso_humedo,tiene_senal_mezclilla_jeans,tiene_senal_lavado_deslavado,tiene_senal_tenido_tintoreria,tiene_senal_acabado_tratamiento,tiene_senal_industrial,tiene_senal_maquila,es_confeccion_especializada,es_comercio_o_renta,requiere_auditoria_manual,motivo_auditoria,prioridad_auditoria,prioridad_campo,motivo_prioridad_campo,decision_estudio_sugerida,decision_alcance_proyecto,motivo_exclusion_prioritaria,flag_universo_alcance_proyecto,motivo_universo_alcance_proyecto,flag_fuera_alcance_productivo_textil,flag_estudio_prioritario,motivo_flag_estudio_prioritario,flag_proceso_humedo_relevante,flag_mezclilla_jeans,flag_lavado_deslavado,flag_tenido_tintoreria,flag_acabado_tratamiento,flag_maquila_productiva,flag_confeccion_especializada_baja_relevancia,flag_comercio_o_renta,flag_requiere_auditoria_manual,flag_prioridad_campo,flag_cercania_hidrografia_250m,flag_senal_industrial,flag_texto_ambiguo,flag_posible_falso_positivo,flag_posible_falso_negativo,query_maps,query_web,estado_auditoria_productiva,decision_estudio_final,etapa_productiva_final,categoria_ambiental_final,categoria_auditada,categoria_auditada_normalizada,etapa_productiva_auditada,notas_auditoria,fuente_auditoria,decision_estudio,fecha_auditoria,auditor_responsable
3325807,21074315229001032000000000U7,TEXTILERA DE PANTALON JEANS EMOCIONES,315229,19.16438288,-98.42045081,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315229001032000000000u7 textilera de pantalon jeans emociones 315229 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315229,jeans; pantalon; textil,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",563.1612887761776,False,False,False,True,500-1000 m,Huejotzingo,Huejotzingo,21074315229001032000000000u7 textilera de pantalon jeans emociones 315229 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315229,textilera de pantalon jeans emociones 21074315229001032000000000u7 textilera de pantalon jeans emociones 315229 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 315229 jeans pantalon textil,fabricacion_mezclilla,confeccion_maquila,generica,media,media,"SCIAN 315229 | mezclilla_jeans: jeans, pantalon jeans | industrial: textilera | confeccion: pantalon",jeans; pantalon jeans; textilera,scian_prefijo_315; texto_confeccion; texto_industrial; texto_mezclilla_jeans,False,True,False,False,False,True,False,False,False,True,mezclilla/jeans sin evidencia directa de proceso humedo,alta,media,contexto productivo textil,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,True,contexto productivo textil,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,TEXTILERA DE PANTALON JEANS EMOCIONES Huejotzingo Puebla Google Maps,TEXTILERA DE PANTALON JEANS EMOCIONES Huejotzingo Puebla mezclilla jeans maquila textil,sin_decision_manual,validar_documentalmente,fabricacion_mezclilla,media,,,,,,,,
3325813,21074313210000056111000000U9,INDUSTRIAS MAQUIN,313230,19.1613441,-98.39156164,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074313210000056111000000u9 industrias maquin 313230 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,313230,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",921.240971064623,False,False,False,True,500-1000 m,Huejotzingo,Huejotzingo,21074313210000056111000000u9 industrias maquin 313230 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,313230,industrias maquin 21074313210000056111000000u9 industrias maquin 313230 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 313230,fabricacion_textil,,,media,media,SCIAN 313230,,scian_prefijo_313,False,False,False,False,False,False,False,False,False,False,,baja,media,contexto productivo textil,incluir_contexto_productivo,fuera_alcance_contexto_textil,,False,textil fuera del alcance operativo definido para este proyecto,True,False,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,INDUSTRIAS MAQUIN Huejotzingo Puebla Google Maps,INDUSTRIAS MAQUIN Huejotzingo Puebla textil maquila confeccion lavanderia tintoreria,sin_decision_manual,incluir_contexto_productivo,fabricacion_textil,media,,,,,,,,
3325963,21074315225000111000000000U8,SONIA MENDEZ NOVIAS,315225,19.16396502,-98.40408051,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315225000111000000000u8 sonia mendez novias 315225 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315225,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1041.6673268475884,False,False,False,False,>1000 m,Huejotzingo,Huejotzingo,21074315225000111000000000u8 sonia mendez novias 315225 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315225,sonia mendez novias 21074315225000111000000000u8 sonia mendez novias 315225 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 315225,confeccion_especializada_baja_relevancia,confeccion_maquila,especializada_baja_relevancia,baja,alta,SCIAN 315225 | confeccion_especializada: novias,novias,scian_prefijo_315; texto_confeccion_especializada,False,False,False,False,False,False,False,True,False,False,,baja,baja,,excluir_del_universo_prioritario,fuera_alcance_contexto_textil,confeccion especializada o sobre medida sin senales industriales ni humedas,False,textil fuera del alcance operativo definido para este proyecto,True,False,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,SONIA MENDEZ NOVIAS Huejotzingo Puebla Google Maps,SONIA MENDEZ NOVIAS Huejotzingo Puebla textil maquila confeccion lavanderia tintoreria,sin_decision_manual,excluir_del_universo_prioritario,confeccion_especializada_baja_relevancia,baja,,,,,,,,
7872777,21074315229001612000000000U6,TALLER BOMBON JEANS,315229,19.16102632,-98.40166978,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315229001612000000000u6 taller bombon jeans 315229 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315229,jeans,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",240.64408916616085,False,True,True,True,100-250 m,Huejotzingo,Huejotzingo,21074315229001612000000000u6 taller bombon jeans 315229 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315229,taller bombon jeans 21074315229001612000000000u6 taller bombon jeans 315229 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 315229 jeans,fabricacion_mezclilla,confeccion_maquila,,media,media,SCIAN 315229 | mezclilla_jeans: jeans,jeans,scian_prefijo_315; texto_mezclilla_jeans,False,True,False,False,False,False,False,False,False,True,cercania a hidrografia requiere cautela documental; mezclilla/jeans sin evidencia directa de proceso humedo,alta,media,actividad productiva o ambigua cerca de hidrografia,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,False,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,TALLER BOMBON JEANS Huejotzingo Puebla Google Maps,TALLER BOMBON JEANS Huejotzingo Puebla mezclilla jeans maquila textil,sin_decision_manual,validar_documentalmente,fabricacion_mezclilla,media,,,,,,,,
8089412,21074315229001873000000000U4,TALLER DE PANTALON SIN NOMBRE,315229,19.16109958,-98.40383744,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315229001873000000000u4 taller de pantalon sin nombre 315229 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315229,pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1217.059569189632,False,False,False,False,>1000 m,Huejotzingo,Huejotzingo,21074315229001873000000000u4 taller de pantalon sin nombre 315229 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315229,taller de pantalon sin nombre 21074315229001873000000000u4 taller de pantalon sin nombre 315229 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 315229 pantalon,confeccion_maquila,,generica,media,media,SCIAN 315229 | confeccion: pantalon,,scian_prefijo_315; texto_confeccion,False,False,False,False,False,False,False,False,False,False,,baja,media,contexto productivo textil,incluir_contexto_productivo,fuera_alcance_contexto_textil,,False,textil fuera del alcance operativo definido para este proyecto,True,False,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,TALLER DE PANTALON SIN NOMBRE Huejotzingo Puebla Google Maps,TALLER DE PANTALON SIN NOMBRE Huejotzingo Puebla textil maquila confeccion lavanderia tintoreria,sin_decision_manual,incluir_contexto_productivo,confeccion_maquila,media,,,,,,,,
8089749,21074315229001921000000000U1,DESHEBRADO DE PANTALON SIN NOMBRE,315229,19.17098447,-98.40741127,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315229001921000000000u1 deshebrado de pantalon sin nombre 315229 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315229,deshebrado; pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",336.25814357309787,False,False,True,True,250-500 m,Huejotzingo,Huejotzingo,21074315229001921000000000u1 deshebrado de pantalon sin nombre 315229 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315229,deshebrado de pantalon sin nombre 21074315229001921000000000u1 deshebrado de pantalon sin nombre 315229 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 315229 deshebrado pantalon,fabricacion_mezclilla,confeccion_maquila,generica,media,media,SCIAN 315229 | mezclilla_jeans: deshebrado | confeccion: pantalon,deshebrado,scian_prefijo_315; texto_confeccion; texto_mezclilla_jeans,False,True,False,False,False,False,False,False,False,True,mezclilla/jeans sin evidencia directa de proceso humedo,media,media,contexto productivo textil,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,False,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,DESHEBRADO DE PANTALON SIN NOMBRE Huejotzingo Puebla Google Maps,DESHEBRADO DE PANTALON SIN NOMBRE Huejotzingo Puebla mezclilla jeans maquila textil,sin_decision_manual,validar_documentalmente,fabricacion_mezclilla,media,,,,,,,,
8111993,21074315225000161001000000U3,ELABORACION DE ROPA SIN NOMBRE,315225,19.1711945,-98.40909877,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315225000161001000000u3 elaboracion de ropa sin nombre 315225 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315225,,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",85.98646275224843,True,True,True,True,0-100 m,Huejotzingo,Huejotzingo,21074315225000161001000000u3 elaboracion de ropa sin nombre 315225 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315225,elaboracion de ropa sin nombre 21074315225000161001000000u3 elaboracion de ropa sin nombre 315225 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 315225,confeccion_maquila,,generica,media,media,"SCIAN 315225 | confeccion: ropa, elaboracion de ropa",,scian_prefijo_315; texto_confeccion,False,False,False,False,False,False,False,False,False,True,cercania a hidrografia requiere cautela documental; maquila o confeccion productiva sin senal humeda,alta,media,actividad productiva o ambigua cerca de hidrografia,incluir_contexto_productivo,fuera_alcance_contexto_textil,,False,textil fuera del alcance operativo definido para este proyecto,True,False,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,ELABORACION DE ROPA SIN NOMBRE Huejotzingo Puebla Google Maps,ELABORACION DE ROPA SIN NOMBRE Huejotzingo Puebla textil maquila confeccion lavanderia tintoreria,sin_decision_manual,incluir_contexto_productivo,confeccion_maquila,media,,,,,,,,
8121067,21074315225000191000000000U0,MODISTA LUCIA,315225,19.14723262,-98.40603197,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315225000191000000000u0 modista lucia 315225 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315225,modista,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",374.40470125587626,False,False,True,True,250-500 m,Huejotzingo,Huejotzingo,21074315225000191000000000u0 modista lucia 315225 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315225,modista lucia 21074315225000191000000000u0 modista lucia 315225 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 315225 modista,confeccion_especializada_baja_relevancia,confeccion_maquila,especializada_baja_relevancia,baja,alta,SCIAN 315225 | confeccion_especializada: modista,modista,scian_prefijo_315; texto_confeccion_especializada,False,False,False,False,False,False,False,True,False,False,,baja,baja,,excluir_del_universo_prioritario,fuera_alcance_contexto_textil,confeccion especializada o sobre medida sin senales industriales ni humedas,False,textil fuera del alcance operativo definido para este proyecto,True,False,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,MODISTA LUCIA Huejotzingo Puebla Google Maps,MODISTA LUCIA Huejotzingo Puebla textil maquila confeccion lavanderia tintoreria,sin_decision_manual,excluir_del_universo_prioritario,confeccion_especializada_baja_relevancia,baja,,,,,,,,
8271641,21074465915000021010000000U3,CREACIONES MAYRA,315224,19.16529124,-98.40650601,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074465915000021010000000u3 creaciones mayra 315224 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315224,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",363.02028706415024,False,False,True,True,250-500 m,Huejotzingo,Huejotzingo,21074465915000021010000000u3 creaciones mayra 315224 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315224,creaciones mayra 21074465915000021010000000u3 creaciones mayra 315224 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 315224,revisar,confeccion_maquila,,pendiente,baja,SCIAN 315224,,scian_prefijo_315,False,False,False,False,False,False,False,False,False,True,confeccion generica sin suficiente detalle operativo,media,baja,,mantener_pendiente,fuera_alcance_contexto_textil,,False,textil fuera del alcance operativo definido para este proyecto,True,False,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,CREACIONES MAYRA Huejotzingo Puebla Google Maps,CREACIONES MAYRA Huejotzingo Puebla textil maquila confeccion lavanderia tintoreria,sin_decision_manual,mantener_pendiente,revisar,pendiente,,,,,,,,
8271825,21074812210000401000000000U3,TINTORERIA HIGIENICA,812210,19.16117536,-98.41133705,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000401000000000u3 tintoreria higienica 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,tintoreria,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",550.7543521535267,False,False,False,True,500-1000 m,Huejotzingo,Huejotzingo,21074812210000401000000000u3 tintoreria higienica 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,tintoreria higienica 21074812210000401000000000u3 tintoreria higienica 812210 data raw agebs huejotzingo inegi denue shp inegi denue shp agebs huejotzingo denue 812210 tintoreria,lavanderia_industrial,,,alta,alta,SCIAN 812210 | tenido_tintoreria: tintoreria,tintoreria,scian_812210; texto_tenido_tintoreria,True,False,False,True,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,TINTORERIA HIGIENICA Huejotzingo Puebla Google Maps,TINTORERIA HIGIENICA Huejotzingo Puebla lavanderia industrial textil prendas,sin_decision_manual,incluir_prioritario,lavanderia_industrial,alta,,,,,,,,
