id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,latitud,longitud,source_path,source_file,source_folder,layer_type,texto_busqueda,codigo_scian_detectado,palabras_clave_detectadas,categoria_relevancia_ambiental,nota_metodologica,distancia_hidrografia_m,en_buffer_100m,en_buffer_250m,en_buffer_500m,en_buffer_1000m,rango_distancia_hidrografia,localidad,municipio,actividad_denue_original,codigo_scian_original,texto_busqueda_normalizado,etapa_productiva_sugerida,etapa_productiva_secundaria,subtipo_confeccion,presion_ambiental_potencial,confianza_clasificacion,evidencia_clasificacion,palabras_clave_etapa,reglas_activadas,tiene_senal_proceso_humedo,tiene_senal_mezclilla_jeans,tiene_senal_lavado_deslavado,tiene_senal_tenido_tintoreria,tiene_senal_acabado_tratamiento,tiene_senal_industrial,tiene_senal_maquila,es_confeccion_especializada,es_comercio_o_renta,requiere_auditoria_manual,motivo_auditoria,prioridad_auditoria,prioridad_campo,motivo_prioridad_campo,decision_estudio_sugerida,decision_alcance_proyecto,motivo_exclusion_prioritaria,flag_universo_alcance_proyecto,motivo_universo_alcance_proyecto,flag_fuera_alcance_productivo_textil,flag_estudio_prioritario,motivo_flag_estudio_prioritario,flag_proceso_humedo_relevante,flag_mezclilla_jeans,flag_lavado_deslavado,flag_tenido_tintoreria,flag_acabado_tratamiento,flag_maquila_productiva,flag_confeccion_especializada_baja_relevancia,flag_comercio_o_renta,flag_requiere_auditoria_manual,flag_prioridad_campo,flag_cercania_hidrografia_250m,flag_senal_industrial,flag_texto_ambiguo,flag_posible_falso_positivo,flag_posible_falso_negativo,query_maps,query_web,categoria_auditada,etapa_productiva_auditada,notas_auditoria,fuente_auditoria,decision_estudio,fecha_auditoria,auditor_responsable
3326066,21074812210000262001000000U9,LAVANDERIA LAVAPLUS,812210,19.21861458,-98.3819366,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000262001000000u9 lavanderia lavaplus 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",463.0522248748573,False,False,True,True,250-500 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000262001000000u9 lavanderia lavaplus 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia lavaplus 21074812210000262001000000u9 lavanderia lavaplus 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA LAVAPLUS Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,LAVANDERIA LAVAPLUS Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
3427952,21074812210000031010000000U8,MAQUILA DE LAVANDERIA DE PANTALON,313310,19.2108461,-98.37936835,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000031010000000u8 maquila de lavanderia de pantalon 313310 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,313310,lavanderia; maquila; pantalon,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",752.4183731793706,False,False,False,True,500-1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000031010000000u8 maquila de lavanderia de pantalon 313310 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,313310,maquila de lavanderia de pantalon 21074812210000031010000000u8 maquila de lavanderia de pantalon 313310 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 313310 lavanderia maquila pantalon,lavanderia_industrial,confeccion_maquila; fabricacion_textil,maquila_productiva,alta,media,SCIAN 313310 | lavanderia_industrial: lavanderia | maquila: maquila | confeccion: pantalon,lavanderia; maquila,scian_prefijo_313; texto_confeccion; texto_lavanderia_industrial; texto_maquila,True,False,True,False,False,False,True,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,MAQUILA DE LAVANDERIA DE PANTALON Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,MAQUILA DE LAVANDERIA DE PANTALON Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
3428125,21074812210000182000000000U9,LAVANDERIA SANTA CECILIA,812210,19.21684215,-98.38284012,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000182000000000u9 lavanderia santa cecilia 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1001.9559585372307,False,False,False,False,>1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000182000000000u9 lavanderia santa cecilia 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia santa cecilia 21074812210000182000000000u9 lavanderia santa cecilia 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA SANTA CECILIA Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,LAVANDERIA SANTA CECILIA Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
3428134,21074812210000223001000000U1,LAVANDERIA SANTA MONICA,812210,19.21429432,-98.38863919,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000223001000000u1 lavanderia santa monica 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",315.8808780165712,False,False,True,True,250-500 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000223001000000u1 lavanderia santa monica 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia santa monica 21074812210000223001000000u1 lavanderia santa monica 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA SANTA MONICA Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,LAVANDERIA SANTA MONICA Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
3428174,21074812210000172002000000U0,LAVANDERIA ALEX,812210,19.21501731,-98.38544865,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000172002000000u0 lavanderia alex 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1000.7362348260492,False,False,False,False,>1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000172002000000u0 lavanderia alex 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia alex 21074812210000172002000000u0 lavanderia alex 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA ALEX Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,LAVANDERIA ALEX Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
3428283,21074812210000121001000000U7,LAVANDERIA LAVAMEXXAL,812210,19.2112318,-98.3780799,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000121001000000u7 lavanderia lavamexxal 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",983.415871435278,False,False,False,True,500-1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000121001000000u7 lavanderia lavamexxal 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia lavamexxal 21074812210000121001000000u7 lavanderia lavamexxal 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA LAVAMEXXAL Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,LAVANDERIA LAVAMEXXAL Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
3428321,21074812210000051011000000U6,LAVANDERIA Y TERMINADOS G C,313310,19.21176794,-98.37981608,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000051011000000u6 lavanderia y terminados g c 313310 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,313310,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",792.7861595870044,False,False,False,True,500-1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000051011000000u6 lavanderia y terminados g c 313310 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,313310,lavanderia y terminados g c 21074812210000051011000000u6 lavanderia y terminados g c 313310 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 313310 lavanderia,lavanderia_industrial,fabricacion_textil,,alta,media,SCIAN 313310 | lavanderia_industrial: lavanderia,lavanderia,scian_prefijo_313; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA Y TERMINADOS G C Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,LAVANDERIA Y TERMINADOS G C Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
8089261,21074812210000431000000000U0,LAVANDERIA REY,812210,19.21125165,-98.37655998,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000431000000000u0 lavanderia rey 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1028.491962551902,False,False,False,False,>1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000431000000000u0 lavanderia rey 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia rey 21074812210000431000000000u0 lavanderia rey 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA REY Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,LAVANDERIA REY Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
8776900,21074812210000521000000000U8,LAVANDERIA MARY,812210,19.20780984,-98.37742389,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000521000000000u8 lavanderia mary 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",497.1135873706967,False,False,True,True,250-500 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000521000000000u8 lavanderia mary 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia mary 21074812210000521000000000u8 lavanderia mary 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA MARY Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,LAVANDERIA MARY Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
10086701,21074812210000601000000000U8,LAVANDERIA MEXICO,812210,19.21429934,-98.38564064,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000601000000000u8 lavanderia mexico 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",537.6024209147453,False,False,False,True,500-1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000601000000000u8 lavanderia mexico 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia mexico 21074812210000601000000000u8 lavanderia mexico 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA MEXICO Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,LAVANDERIA MEXICO Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
