id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,latitud,longitud,source_path,source_file,source_folder,layer_type,texto_busqueda,codigo_scian_detectado,palabras_clave_detectadas,categoria_relevancia_ambiental,nota_metodologica,distancia_hidrografia_m,en_buffer_100m,en_buffer_250m,en_buffer_500m,en_buffer_1000m,rango_distancia_hidrografia,localidad,municipio,actividad_denue_original,codigo_scian_original,texto_busqueda_normalizado,etapa_productiva_sugerida,etapa_productiva_secundaria,subtipo_confeccion,presion_ambiental_potencial,confianza_clasificacion,evidencia_clasificacion,palabras_clave_etapa,reglas_activadas,tiene_senal_proceso_humedo,tiene_senal_mezclilla_jeans,tiene_senal_lavado_deslavado,tiene_senal_tenido_tintoreria,tiene_senal_acabado_tratamiento,tiene_senal_industrial,tiene_senal_maquila,es_confeccion_especializada,es_comercio_o_renta,requiere_auditoria_manual,motivo_auditoria,prioridad_auditoria,prioridad_campo,motivo_prioridad_campo,decision_estudio_sugerida,decision_alcance_proyecto,motivo_exclusion_prioritaria,flag_universo_alcance_proyecto,motivo_universo_alcance_proyecto,flag_fuera_alcance_productivo_textil,flag_estudio_prioritario,motivo_flag_estudio_prioritario,flag_proceso_humedo_relevante,flag_mezclilla_jeans,flag_lavado_deslavado,flag_tenido_tintoreria,flag_acabado_tratamiento,flag_maquila_productiva,flag_confeccion_especializada_baja_relevancia,flag_comercio_o_renta,flag_requiere_auditoria_manual,flag_prioridad_campo,flag_cercania_hidrografia_250m,flag_senal_industrial,flag_texto_ambiguo,flag_posible_falso_positivo,flag_posible_falso_negativo,query_maps,query_web,categoria_auditada,etapa_productiva_auditada,notas_auditoria,fuente_auditoria,decision_estudio,fecha_auditoria,auditor_responsable
3326066,21074812210000262001000000U9,LAVANDERIA LAVAPLUS,812210,19.21861458,-98.3819366,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000262001000000u9 lavanderia lavaplus 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",463.0522248748573,False,False,True,True,250-500 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000262001000000u9 lavanderia lavaplus 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia lavaplus 21074812210000262001000000u9 lavanderia lavaplus 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA LAVAPLUS Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,LAVANDERIA LAVAPLUS Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
3326130,21074812210000351000000000U0,PLANCHADO DE PANTALON,812210,19.2118204,-98.38540714,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000351000000000u0 planchado de pantalon 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1103.3964208670225,False,False,False,False,>1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000351000000000u0 planchado de pantalon 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,planchado de pantalon 21074812210000351000000000u0 planchado de pantalon 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 pantalon,lavanderia_industrial,,generica,alta,media,SCIAN 812210 | confeccion: pantalon,,scian_812210; texto_confeccion,True,False,False,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,PLANCHADO DE PANTALON Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,PLANCHADO DE PANTALON Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
3326348,21074315229001403002000000U0,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,315229,19.20615378,-98.38106673,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074315229001403002000000u0 taller de maquila de pantalon de mezclilla 315229 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,315229,maquila; mezclilla; pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",71.01120908542781,True,True,True,True,0-100 m,Santa Ana Xalmimilulco,Huejotzingo,21074315229001403002000000u0 taller de maquila de pantalon de mezclilla 315229 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,315229,taller de maquila de pantalon de mezclilla 21074315229001403002000000u0 taller de maquila de pantalon de mezclilla 315229 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 315229 maquila mezclilla pantalon,fabricacion_mezclilla,confeccion_maquila,maquila_productiva,media,media,SCIAN 315229 | mezclilla_jeans: mezclilla | maquila: maquila | confeccion: pantalon,maquila; mezclilla,scian_prefijo_315; texto_confeccion; texto_maquila; texto_mezclilla_jeans,False,True,False,False,False,False,True,False,False,True,mezclilla/jeans sin evidencia directa de proceso humedo,alta,media,actividad productiva o ambigua cerca de hidrografia,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,True,actividad productiva o ambigua cerca de hidrografia,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA Santa Ana Xalmimilulco Huejotzingo Puebla mezclilla jeans maquila textil,,,,,,,
3427200,21074315229000551000000000U7,PRETINA Y PRESILLA DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,19.20630768,-98.37806532,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074315229000551000000000u7 pretina y presilla de pantalon de mezclilla sin nombre 315229 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,315229,mezclilla; pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",800.5419669510825,False,False,False,True,500-1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074315229000551000000000u7 pretina y presilla de pantalon de mezclilla sin nombre 315229 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,315229,pretina y presilla de pantalon de mezclilla sin nombre 21074315229000551000000000u7 pretina y presilla de pantalon de mezclilla sin nombre 315229 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 315229 mezclilla pantalon,fabricacion_mezclilla,confeccion_maquila,generica,media,media,SCIAN 315229 | mezclilla_jeans: mezclilla | confeccion: pantalon,mezclilla,scian_prefijo_315; texto_confeccion; texto_mezclilla_jeans,False,True,False,False,False,False,False,False,False,True,mezclilla/jeans sin evidencia directa de proceso humedo,media,media,contexto productivo textil,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,False,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,PRETINA Y PRESILLA DE PANTALON DE MEZCLILLA SIN NOMBRE Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,PRETINA Y PRESILLA DE PANTALON DE MEZCLILLA SIN NOMBRE Santa Ana Xalmimilulco Huejotzingo Puebla mezclilla jeans maquila textil,,,,,,,
3427228,21074812210000141000000000U5,TINTORERIA LIZ,812210,19.20766002,-98.38274798,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000141000000000u5 tintoreria liz 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,tintoreria,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1012.8178412024241,False,False,False,False,>1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000141000000000u5 tintoreria liz 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,tintoreria liz 21074812210000141000000000u5 tintoreria liz 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 tintoreria,lavanderia_industrial,,,alta,alta,SCIAN 812210 | tenido_tintoreria: tintoreria,tintoreria,scian_812210; texto_tenido_tintoreria,True,False,False,True,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,TINTORERIA LIZ Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,TINTORERIA LIZ Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
3427244,21074812210000131000000000U6,TINTORERIA LIZ,812210,19.20685794,-98.38143472,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000131000000000u6 tintoreria liz 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,tintoreria,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",931.2076547297028,False,False,False,True,500-1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000131000000000u6 tintoreria liz 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,tintoreria liz 21074812210000131000000000u6 tintoreria liz 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 tintoreria,lavanderia_industrial,,,alta,alta,SCIAN 812210 | tenido_tintoreria: tintoreria,tintoreria,scian_812210; texto_tenido_tintoreria,True,False,False,True,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,TINTORERIA LIZ Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,TINTORERIA LIZ Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
3427952,21074812210000031010000000U8,MAQUILA DE LAVANDERIA DE PANTALON,313310,19.2108461,-98.37936835,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000031010000000u8 maquila de lavanderia de pantalon 313310 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,313310,lavanderia; maquila; pantalon,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",752.4183731793706,False,False,False,True,500-1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000031010000000u8 maquila de lavanderia de pantalon 313310 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,313310,maquila de lavanderia de pantalon 21074812210000031010000000u8 maquila de lavanderia de pantalon 313310 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 313310 lavanderia maquila pantalon,lavanderia_industrial,confeccion_maquila; fabricacion_textil,maquila_productiva,alta,media,SCIAN 313310 | lavanderia_industrial: lavanderia | maquila: maquila | confeccion: pantalon,lavanderia; maquila,scian_prefijo_313; texto_confeccion; texto_lavanderia_industrial; texto_maquila,True,False,True,False,False,False,True,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,MAQUILA DE LAVANDERIA DE PANTALON Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,MAQUILA DE LAVANDERIA DE PANTALON Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
3428125,21074812210000182000000000U9,LAVANDERIA SANTA CECILIA,812210,19.21684215,-98.38284012,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000182000000000u9 lavanderia santa cecilia 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1001.9559585372307,False,False,False,False,>1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000182000000000u9 lavanderia santa cecilia 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia santa cecilia 21074812210000182000000000u9 lavanderia santa cecilia 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA SANTA CECILIA Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,LAVANDERIA SANTA CECILIA Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
3428134,21074812210000223001000000U1,LAVANDERIA SANTA MONICA,812210,19.21429432,-98.38863919,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000223001000000u1 lavanderia santa monica 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",315.8808780165712,False,False,True,True,250-500 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000223001000000u1 lavanderia santa monica 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia santa monica 21074812210000223001000000u1 lavanderia santa monica 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA SANTA MONICA Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,LAVANDERIA SANTA MONICA Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
3428174,21074812210000172002000000U0,LAVANDERIA ALEX,812210,19.21501731,-98.38544865,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000172002000000u0 lavanderia alex 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1000.7362348260492,False,False,False,False,>1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000172002000000u0 lavanderia alex 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia alex 21074812210000172002000000u0 lavanderia alex 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA ALEX Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,LAVANDERIA ALEX Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,
