categoria_relevancia_ambiental,etapa_productiva_sugerida,decision_estudio_sugerida,registros
media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,504
alta_relevancia_ambiental,lavanderia_industrial,incluir_prioritario,165
media_relevancia_ambiental,fabricacion_mezclilla,validar_documentalmente,100
revisar,revisar,mantener_pendiente,94
revisar,fabricacion_textil,incluir_contexto_productivo,38
media_relevancia_ambiental,revisar,mantener_pendiente,33
media_relevancia_ambiental,bordado,incluir_contexto_productivo,28
revisar,lavanderia_industrial,incluir_prioritario,19
media_relevancia_ambiental,fabricacion_textil,incluir_contexto_productivo,15
revisar,planchado_sin_proceso_humedo,excluir_del_universo_prioritario,15
media_relevancia_ambiental,confeccion_especializada_baja_relevancia,excluir_del_universo_prioritario,13
revisar,confeccion_maquila,incluir_contexto_productivo,11
alta_relevancia_ambiental,no_pertinente,excluir_del_universo_prioritario,8
alta_relevancia_ambiental,lavado_deslavado,incluir_prioritario,7
media_relevancia_ambiental,planchado_sin_proceso_humedo,excluir_del_universo_prioritario,6
alta_relevancia_ambiental,acabado_textil,incluir_prioritario,4
revisar,confeccion_especializada_baja_relevancia,excluir_del_universo_prioritario,4
alta_relevancia_ambiental,tenido_tintoreria,incluir_prioritario,2
revisar,comercio_simple,excluir_por_comercio,1
