id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,latitud,longitud,fecha_alta,_id_key,en_universo_hidrico_preliminar,en_mh,resultado_comparacion,razon_situacion,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,nombre_clase_actividad_scian,tipounieco,direccion_completa,latitud_revision,longitud_revision,url_busqueda_google_maps,url_punto_google_maps,url_openstreetmap,fuente_inclusion_tentativa,origen_auditoria_manual,estado_revision_manual,establecimiento_encontrado,evidencia_textil,evidencia_mezclilla,evidencia_proceso_humedo,decision_manual,confianza_revision,fuentes_consultadas,fecha_revision,revisor,notas_revision,incluido_por_auditoria_usuario,decision_hidrica_automatica,decision_auditoria_especial,prioridad_auditoria_especial,causa_auditoria_especial,fuentes_auditoria_especial,prioridad_final_tentativa,decision_final_tentativa,fundamento_prioridad
3326133,21074315229001451000000000U9,DESEBRADO DE BLUSA SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,PRIVADA,DOMINGO ARENAS,CALLE,EL REBOZO,CALLE,ADOLFO LOPEZ MATEOS,CALLE,VIOLETAS PONIENTE,52,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0190,021,2271093445,,,19.2125903,-98.38502297,2014-12,3326133,False,True,SOLO_MH,PRODUCCION:EXCLUIR_SECO,DESEBRADO DE BLUSA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,Fijo,"PRIVADA DOMINGO ARENAS 52, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",19.2125903,-98.38502297,https://www.google.com/maps/search/?api=1&query=DESEBRADO+DE+BLUSA+SIN+NOMBRE+PRIVADA+DOMINGO+ARENAS+52%2C+LOCALIDAD+SANTA+ANA+XALMIMILULCO%2C+74169%2C+Santa+Ana+Xalmimilulco%2C+Huejotzingo%2C+Puebla+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.2125903%2C-98.38502297,https://www.openstreetmap.org/?mlat=19.2125903&mlon=-98.3850230#map=19/19.2125903/-98.3850230,,,,,,,,,,,,,,False,EXCLUIR_SECO,NO_APLICA,media,,,,NO_INCLUIDO_EN_TENTATIVO,SOLO_REFERENCIA_MH_SIN_PRIORIDAD_PROPIA
3427188,21074315229001062000000000U4,MAQUILA J-RING-O,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,TRIUNFO,CALLE,REAL DE PUEBLA,CALLE,PALMA,PRIVADA,PRIVADA DE LA PALMA,3,,,,,,COLONIA,CENTRO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0025,015,,,,19.20766774,-98.38004855000001,2010-07,3427188,True,False,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR,MAQUILA J-RING-O,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,Fijo,"CALLE TRIUNFO 3, COLONIA CENTRO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",19.20766774,-98.38004855,https://www.google.com/maps/search/?api=1&query=MAQUILA+J-RING-O+CALLE+TRIUNFO+3%2C+COLONIA+CENTRO%2C+74169%2C+Santa+Ana+Xalmimilulco%2C+Huejotzingo%2C+Puebla+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.20766774%2C-98.38004855,https://www.openstreetmap.org/?mlat=19.2076677&mlon=-98.3800485#map=19/19.2076677/-98.3800485,AUDITORIA_MANUAL_MAQUILA,MAQUILA,COMPLETADO,SI,SI,NO,NO,INCLUIR_MEDIA,ALTA,GoogleMaps,,NAB,"Se encontró una ubicación consistente con las coordenadas registradas, así como un letrero solicitando operadores de maquila , ayudante genral, con trbajo de aguja, lo que aporta evidencia de actividad productiva relacionada con la confección. Sin embargo, no se identificaron indicios adicionales de procesos húmedos ni evidencia de actividades de lavado, teñido o acabado con uso relevante de agua.",True,REVISAR,NO_APLICA,media,,,media,INCLUIR_MEDIA,DICTAMEN_MANUAL_COMPLETADO
3427952,21074812210000031010000000U8,MAQUILA DE LAVANDERIA DE PANTALON,,313310,Acabado de productos textiles,0 a 5 personas,CALLE,ZARAGOZA,CALLE,16 DE SEPTIEMBRE,CALLE,INDUSTRIA,CALLE,MAGNOLIA,23,,,,,,COLONIA,CENTRO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0190,014,2211693368,,,19.2108461,-98.37936834999998,2010-07,3427952,True,False,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR,MAQUILA DE LAVANDERIA DE PANTALON,313310,Acabado de productos textiles,Fijo,"CALLE ZARAGOZA 23, COLONIA CENTRO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",19.2108461,-98.37936835,https://www.google.com/maps/search/?api=1&query=MAQUILA+DE+LAVANDERIA+DE+PANTALON+CALLE+ZARAGOZA+23%2C+COLONIA+CENTRO%2C+74169%2C+Santa+Ana+Xalmimilulco%2C+Huejotzingo%2C+Puebla+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.2108461%2C-98.37936835,https://www.openstreetmap.org/?mlat=19.2108461&mlon=-98.3793683#map=19/19.2108461/-98.3793683,PROCESO_HUMEDO_CONFIRMADO,,,,,,,,,,,,,False,,CONFIRMAR,alta,SCIAN 313310 y actividad explícita de lavandería de pantalón,https://mexicopymes.com/info/maquila-de-lavanderia-de-pantalon-45B18ADE951FD62F,alta,INCLUIR_ALTA,PROCESO_HUMEDO_EXPLICITO_O_CONFIRMADO
8559575,21074315229001522001000000U7,MAQUILA DE PANTALONES SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,LOS REYES,CALLE,NINGUNO,PRIVADA,PRIVADA DE LA GLORIA,PRIVADA,GLORIA,10,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0025,052,,,,19.20874706,-98.37678859,2019-11,8559575,True,False,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR,MAQUILA DE PANTALONES SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,Fijo,"CALLE LOS REYES 10, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",19.20874706,-98.37678859,https://www.google.com/maps/search/?api=1&query=MAQUILA+DE+PANTALONES+SIN+NOMBRE+CALLE+LOS+REYES+10%2C+LOCALIDAD+SANTA+ANA+XALMIMILULCO%2C+74169%2C+Santa+Ana+Xalmimilulco%2C+Huejotzingo%2C+Puebla+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.20874706%2C-98.37678859,https://www.openstreetmap.org/?mlat=19.2087471&mlon=-98.3767886#map=19/19.2087471/-98.3767886,AUDITORIA_MANUAL_MAQUILA,MAQUILA,COMPLETADO,SI,SI,SI,NO,INCLUIR_MEDIA,ALTA,GoogleMaps,,,"Se encontró un establecimiento consistente con la ubicación y la actividad registrada. Se incluye en la revisión por corresponder a maquila o fabricación de pantalón, actividad que, dado el contexto productivo local, se interpreta como probablemente asociada a prendas de mezclilla. Esta asociación se considera una inferencia y no una confirmación directa del material ni de la presencia de procesos húmedos",True,REVISAR,NO_APLICA,media,,,media,INCLUIR_MEDIA,DICTAMEN_MANUAL_COMPLETADO
3427190,21074315229001243002000000U0,MAQUILA DE PANTALONES SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,PRIVADA,PRIVADA DE LA PALMA,CALLE,IXTACUIXTLA SUR,PRIVADA,NINGUNO,CALLE,TRIUNFO,77,,,,,,COLONIA,CENTRO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0025,015,,,,19.20763327,-98.37937063000001,2010-07,3427190,True,False,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR,MAQUILA DE PANTALONES SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,Fijo,"PRIVADA PRIVADA DE LA PALMA 77, COLONIA CENTRO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",19.20763327,-98.37937063,https://www.google.com/maps/search/?api=1&query=MAQUILA+DE+PANTALONES+SIN+NOMBRE+PRIVADA+PRIVADA+DE+LA+PALMA+77%2C+COLONIA+CENTRO%2C+74169%2C+Santa+Ana+Xalmimilulco%2C+Huejotzingo%2C+Puebla+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.20763327%2C-98.37937063,https://www.openstreetmap.org/?mlat=19.2076333&mlon=-98.3793706#map=19/19.2076333/-98.3793706,AUDITORIA_MANUAL_MAQUILA,MAQUILA,COMPLETADO,SI,SI,SI,NO,INCLUIR_MEDIA,ALTA,GoogleMaps,,,"Se encontró un establecimiento consistente con la ubicación y la actividad registrada. Se incluye en la revisión por corresponder a maquila o fabricación de pantalón, actividad que, dado el contexto productivo local, se interpreta como probablemente asociada a prendas de mezclilla. Esta asociación se considera una inferencia y no una confirmación directa del material ni de la presencia de procesos húmedos",True,REVISAR,NO_APLICA,media,,,media,INCLUIR_MEDIA,DICTAMEN_MANUAL_COMPLETADO
9811213,21074315229002691000000000U9,MAQUILA DE PANTALONES,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,INDUSTRIA,CALLEJON,CALLEJON DE LA INDUSTRIA,CALLE,INDEPENDENCIA,CALLE,PROVIDENCIA,17,,,,,,COLONIA,CENTRO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0190,007,,,,19.21121359,-98.38094548,2024-11,9811213,True,False,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR,MAQUILA DE PANTALONES,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,Fijo,"CALLE INDUSTRIA 17, COLONIA CENTRO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",19.21121359,-98.38094548,https://www.google.com/maps/search/?api=1&query=MAQUILA+DE+PANTALONES+CALLE+INDUSTRIA+17%2C+COLONIA+CENTRO%2C+74169%2C+Santa+Ana+Xalmimilulco%2C+Huejotzingo%2C+Puebla+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21121359%2C-98.38094548,https://www.openstreetmap.org/?mlat=19.2112136&mlon=-98.3809455#map=19/19.2112136/-98.3809455,AUDITORIA_MANUAL_MAQUILA,MAQUILA,COMPLETADO,SI,SI,SI,SI,INCLUIR_ALTA,ALTA,GoogleMaps,,,"Se encontró un establecimiento consistente con el giro y la ubicación registrados. Además de la fabricación de pantalón, se menciona fabricación de tela, lo que se considera una señal de posible proceso húmedo dentro de la cadena textil. Por ello, se incluye como establecimiento de interés, aunque la presencia específica de lavado, teñido u otros procesos húmedos no pudo confirmarse directamente.",True,REVISAR,NO_APLICA,media,,,alta,INCLUIR_ALTA,DICTAMEN_MANUAL_COMPLETADO
10382850,21074314991000261000000000U9,GILCERJEANS,,314991,"Confecci�n, bordado y deshilado de productos textiles",0 a 5 personas,CALLE,MAGNOLIA,PRIVADA,MAGNOLIA,CALLE,INDUSTRIA,CALLE,ZARAGOZA,,SN,,,,,COLONIA,CENTRO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0190,014,2271004885,GILCERJAES@GMAIL.COM,,19.21177368,-98.38001572,2024-11,10382850,True,False,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR,GILCERJEANS,314991,"Confecci�n, bordado y deshilado de productos textiles",Fijo,"CALLE MAGNOLIA SN, COLONIA CENTRO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",19.21177368,-98.38001572,https://www.google.com/maps/search/?api=1&query=GILCERJEANS+CALLE+MAGNOLIA+SN%2C+COLONIA+CENTRO%2C+74169%2C+Santa+Ana+Xalmimilulco%2C+Huejotzingo%2C+Puebla+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21177368%2C-98.38001572,https://www.openstreetmap.org/?mlat=19.2117737&mlon=-98.3800157#map=19/19.2117737/-98.3800157,PRODUCCION_MEZCLILLA_AUTOMATICA,,,,,,,,,,,,,False,INCLUIR_POR_MEZCLILLA,NO_APLICA,media,,,media,INCLUIR_MEDIA,INCLUSION_PRECAUTORIA_MEZCLILLA_O_PRODUCTIVA
3326137,21074315229001301002000000U6,MAQUILA DE PANTALON FOSIL JEANS,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,CALLE,REFORMA,CALLE,VIOLETAS PONIENTE,CALLE,MORELOS,CALLE,MELCHOR OCAMPO,15,,,,,,PUEBLO,SANTA ANA XALMIMINULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0190,009,2227054744,JOSEROBERTO.JUAREZC@GMAIL.COM,,19.21180747,-98.38308957,2014-12,3326137,True,False,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR,MAQUILA DE PANTALON FOSIL JEANS,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,Fijo,"CALLE REFORMA 15, PUEBLO SANTA ANA XALMIMINULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",19.21180747,-98.38308957,https://www.google.com/maps/search/?api=1&query=MAQUILA+DE+PANTALON+FOSIL+JEANS+CALLE+REFORMA+15%2C+PUEBLO+SANTA+ANA+XALMIMINULCO%2C+74169%2C+Santa+Ana+Xalmimilulco%2C+Huejotzingo%2C+Puebla+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21180747%2C-98.38308957,https://www.openstreetmap.org/?mlat=19.2118075&mlon=-98.3830896#map=19/19.2118075/-98.3830896,MAQUILA_MEZCLILLA_AUTOMATICA,,,,,,,,,,,,,False,INCLUIR_POR_MEZCLILLA,NO_APLICA,media,,,media,INCLUIR_MEDIA,INCLUSION_PRECAUTORIA_MEZCLILLA_O_PRODUCTIVA
3427211,21074315225000041002000000U7,MAQUILA DE PANTALON SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,PALMA,PRIVADA,NINGUNO,PRIVADA,NINGUNO,CALLE,VENUSTIANO CARRANZA,8,,,,,,COLONIA,CENTRO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0025,002,2271030359,,,19.20783852,-98.38225532,2010-07,3427211,False,True,SOLO_MH,AUDITORIA_MANUAL:EXCLUIR_NO_ENCONTRADO,MAQUILA DE PANTALON SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,Fijo,"CALLE PALMA 8, COLONIA CENTRO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",19.20783852,-98.38225532,https://www.google.com/maps/search/?api=1&query=MAQUILA+DE+PANTALON+SIN+NOMBRE+CALLE+PALMA+8%2C+COLONIA+CENTRO%2C+74169%2C+Santa+Ana+Xalmimilulco%2C+Huejotzingo%2C+Puebla+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.20783852%2C-98.38225532,https://www.openstreetmap.org/?mlat=19.2078385&mlon=-98.3822553#map=19/19.2078385/-98.3822553,,MAQUILA,COMPLETADO,NO,SI,NO,NO,EXCLUIR_NO_ENCONTRADO,MEDIA,GoogleMaps,21/08/2026,NAB,,False,REVISAR,NO_APLICA,media,,,,NO_INCLUIDO_EN_TENTATIVO,SOLO_REFERENCIA_MH_SIN_PRIORIDAD_PROPIA
3428204,21074315229000241000000000U5,MAQUILA DE PANTALON DE MESCLILLA,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,CALLE DEL REFUGIO,PRIVADA,NINGUNO,CALLEJON,CALLEJON DEL REFUGIO,CALLE,PROVIDENCIA,22,,,,,,PUEBLO,SANTA ANA XALMIMINULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0190,005,,,,19.21390585,-98.38287639,2010-07,3428204,True,False,SOLO_HIDRICO_PRELIMINAR,INCLUIDO_PRELIMINAR,MAQUILA DE PANTALON DE MESCLILLA,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,Fijo,"CALLE CALLE DEL REFUGIO 22, PUEBLO SANTA ANA XALMIMINULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",19.21390585,-98.38287639,https://www.google.com/maps/search/?api=1&query=MAQUILA+DE+PANTALON+DE+MESCLILLA+CALLE+CALLE+DEL+REFUGIO+22%2C+PUEBLO+SANTA+ANA+XALMIMINULCO%2C+74169%2C+Santa+Ana+Xalmimilulco%2C+Huejotzingo%2C+Puebla+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21390585%2C-98.38287639,https://www.openstreetmap.org/?mlat=19.2139058&mlon=-98.3828764#map=19/19.2139058/-98.3828764,MAQUILA_MEZCLILLA_AUTOMATICA,,,,,,,,,,,,,False,INCLUIR_POR_MEZCLILLA,NO_APLICA,media,,,media,INCLUIR_MEDIA,INCLUSION_PRECAUTORIA_MEZCLILLA_O_PRODUCTIVA
