localidad_id_analisis,decision_clasificacion,categoria_clasificacion,registros
santa_ana_xalmimilulco,EXCLUIR,excluir_actividad_no_objetivo,137
santa_ana_xalmimilulco,EXCLUIR,excluir_coincidencia_generica_no_textil,18
santa_ana_xalmimilulco,EXCLUIR,excluir_comercio,744
santa_ana_xalmimilulco,FUERA,fuera_filtro,499
santa_ana_xalmimilulco,INCLUIR_ALTA,lavado_acabado_textil,8
santa_ana_xalmimilulco,INCLUIR_MEDIA,maquila_textil,171
santa_ana_xalmimilulco,INCLUIR_MEDIA,produccion_textil,135
santa_ana_xalmimilulco,REVISAR,revisar_contradiccion_scian_texto,2
santa_ana_xalmimilulco,REVISAR,revisar_lavado_generico,16
santa_ana_xalmimilulco,REVISAR,revisar_maquila_sola,2
