id,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,nombre_clase_actividad_scian,categoria_clasificacion,decision_clasificacion,universo_revision,latitud_revision,longitud_revision,url_busqueda_google_maps,url_punto_google_maps,url_openstreetmap,estado_revision_manual,establecimiento_encontrado,nombre_encontrado,giro_observado,evidencia_proceso_humedo,evidencia_mezclilla,decision_manual,confianza_revision,fuentes_consultadas,fecha_revision,revisor,notas_revision,causa_revision_explicita,decision_automatica_revision,fuente_inclusion_automatica
11183668,BODEGA DE DESPERDICIO,812210,Lavander�as y tintorer�as,revisar_contradiccion_scian_texto,REVISAR,revision_fuera_universo_productivo,19.2111932,-98.37746045,https://www.google.com/maps/search/?api=1&query=BODEGA+DE+DESPERDICIO+IXTACUIXTLA+NORTE+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.2111932%2C-98.37746045,https://www.openstreetmap.org/?mlat=19.2111932&mlon=-98.3774605#map=19/19.2111932/-98.3774605,COMPLETADO,NO,NA,BODEGA,NO,NO,MANTENER_EN_REVISION,MEDIA,"GoogleMaps, OpenStreet",17/08/2026,NAB,"No se encontró el establecimiento en los enlaces de mapas consultados ni mediante búsqueda directa en Google, por lo que no fue posible verificar su ubicación o existencia con las fuentes disponibles.",SCIAN 812210 contradicho por nombre de bodega o desperdicio,MANTENER_EN_REVISION,
11081907,BODEGA SIN NOMBRE,812210,Lavander�as y tintorer�as,revisar_contradiccion_scian_texto,REVISAR,revision_fuera_universo_productivo,19.21328834,-98.37489147,https://www.google.com/maps/search/?api=1&query=BODEGA+SIN+NOMBRE+PRIMERO+DE+MAYO+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21328834%2C-98.37489147,https://www.openstreetmap.org/?mlat=19.2132883&mlon=-98.3748915#map=19/19.2132883/-98.3748915,COMPLETADO,AMBIGUO,NA,BODEGA,NO,NO,INCLUIR_MEDIA,MEDIA,"GoogleMaps, OpenStreet",17/08/2026,NAB,"Se encontró una edificación en Google Maps que podría corresponder al establecimiento; sin embargo, no se identificó nombre, señalización ni información adicional que permita confirmar la coincidencia.",SCIAN 812210 contradicho por nombre de bodega o desperdicio,MANTENER_EN_REVISION,
3428283,LAVANDERIA LAVAMEXXAL,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,revision_fuera_universo_productivo,19.2112318,-98.3780799,https://www.google.com/maps/search/?api=1&query=LAVANDERIA+LAVAMEXXAL+ZARAGOZA+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.2112318%2C-98.3780799,https://www.openstreetmap.org/?mlat=19.2112318&mlon=-98.3780799#map=19/19.2112318/-98.3780799,COMPLETADO,AMBIGUO,NA,LAVANDERIA_INDUSTRIAL,SI,NO,INCLUIR_MEDIA,MEDIA,"GoogleMaps, OpenStreet",17/08/2026,NAB,"Se encontró en Google Maps una edificación consistente con las coordenadas registradas, cuyas dimensiones aparentan corresponder a una instalación con capacidad mayor a la de una lavandería comercial convencional; sin embargo, no se encontró información adicional que permita confirmar su actividad.","SCIAN 812210 y nombre de lavandería sin evidencia explícita de lavado industrial, mezclilla, deslavado o acabado productivo",MANTENER_EN_REVISION,
3326066,LAVANDERIA LAVAPLUS,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,revision_fuera_universo_productivo,19.21861458,-98.3819366,https://www.google.com/maps/search/?api=1&query=LAVANDERIA+LAVAPLUS+DIVISION+DEL+NORTE+SANTA+ANA+XALMIMINULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21861458%2C-98.3819366,https://www.openstreetmap.org/?mlat=19.2186146&mlon=-98.3819366#map=19/19.2186146/-98.3819366,COMPLETADO,AMBIGUO,NA,LAVANDERIA_INDUSTRIAL,SI,NO,INCLUIR_MEDIA,MEDIA,"GoogleMaps, OpenStreet",17/08/2026,NAB,"Se encontró en Google Maps una edificación consistente con las coordenadas registradas, cuyas dimensiones aparentan corresponder a una instalación con capacidad mayor a la de una lavandería comercial convencional; sin embargo, no se encontró información adicional que permita confirmar su actividad.","SCIAN 812210 y nombre de lavandería sin evidencia explícita de lavado industrial, mezclilla, deslavado o acabado productivo",MANTENER_EN_REVISION,
3428174,LAVANDERIA ALEX,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,revision_fuera_universo_productivo,19.21501731,-98.38544865,https://www.google.com/maps/search/?api=1&query=LAVANDERIA+ALEX+SAN+MARTIN+SANTA+ANA+XALMININULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21501731%2C-98.38544865,https://www.openstreetmap.org/?mlat=19.2150173&mlon=-98.3854487#map=19/19.2150173/-98.3854487,COMPLETADO,AMBIGUO,NA,MAQUILA_TEXTIL,NO,NO,INCLUIR_MEDIA,MEDIA,"GoogleMaps, OpenStreet",17/08/2026,NAB,"Se localizó en Google Maps, en coordenadas coincidentes con el registro, un inmueble de aproximadamente tres plantas y dimensiones compatibles con una actividad productiva. En el exterior se observa además un anuncio de contratación para puestos asociados aparentemente a procesos de confección/textiles. Aunque no fue posible confirmar que opere específicamente como lavandería, la evidencia visual sugiere un establecimiento relacionado con el giro textil, por lo que se considera pertinente mantenerlo dentro del análisis.","SCIAN 812210 y nombre de lavandería sin evidencia explícita de lavado industrial, mezclilla, deslavado o acabado productivo",MANTENER_EN_REVISION,
10801837,LAVANDERIA SIN NOMBRE,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,revision_fuera_universo_productivo,19.20672151,-98.37428614,https://www.google.com/maps/search/?api=1&query=LAVANDERIA+SIN+NOMBRE+REAL+DE+PUEBLA+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.20672151%2C-98.37428614,https://www.openstreetmap.org/?mlat=19.2067215&mlon=-98.3742861#map=19/19.2067215/-98.3742861,COMPLETADO,AMBIGUO,NA,NO_ENCONTRADO,NO,NO,EXCLUIR_NO_ENCONTRADO,MEDIA,"GoogleMaps, OpenStreet",17/08/2026,NAB,"No se encontró el establecimiento en los enlaces de mapas consultados ni mediante búsqueda directa en Google, por lo que no fue posible verificar su ubicación o existencia con las fuentes disponibles.","SCIAN 812210 y nombre de lavandería sin evidencia explícita de lavado industrial, mezclilla, deslavado o acabado productivo",MANTENER_EN_REVISION,
3427993,LAVANDERIA SIN NOMBRE,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,revision_fuera_universo_productivo,19.20916815,-98.386831,https://www.google.com/maps/search/?api=1&query=LAVANDERIA+SIN+NOMBRE+SAN+ANTONIO+SAN+ANTONIO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.20916815%2C-98.386831,https://www.openstreetmap.org/?mlat=19.2091681&mlon=-98.3868310#map=19/19.2091681/-98.3868310,COMPLETADO,AMBIGUO,NA,LAVANDERIA_INDUSTRIAL,SI,NO,INCLUIR_MEDIA,MEDIA,"GoogleMaps, OpenStreet",17/08/2026,NAB,"Se encontró en Google Maps una edificación consistente con las coordenadas registradas, cuyas dimensiones aparentan corresponder a una instalación con capacidad mayor a la de una lavandería comercial convencional; sin embargo, no se encontró información adicional que permita confirmar su actividad.","SCIAN 812210 y nombre de lavandería sin evidencia explícita de lavado industrial, mezclilla, deslavado o acabado productivo",MANTENER_EN_REVISION,
11149643,LAVANDERIA LOS SOLARES,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,revision_fuera_universo_productivo,19.20557939,-98.36887278,https://www.google.com/maps/search/?api=1&query=LAVANDERIA+LOS+SOLARES+NINGUNO+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.20557939%2C-98.36887278,https://www.openstreetmap.org/?mlat=19.2055794&mlon=-98.3688728#map=19/19.2055794/-98.3688728,COMPLETADO,AMBIGUO,NA,LAVANDERIA_INDUSTRIAL,SI,NO,INCLUIR_MEDIA,MEDIA,"GoogleMaps, OpenStreet",17/08/2026,NAB,"Se localizó la lavandería en Google Maps; sin embargo, Street View no tiene cobertura hasta el inmueble. Por las dimensiones observadas en imagen satelital y su ubicación hacia las afueras de la localidad, se considera posible que corresponda a una operación de lavado a escala industrial, aunque esto no pudo confirmarse visualmente.","SCIAN 812210 y nombre de lavandería sin evidencia explícita de lavado industrial, mezclilla, deslavado o acabado productivo",MANTENER_EN_REVISION,
10876257,LAVANDERIA MA & MA,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,revision_fuera_universo_productivo,19.21136579,-98.38497712,https://www.google.com/maps/search/?api=1&query=LAVANDERIA+MA+%26+MA+EL+REBOZO+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21136579%2C-98.38497712,https://www.openstreetmap.org/?mlat=19.2113658&mlon=-98.3849771#map=19/19.2113658/-98.3849771,COMPLETADO,NO,NA,NO_ENCONTRADO,NO,NO,EXCLUIR_NO_ENCONTRADO,ALTA,"GoogleMaps, OpenStreet",17/08/2026,NAB,"No se encontró el establecimiento en los enlaces de mapas consultados ni mediante búsqueda directa en Google, por lo que no fue posible verificar su ubicación o existencia con las fuentes disponibles.","SCIAN 812210 y nombre de lavandería sin evidencia explícita de lavado industrial, mezclilla, deslavado o acabado productivo",MANTENER_EN_REVISION,
3427213,LAVANDERIA MAGALY,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,revision_fuera_universo_productivo,19.20645951,-98.37919106,https://www.google.com/maps/search/?api=1&query=LAVANDERIA+MAGALY+IXTACUIXTLA+SUR+CENTRO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.20645951%2C-98.37919106,https://www.openstreetmap.org/?mlat=19.2064595&mlon=-98.3791911#map=19/19.2064595/-98.3791911,COMPLETADO,SI,LAVANDERIA INDUSTRIAL MAGALY,LAVANDERIA_INDUSTRIAL,SI,NO,INCLUIR_ALTA,ALTA,"GoogleMaps, OpenStreet, ComerciosMexico",17/08/2026,NAB,"Se localizó el establecimiento en Google Maps, con coincidencia tanto en el nombre como en las coordenadas registradas. Adicionalmente, se encontró evidencia en línea que confirma su relación con el giro textil, por lo que se considera una coincidencia válida y se mantiene dentro del análisis.","SCIAN 812210 y nombre de lavandería sin evidencia explícita de lavado industrial, mezclilla, deslavado o acabado productivo",MANTENER_EN_REVISION,
