"palabra","senal"
"acabado","humedo_explicito"
"acabado de prendas","humedo_explicito"
"acabado quimico","humedo_explicito"
"acabado textil","humedo_explicito"
"acabado textil","textil"
"acid wash","humedo_explicito"
"acid wash","mezclilla"
"bano quimico","humedo_explicito"
"blanqueado","humedo_explicito"
"blanqueamiento","humedo_explicito"
"blanqueo","humedo_explicito"
"bordado","produccion"
"bordado","textil"
"bordados","produccion"
"bordados","textil"
"centrifugado","humedo_explicito"
"clean clothes","lavado_generico"
"colorante","humedo_explicito"
"confeccion","produccion"
"confeccion","textil"
"confeccion en serie","maquila"
"confeccion en serie","produccion"
"confecciones","produccion"
"confecciones","textil"
"corte","produccion"
"corte industrial","produccion"
"costura","textil"
"costurera","textil"
"decolorado","humedo_explicito"
"denim","mezclilla"
"denim","textil"
"desebrado","mezclilla"
"desebrado","produccion"
"desebrado","textil"
"deshebrado","mezclilla"
"deshebrado","produccion"
"deshebrado","textil"
"deslavado","humedo_explicito"
"deslave","humedo_explicito"
"elaboracion","produccion"
"elaboracion de ropa","produccion"
"elaboracion de ropa","textil"
"enjuague","humedo_explicito"
"ensamble de prendas","maquila"
"ensamble de prendas","produccion"
"ensamble de prendas","textil"
"enzimas","humedo_explicito"
"estampado","produccion"
"estampado","textil"
"fabrica","produccion"
"fabricacion","produccion"
"fabricacion de ropa","produccion"
"fabricacion de ropa","textil"
"fibra textil","textil"
"fosil","mezclilla"
"hilado","produccion"
"hilado","textil"
"hilatura","produccion"
"hilatura","textil"
"hilo","textil"
"impresion textil","produccion"
"impresion textil","textil"
"industria","produccion"
"industrial","produccion"
"jean","mezclilla"
"jean","textil"
"jeans","mezclilla"
"jeans","textil"
"laundry","lavado_generico"
"lavado","lavado_generico"
"lavado de jeans","humedo_explicito"
"lavado de jeans","mezclilla"
"lavado de mezclilla","humedo_explicito"
"lavado de mezclilla","mezclilla"
"lavado de prendas","humedo_explicito"
"lavado de ropa","humedo_explicito"
"lavado industrial","humedo_explicito"
"lavado industrial","produccion"
"lavado textil","humedo_explicito"
"lavanderia","lavado_generico"
"lavanderia de prendas","humedo_explicito"
"lavanderia industrial","humedo_explicito"
"lavanderia industrial","produccion"
"lavanderia y tintoreria","humedo_explicito"
"manufactura","produccion"
"maquila","maquila"
"maquila de mezclilla","maquila"
"maquila de mezclilla","mezclilla"
"maquila de mezclilla","textil"
"maquila de prendas","maquila"
"maquila de prendas","textil"
"maquila de ropa","maquila"
"maquila de ropa","textil"
"maquila textil","maquila"
"maquila textil","textil"
"maquilado","maquila"
"maquiladora","maquila"
"maquiladora","produccion"
"mercerizacion","humedo_explicito"
"mercerizado","humedo_explicito"
"mesclilla","mezclilla"
"mesclilla","textil"
"mezclilla","mezclilla"
"mezclilla","textil"
"neutralizado","humedo_explicito"
"oxidante","humedo_explicito"
"pantalon","textil"
"pantalon de mezclilla","mezclilla"
"pantalon de mezclilla","textil"
"pantalones de mezclilla","mezclilla"
"pantalones de mezclilla","textil"
"pasamaneria","textil"
"pigmentado","humedo_explicito"
"poliproceso","humedo_explicito"
"prelavado","humedo_explicito"
"prenda","textil"
"prendas de mezclilla","mezclilla"
"prendas de mezclilla","textil"
"prendas de vestir","textil"
"procesamiento","produccion"
"procesamiento de ropa","humedo_explicito"
"procesamiento de ropa","produccion"
"proceso enzimatico","humedo_explicito"
"procesos humedos","humedo_explicito"
"produccion","produccion"
"ropa","textil"
"ropa de trabajo","textil"
"serigrafia","produccion"
"sosa caustica","humedo_explicito"
"stone lav","humedo_explicito"
"stone lav","mezclilla"
"stone wash","humedo_explicito"
"stone wash","mezclilla"
"stonewashed","humedo_explicito"
"stonewashed","mezclilla"
"suavizado","humedo_explicito"
"suavizado quimico","humedo_explicito"
"sublimacion","produccion"
"taller de mezclilla","maquila"
"taller de mezclilla","mezclilla"
"taller de mezclilla","textil"
"taller textil","maquila"
"taller textil","textil"
"tejeduria","produccion"
"tejeduria","textil"
"tejido","produccion"
"tejido","textil"
"tela","textil"
"telar","produccion"
"telar","textil"
"telas","textil"
"tenido","humedo_explicito"
"tenido de prendas","humedo_explicito"
"textil","textil"
"textilera","produccion"
"textilera","textil"
"tinte","humedo_explicito"
"tintoreria","humedo_explicito"
"tintoreria industrial","humedo_explicito"
"tintoreria industrial","produccion"
"tintura","humedo_explicito"
"transformacion","produccion"
"transformacion de mezclilla","mezclilla"
"transformacion de mezclilla","produccion"
"transformacion de mezclilla","textil"
"tratamiento","lavado_generico"
"tratamiento de prendas","humedo_explicito"
"tratamiento especial","lavado_generico"
"tratamiento textil","humedo_explicito"
"tratamiento textil","textil"
"uniforme industrial","textil"
