Name,Nombre,Direccion,Filtro,_name_norm_left,index_right,id_denue2026_cercano,clee_denue2026_cercano,nombre_denue2026_cercano,codigo_denue2026_cercano,actividad_denue2026_cercana,_name_norm_right,distancia_m_denue2026,nombre_exactamente_en_denue2026,comparacion,nombre_mapa,fuente_mapa
1,HERA APPAREL,"Carretera a Huejotzingo S/N, Santa Ana Xalmimilulco, 74169 Huejotzingo, Pue.",0.0,HERA APPAREL,153,3538483,21074315229001255003000000U4,HERA APPAREL,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,HERA APPAREL,1.3564290675219244,True,mayra_nombre_exactoy_cerca,HERA APPAREL,mayra
2,Deshebrado de pantalon,"Nuevo México SN, Manzana Tercera, Huejotzingo",,DESHEBRADO DE PANTALON,1255,11136245,21074461110011981000000000U7,TIENDA SIN NOMBRE,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y miscel�neas",TIENDA SIN NOMBRE,209.68353306811233,False,mayra_revisar_nombre_o_distancia,Deshebrado de pantalon,mayra
3,Maquila de pantalon de mezclilla,"Corpus Christi SN, Sección Segunda, Huejotzingo",,MAQUILA DE PANTALON DE MEZCLILLA,911,8089564,21074461110007701000000000U5,MISCELANEA SAID,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y miscel�neas",MISCELANEA SAID,38.51415695985198,False,mayra_revisar_nombre_o_distancia,Maquila de pantalon de mezclilla,mayra
4,Taller de maquila de pantalon,"Adolfo López Mateos SN, Manzana Tercera, Huejotzingo",,TALLER DE MAQUILA DE PANTALON,259,8089508,21074311513000212000000000U7,QUESERIA DE DON FLAVIO,311513,Elaboraci�n de derivados y fermentos l�cteos,QUESERIA DE DON FLAVIO,85.45425634554402,False,mayra_revisar_nombre_o_distancia,Taller de maquila de pantalon,mayra
5,Taller de bordado,"Adolfo López Mateos SN, Manzana Tercera, Huejotzingo",,TALLER DE BORDADO,1167,3427277,21074461110003231000000000U7,TIENDA ALEX,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y miscel�neas",TIENDA ALEX,33.508115238887925,False,mayra_revisar_nombre_o_distancia,Taller de bordado,mayra
6,Taller de deshebrado,"Adolfo López Mateos SN, Manzana Tercera, Huejotzingo",,TALLER DE DESHEBRADO,231,8089455,21074315229001911000000000U2,MAQUILADORA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,MAQUILADORA SIN NOMBRE,75.64776237512541,False,mayra_revisar_nombre_o_distancia,Taller de deshebrado,mayra
7,Taller de maquila de pantalon,"San Isidro 20, Manzana Tercera, Huejotzingo",,TALLER DE MAQUILA DE PANTALON,369,3427268,21074315229000111002000000U0,TALLER DE MAQUILA DE PANTALON,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,TALLER DE MAQUILA DE PANTALON,2.315870117215294,True,mayra_nombre_exactoy_cerca,Taller de maquila de pantalon,mayra
8,Maquila de pantalon de mezclilla,"Manzana Tercera, Huejotzingo",,MAQUILA DE PANTALON DE MEZCLILLA,246,3427200,21074315229000551000000000U7,PRETINA Y PRESILLA DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,PRETINA Y PRESILLA DE PANTALON DE MEZCLILLA SIN NOMBRE,33.515293409205064,False,mayra_revisar_nombre_o_distancia,Maquila de pantalon de mezclilla,mayra
9,Acabado de pantalon de mezclilla,"Los Pinos 8, Manzana Tercera, Huejotzingo",,ACABADO DE PANTALON DE MEZCLILLA,188,11359086,21074315223000331000000000U7,MAQUILA SIN NOMBRE,315223,Confecci�n en serie de uniformes,MAQUILA SIN NOMBRE,18.909916201590935,False,mayra_revisar_nombre_o_distancia,Acabado de pantalon de mezclilla,mayra
11,Taller de maquila de pantalon de mezclilla,"Venustiano Carranza 20, Manzana Tercera, Huejotzingo",,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,392,3326347,21074315229001391002000000U7,TALLER DE MAQUILA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,TALLER DE MAQUILA SIN NOMBRE,1.2004283790522317,False,mayra_revisar_nombre_o_distancia,Taller de maquila de pantalon de mezclilla,mayra
12,Maquila de pantalon,"Santa Ana Xalmimilulco, Huejotzingo",,MAQUILA DE PANTALON,418,8089208,21074315229001731000000000U4,TERMINADO DE PANTALON SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,TERMINADO DE PANTALON SIN NOMBRE,5.030265056554751,False,mayra_revisar_nombre_o_distancia,Maquila de pantalon,mayra
13,Maquiladora,"Triunfo 3, Santa Ana Xalmimilulco, Huejotzingo",,MAQUILADORA,613,8089336,21074461121001161000000000U5,CARNICERIA XIMENITA,461121,Comercio al por menor de carnes rojas,CARNICERIA XIMENITA,21.566928136375683,False,mayra_revisar_nombre_o_distancia,Maquiladora,mayra
14,Taller de maquila de pantalon de mezclilla,"Palma 25, Manzana Tercera, Huejotzingo",,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,394,9725562,21074315229002411000000000U2,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,0.20301648945817377,True,mayra_nombre_exactoy_cerca,Taller de maquila de pantalon de mezclilla,mayra
15,Taller de maquila de pantalon de mezclilla,"Palma 23, Manzana Tercera, Huejotzingo",,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,1249,8271577,21074461110007021010000000U8,TIENDA VIANEY JHOVANNY,461160,Comercio al por menor de dulces y materias primas para reposter�a,TIENDA VIANEY JHOVANNY,5.609911626623894,False,mayra_revisar_nombre_o_distancia,Taller de maquila de pantalon de mezclilla,mayra
16,Maquila de pantalon de mezclilla,"Palma 8, Manzana Tercera, Huejotzingo",,MAQUILA DE PANTALON DE MEZCLILLA,1081,10098155,21074463113000681000000000U8,PEDRERIA LA PALMA,463113,Comercio al por menor de art�culos de mercer�a y boneter�a,PEDRERIA LA PALMA,5.734186275356399,False,mayra_revisar_nombre_o_distancia,Maquila de pantalon de mezclilla,mayra
