Name,DENUE,ID DENUE,_id_key,nombre_mapa,id,comparacion,fuente_mapa
1,1,3538483.0,3538483,1,3538483,mh_id_en_denue2026_base,mh_filtrado
2,0,,,2,,mh_filtrado_sin_id,mh_filtrado
3,0,,,3,,mh_filtrado_sin_id,mh_filtrado
4,0,,,4,,mh_filtrado_sin_id,mh_filtrado
5,1,8089452.0,8089452,5,8089452,mh_id_en_denue2026_base,mh_filtrado
6,1,8089455.0,8089455,6,8089455,mh_id_en_denue2026_base,mh_filtrado
7,1,3427268.0,3427268,7,3427268,mh_id_en_denue2026_base,mh_filtrado
8,1,3326339.0,3326339,8,3326339,mh_id_en_denue2026_base,mh_filtrado
9,1,11359086.0,11359086,9,11359086,mh_id_en_denue2026_base,mh_filtrado
11,1,3326347.0,3326347,11,3326347,mh_id_en_denue2026_base,mh_filtrado
12,1,8089208.0,8089208,12,8089208,mh_id_en_denue2026_base,mh_filtrado
13,1,3327188.0,3327188,13,3327188,mh_id_no_en_denue2026_base,mh_filtrado
14,1,9725562.0,9725562,14,9725562,mh_id_en_denue2026_base,mh_filtrado
15,1,3427182.0,3427182,15,3427182,mh_id_en_denue2026_base,mh_filtrado
16,1,3427211.0,3427211,16,3427211,mh_id_en_denue2026_base,mh_filtrado
17,1,3428048.0,3428048,17,3428048,mh_id_en_denue2026_base,mh_filtrado
18,1,6450047.0,6450047,18,6450047,mh_id_en_denue2026_base,mh_filtrado
19,0,,,19,,mh_filtrado_sin_id,mh_filtrado
20,1,11179294.0,11179294,20,11179294,mh_id_en_denue2026_base,mh_filtrado
21,1,3427858.0,3427858,21,3427858,mh_id_en_denue2026_base,mh_filtrado
22,1,3427887.0,3427887,22,3427887,mh_id_en_denue2026_base,mh_filtrado
23,1,3427899.0,3427899,23,3427899,mh_id_en_denue2026_base,mh_filtrado
24,1,3326144.0,3326144,24,3326144,mh_id_en_denue2026_base,mh_filtrado
25,0,,,25,,mh_filtrado_sin_id,mh_filtrado
26,1,10398573.0,10398573,26,10398573,mh_id_en_denue2026_base,mh_filtrado
27,1,3326133.0,3326133,27,3326133,mh_id_en_denue2026_base,mh_filtrado
28,1,8090624.0,8090624,28,8090624,mh_id_en_denue2026_base,mh_filtrado
29,1,3428151.0,3428151,29,3428151,mh_id_en_denue2026_base,mh_filtrado
30,1,11119257.0,11119257,30,11119257,mh_id_en_denue2026_base,mh_filtrado
31,1,11313187.0,11313187,31,11313187,mh_id_en_denue2026_base,mh_filtrado
32,1,3428168.0,3428168,32,3428168,mh_id_en_denue2026_base,mh_filtrado
33,1,9890180.0,9890180,33,9890180,mh_id_en_denue2026_base,mh_filtrado
34,1,10122074.0,10122074,34,10122074,mh_id_en_denue2026_base,mh_filtrado
35,1,9804661.0,9804661,35,9804661,mh_id_en_denue2026_base,mh_filtrado
36,0,,,36,,mh_filtrado_sin_id,mh_filtrado
37,1,7742787.0,7742787,37,7742787,mh_id_en_denue2026_base,mh_filtrado
38,1,11521781.0,11521781,38,11521781,mh_id_en_denue2026_base,mh_filtrado
39,1,10494863.0,10494863,39,10494863,mh_id_en_denue2026_base,mh_filtrado
40,1,11528292.0,11528292,40,11528292,mh_id_en_denue2026_base,mh_filtrado
41,1,10416578.0,10416578,41,10416578,mh_id_en_denue2026_base,mh_filtrado
42,1,9890969.0,9890969,42,9890969,mh_id_en_denue2026_base,mh_filtrado
43,1,11303687.0,11303687,43,11303687,mh_id_en_denue2026_base,mh_filtrado
44,1,3428134.0,3428134,44,3428134,mh_id_en_denue2026_base,mh_filtrado
45,1,6272576.0,6272576,45,6272576,mh_id_en_denue2026_base,mh_filtrado
46,1,6861846.0,6861846,46,6861846,mh_id_en_denue2026_base,mh_filtrado
47,1,3428329.0,3428329,47,3428329,mh_id_en_denue2026_base,mh_filtrado
48,1,11290346.0,11290346,48,11290346,mh_id_en_denue2026_base,mh_filtrado
49,1,8090455.0,8090455,49,8090455,mh_id_en_denue2026_base,mh_filtrado
50,1,11173772.0,11173772,50,11173772,mh_id_en_denue2026_base,mh_filtrado
