_id_key,id,en_universo_actual_santa,en_filtrado_2026_santa,en_mh_filtrado,en_denue2026_base,en_clasificacion_2026,conjunto_comparativo,comparacion,fuente_mapa,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,nombre_clase_actividad_scian,per_ocu,municipio,localidad,categoria_relevancia_ambiental,etapa_productiva_sugerida,decision_estudio_sugerida,decision_alcance_proyecto,presion_ambiental_potencial,confianza_clasificacion,flag_universo_alcance_proyecto,flag_estudio_prioritario,flag_proceso_humedo_relevante,flag_mezclilla_jeans,flag_lavado_deslavado,flag_tenido_tintoreria,flag_acabado_tratamiento,flag_maquila_productiva,flag_cercania_hidrografia_250m,distancia_hidrografia_m,evidencia_clasificacion,palabras_clave_etapa,motivo_flag_estudio_prioritario,motivo_universo_alcance_proyecto,motivo_exclusion_prioritaria,motivo_auditoria,mh_name,mh_denue_flag,mh_id_denue,nombre_mapa,membresia,senales_resumen,lectura_auditoria
10086701,10086701,True,True,False,True,True,actual_y_2026_no_mh,actual_y_2026_no_mh,union_conjuntos,21074812210000601000000000U8,LAVANDERIA MEXICO,812210,Lavander�as y tintorer�as,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,alta_relevancia_ambiental,lavanderia_industrial,incluir_prioritario,dentro_alcance_proyecto,alta,media,True,True,True,False,True,False,False,False,False,304.24427783339263,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,,,,,,LAVANDERIA MEXICO,actual Santa; filtrado 2026 Santa,proceso humedo; lavado/deslavado,Coincide entre mi universo actual y mi filtrado 2026; no esta en MH filtrado.
10099363,10099363,True,True,False,True,True,actual_y_2026_no_mh,actual_y_2026_no_mh,union_conjuntos,21074315223001011000000000U4,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,fabricacion_mezclilla,validar_documentalmente,dentro_alcance_proyecto,media,media,True,True,False,True,False,False,False,True,False,666.2342247478612,"SCIAN 315229 | mezclilla_jeans: mezclilla | maquila: maquila | confeccion: ropa, pantalon",maquila; mezclilla,contexto productivo textil,senal de mezclilla/jeans,,mezclilla/jeans sin evidencia directa de proceso humedo,,,,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,actual Santa; filtrado 2026 Santa,mezclilla/jeans; maquila,Coincide entre mi universo actual y mi filtrado 2026; no esta en MH filtrado.
10122074,10122074,False,False,True,True,True,solo_mh,solo_mh,union_conjuntos,21074315229000271000000000U2,MAQUILLADORA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,revisar,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,media,media,False,False,False,False,False,False,False,True,False,541.3412894329784,SCIAN 315229 | confeccion: ropa,,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,,34,1.0,10122074.0,MAQUILLADORA SIN NOMBRE,MH filtrado,maquila,Solo aparece en MH filtrado; revisar si es maquila/confeccion sin senal prioritaria.
10262715,10262715,False,True,False,True,True,solo_2026,solo_2026,union_conjuntos,21074313310000111000000000U0,IMPRESOS EN SERVILLETAS PARA RECUERDO,313310,Acabado de productos textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,alta_relevancia_ambiental,acabado_textil,incluir_prioritario,dentro_alcance_proyecto,alta,alta,True,True,True,False,False,False,True,False,False,725.1893173331662,SCIAN 313310 | acabado_tratamiento: acabado | industrial: industria,acabado; industria,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,senal de proceso humedo o tratamiento,,,,,,IMPRESOS EN SERVILLETAS PARA RECUERDO,filtrado 2026 Santa,proceso humedo; acabado/tratamiento,Nuevo candidato del filtrado 2026 que tambien aparece en MH filtrado.
10382850,10382850,False,True,False,True,True,solo_2026,solo_2026,union_conjuntos,21074314991000261000000000U9,GILCERJEANS,314991,"Confecci�n, bordado y deshilado de productos textiles",0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,fabricacion_mezclilla,validar_documentalmente,dentro_alcance_proyecto,media,media,True,True,False,True,False,False,False,False,False,908.5202105557923,SCIAN 314991 | mezclilla_jeans: jeans | industrial: industria | bordado_estampado: bordado,industria; jeans,contexto productivo textil,senal de mezclilla/jeans,,mezclilla/jeans sin evidencia directa de proceso humedo,,,,GILCERJEANS,filtrado 2026 Santa,mezclilla/jeans,Nuevo candidato del filtrado 2026 que tambien aparece en MH filtrado.
10398573,10398573,False,False,True,True,True,solo_mh,solo_mh,union_conjuntos,21074315229002952000000000U5,MAQUILA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,media,media,False,False,False,False,False,False,False,True,False,619.7027806022425,SCIAN 315229 | maquila: maquila | confeccion: ropa,maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,,26,1.0,10398573.0,MAQUILA SIN NOMBRE,MH filtrado,maquila,Solo aparece en MH filtrado; revisar si es maquila/confeccion sin senal prioritaria.
10416578,10416578,False,False,True,True,True,solo_mh,solo_mh,union_conjuntos,21074315229002972000000000U3,MAQUILLADORA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,media,media,False,False,False,False,False,False,False,True,False,396.53120538721794,"SCIAN 315229 | industrial: maquiladora | maquila: maquila, maquiladora | confeccion: ropa",maquila; maquiladora,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,,41,1.0,10416578.0,MAQUILLADORA SIN NOMBRE,MH filtrado,maquila,Solo aparece en MH filtrado; revisar si es maquila/confeccion sin senal prioritaria.
10451408,10451408,True,True,False,True,True,actual_y_2026_no_mh,actual_y_2026_no_mh,union_conjuntos,21074812210000861000000000U8,STONE LAV,812210,Lavander�as y tintorer�as,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,revisar,lavanderia_industrial,incluir_prioritario,dentro_alcance_proyecto,alta,media,True,True,True,False,False,False,False,False,False,1000.7362348260492,SCIAN 812210,,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,senal de proceso humedo o tratamiento,,,,,,STONE LAV,actual Santa; filtrado 2026 Santa,proceso humedo,Coincide entre mi universo actual y mi filtrado 2026; no esta en MH filtrado.
10494863,10494863,False,False,True,True,True,solo_mh,solo_mh,union_conjuntos,21074315229002341000000000U1,MAQUILA,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,media,media,False,False,False,False,False,False,False,True,False,538.6216615975089,SCIAN 315229 | maquila: maquila | confeccion: ropa,maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,,39,1.0,10494863.0,MAQUILA,MH filtrado,maquila,Solo aparece en MH filtrado; revisar si es maquila/confeccion sin senal prioritaria.
10801837,10801837,True,True,False,True,True,actual_y_2026_no_mh,actual_y_2026_no_mh,union_conjuntos,21074812210000772000000000U7,LAVANDERIA SIN NOMBRE,812210,Lavander�as y tintorer�as,6 a 10 personas,Huejotzingo,Santa Ana Xalmimilulco,alta_relevancia_ambiental,lavanderia_industrial,incluir_prioritario,dentro_alcance_proyecto,alta,media,True,True,True,False,True,False,False,False,False,568.8397694588274,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,,,,,,LAVANDERIA SIN NOMBRE,actual Santa; filtrado 2026 Santa,proceso humedo; lavado/deslavado,Coincide entre mi universo actual y mi filtrado 2026; no esta en MH filtrado.
10876257,10876257,True,True,False,True,True,actual_y_2026_no_mh,actual_y_2026_no_mh,union_conjuntos,21074812210000751000000000U1,LAVANDERIA MA & MA,812210,Lavander�as y tintorer�as,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,alta_relevancia_ambiental,lavanderia_industrial,incluir_prioritario,dentro_alcance_proyecto,alta,media,True,True,True,False,True,False,False,False,False,592.6221222368735,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,,,,,,LAVANDERIA MA & MA,actual Santa; filtrado 2026 Santa,proceso humedo; lavado/deslavado,Coincide entre mi universo actual y mi filtrado 2026; no esta en MH filtrado.
11081907,11081907,True,True,False,True,True,actual_y_2026_no_mh,actual_y_2026_no_mh,union_conjuntos,21074812210000921000000000U0,BODEGA SIN NOMBRE,812210,Lavander�as y tintorer�as,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,revisar,lavanderia_industrial,incluir_prioritario,dentro_alcance_proyecto,alta,media,True,True,True,False,False,False,False,False,False,1197.5533998692724,SCIAN 812210,,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,senal de proceso humedo o tratamiento,,,,,,BODEGA SIN NOMBRE,actual Santa; filtrado 2026 Santa,proceso humedo,Coincide entre mi universo actual y mi filtrado 2026; no esta en MH filtrado.
11096797,11096797,True,False,False,False,False,solo_actual,solo_actual,union_conjuntos,21074812210000642000000000U2,LAVADOS Y PROCESOS FLORES,812210,,,Huejotzingo,Santa Ana Xalmimilulco,alta_relevancia_ambiental,lavado_deslavado,incluir_prioritario,dentro_alcance_proyecto,alta,alta,True,True,True,False,True,False,False,False,False,971.5512807745988,SCIAN 812210 | lavado_deslavado: lavado,lavado,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,,,,,,LAVADOS Y PROCESOS FLORES,actual Santa,proceso humedo; lavado/deslavado,Solo aparece en universo actual; revisar cambio de version/fuente.
11119257,11119257,False,False,True,True,True,solo_mh,solo_mh,union_conjuntos,21074315123000031000000000U5,TERMINADO DE COSTURA SIN NOMBRE,315123,Fabricaci�n de ropa exterior de tejido de punto,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,media,media,False,False,False,False,False,False,False,True,False,439.435691858927,"SCIAN 315123 | confeccion: ropa, costura",,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,,30,1.0,11119257.0,TERMINADO DE COSTURA SIN NOMBRE,MH filtrado,maquila,Solo aparece en MH filtrado; revisar si es maquila/confeccion sin senal prioritaria.
11133786,11133786,True,True,False,True,True,actual_y_2026_no_mh,actual_y_2026_no_mh,union_conjuntos,21074315229002281000000000U9,MAQUILA DESHEBRADO DE PANTALON SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,fabricacion_mezclilla,validar_documentalmente,dentro_alcance_proyecto,media,media,True,True,False,True,False,False,False,True,False,977.8491298349333,"SCIAN 315229 | mezclilla_jeans: deshebrado | maquila: maquila | confeccion: ropa, pantalon",deshebrado; maquila,contexto productivo textil,senal de mezclilla/jeans,,mezclilla/jeans sin evidencia directa de proceso humedo,,,,MAQUILA DESHEBRADO DE PANTALON SIN NOMBRE,actual Santa; filtrado 2026 Santa,mezclilla/jeans; maquila,Coincide entre mi universo actual y mi filtrado 2026; no esta en MH filtrado.
11149643,11149643,True,True,False,True,True,actual_y_2026_no_mh,actual_y_2026_no_mh,union_conjuntos,21074812210000672000000000U9,LAVANDERIA LOS SOLARES,812210,Lavander�as y tintorer�as,6 a 10 personas,Huejotzingo,Santa Ana Xalmimilulco,alta_relevancia_ambiental,lavanderia_industrial,incluir_prioritario,dentro_alcance_proyecto,alta,media,True,True,True,False,True,False,False,False,True,208.831790273757,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento y distancia <= 250 m a hidrografia,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,,,,,,LAVANDERIA LOS SOLARES,actual Santa; filtrado 2026 Santa,proceso humedo; lavado/deslavado; cercania <=250m hidrografia,Coincide entre mi universo actual y mi filtrado 2026; no esta en MH filtrado.
11173772,11173772,False,True,True,True,True,2026_y_mh_no_actual,2026_y_mh_no_actual,union_conjuntos,21074315229002821000000000U2,TALLER DE PANTALLA DE MEZCLILLA,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,fabricacion_mezclilla,validar_documentalmente,dentro_alcance_proyecto,media,media,True,True,False,True,False,False,False,False,False,806.2422564973679,SCIAN 315229 | mezclilla_jeans: mezclilla | industrial: industria | confeccion: ropa,industria; mezclilla,contexto productivo textil,senal de mezclilla/jeans,,mezclilla/jeans sin evidencia directa de proceso humedo,50,1.0,11173772.0,TALLER DE PANTALLA DE MEZCLILLA,filtrado 2026 Santa; MH filtrado,mezclilla/jeans,Nuevo candidato del filtrado 2026 para Santa Ana.
11179294,11179294,False,False,True,True,True,solo_mh,solo_mh,union_conjuntos,21074315223000911000000000U6,TALLER DE TERMINADO,315223,Confecci�n en serie de uniformes,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,revisar,mantener_pendiente,fuera_alcance_contexto_textil,pendiente,baja,False,False,False,False,False,False,False,False,True,240.16147146595583,SCIAN 315223,,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,cercania a hidrografia requiere cautela documental; confeccion generica sin suficiente detalle operativo,20,1.0,11179294.0,TALLER DE TERMINADO,MH filtrado,cercania <=250m hidrografia,Solo aparece en MH filtrado; revisar si es maquila/confeccion sin senal prioritaria.
11183668,11183668,True,True,False,True,True,actual_y_2026_no_mh,actual_y_2026_no_mh,union_conjuntos,21074812210000251000000000U2,BODEGA DE DESPERDICIO,812210,Lavander�as y tintorer�as,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,revisar,lavanderia_industrial,incluir_prioritario,dentro_alcance_proyecto,alta,media,True,True,True,False,False,False,False,False,False,1137.4430929387809,SCIAN 812210,,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,senal de proceso humedo o tratamiento,,,,,,BODEGA DE DESPERDICIO,actual Santa; filtrado 2026 Santa,proceso humedo,Coincide entre mi universo actual y mi filtrado 2026; no esta en MH filtrado.
11290346,11290346,False,False,True,True,True,solo_mh,solo_mh,union_conjuntos,21074315229002791000000000U7,MAQUILA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,media,media,False,False,False,False,False,False,False,True,False,365.909930962375,SCIAN 315229 | maquila: maquila | confeccion: ropa,maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,,48,1.0,11290346.0,MAQUILA SIN NOMBRE,MH filtrado,maquila,Solo aparece en MH filtrado; revisar si es maquila/confeccion sin senal prioritaria.
