mh_row_id,Name,DENUE,ID DENUE,_id_key,situacion_comparativa,razon_no_es_mi_prioritario,en_denue2026_base,en_mi_clasificacion_textil_2026,en_mi_universo_prioritario_2026,en_mi_santa_actual,dist_m_mh_vs_denue2026,id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,nombre_clase_actividad_scian,per_ocu,municipio,localidad,categoria_relevancia_ambiental,etapa_productiva_sugerida,decision_estudio_sugerida,decision_alcance_proyecto,flag_universo_alcance_proyecto,flag_estudio_prioritario,flag_proceso_humedo_relevante,flag_mezclilla_jeans,flag_lavado_deslavado,flag_tenido_tintoreria,flag_acabado_tratamiento,flag_maquila_productiva,flag_cercania_hidrografia_250m,distancia_hidrografia_m,evidencia_clasificacion,palabras_clave_etapa,motivo_flag_estudio_prioritario,motivo_universo_alcance_proyecto,motivo_exclusion_prioritaria,motivo_auditoria
1,1,1,3538483.0,3538483,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,1.3564290675219244,3538483,21074315229001255003000000U4,HERA APPAREL,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,51 a 100 personas,Huejotzingo,Santa Ana Xalmimilulco,revisar,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,True,170.68574841574875,SCIAN 315229 | confeccion: ropa,,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,cercania a hidrografia requiere cautela documental; maquila o confeccion productiva sin senal humeda
2,2,0,,,sin_id_denue_en_mh,La capa MH no trae ID DENUE; no se puede validar contra DENUE registro a registro.,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0,,,sin_id_denue_en_mh,La capa MH no trae ID DENUE; no se puede validar contra DENUE registro a registro.,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0,,,sin_id_denue_en_mh,La capa MH no trae ID DENUE; no se puede validar contra DENUE registro a registro.,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,1,8089452.0,8089452,si_entra_en_mi_universo_prioritario_2026,Coincide con mi universo prioritario 2026.,True,True,True,True,55.532805618560516,8089452,21074812210000451001000000U8,LAVANDERIA RUGLAS,812210,Lavander�as y tintorer�as,6 a 10 personas,Huejotzingo,Santa Ana Xalmimilulco,alta_relevancia_ambiental,lavanderia_industrial,incluir_prioritario,dentro_alcance_proyecto,True,True,True,False,True,False,False,False,False,549.3433067270176,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,,
6,6,1,8089455.0,8089455,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,75.64776237512541,8089455,21074315229001911000000000U2,MAQUILADORA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,757.6827080692736,"SCIAN 315229 | industrial: maquiladora | maquila: maquila, maquiladora | confeccion: ropa",maquila; maquiladora,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
7,7,1,3427268.0,3427268,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,2.315870117215294,3427268,21074315229000111002000000U0,TALLER DE MAQUILA DE PANTALON,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,720.846797028796,"SCIAN 315229 | maquila: maquila | confeccion: ropa, pantalon",maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
8,8,1,3326339.0,3326339,si_entra_en_mi_universo_prioritario_2026,Coincide con mi universo prioritario 2026.,True,True,True,True,92.52536663428722,3326339,21074315229001291001000000U9,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,fabricacion_mezclilla,validar_documentalmente,dentro_alcance_proyecto,True,True,False,True,False,False,False,True,False,687.0095651501339,"SCIAN 315229 | mezclilla_jeans: mezclilla | maquila: maquila | confeccion: ropa, pantalon",maquila; mezclilla,contexto productivo textil,senal de mezclilla/jeans,,mezclilla/jeans sin evidencia directa de proceso humedo
9,9,1,11359086.0,11359086,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,18.909916201590935,11359086,21074315223000331000000000U7,MAQUILA SIN NOMBRE,315223,Confecci�n en serie de uniformes,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,793.6359946340853,SCIAN 315223 | maquila: maquila,maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
10,11,1,3326347.0,3326347,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,1.2004283790522317,3326347,21074315229001391002000000U7,TALLER DE MAQUILA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,913.7305904569644,SCIAN 315229 | maquila: maquila | confeccion: ropa,maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
