id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,source_folder,categoria_relevancia_ambiental,palabras_clave_detectadas,distancia_hidrografia_m,rango_distancia_hidrografia,latitud,longitud,categoria_auditada,notas_auditoria,fuente_auditoria,query_maps,query_web,keywords_detectadas,criterio_auditoria,criterio_auditoria_sugerido,categoria_sugerida,prioridad_revision,decision_estudio,texto_auditoria_normalizado,region_auditoria,localidad_auditoria,municipio_auditoria,archivo_origen_auditoria,distancia_hidrografia_auditoria_m,__original_columns
6859807,21074313230000016002000000U1,SKYFELT,313230,agebs\xalmimilulco,revisar,,4.281905593624993,0-100 m,19.21737164,-98.40569301,,,,SKYFELT Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,SKYFELT Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,alta,,skyfelt 313230 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,4.281905593624993,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
6379890,21074313210000047100000000U8,SKYTEX MEXICO,313210,agebs\xalmimilulco,revisar,,45.2195896144847,0-100 m,19.21676433,-98.40587437,,,,SKYTEX MEXICO Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,SKYTEX MEXICO Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,alta,,skytex mexico 313210 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,45.2195896144847,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
3538483,21074315229001255003000000U4,HERA APPAREL,315229,agebs\xalmimilulco,revisar,,114.44913156823104,100-250 m,19.19542489,-98.38726817,,,,HERA APPAREL Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,HERA APPAREL Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,alta,,hera apparel 315229 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,114.44913156823104,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
3326283,21074461190000381010000000U5,DISEÑO DE ROPA A LA MEDIDA,315225,agebs\xalmimilulco,revisar,,160.62235133224095,100-250 m,19.20923132,-98.38722989,,,,DISEÑO DE ROPA A LA MEDIDA Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,DISEÑO DE ROPA A LA MEDIDA Santa Ana Xalmimilulco Huejotzingo Puebla ropa tienda comercio,baja_comercio: ropa,parece comercio simple de prendas o telas,parece comercio simple de prendas o telas,excluir,alta,,diseno de ropa a la medida 315225 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,160.62235133224095,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
8692099,21074541430000062111000000U5,PUBLICIDAD Y TEXTILES,323119,agebs\xalmimilulco,revisar,textiles,265.8743163645652,250-500 m,19.2125827,-98.37787272,,,,PUBLICIDAD Y TEXTILES Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,PUBLICIDAD Y TEXTILES Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,manual,,publicidad y textiles 323119 textiles agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,265.8743163645652,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
10262715,21074313310000111000000000U0,IMPRESOS EN SERVILLETAS PARA RECUERDO,313310,agebs\xalmimilulco,revisar,,269.3770385016121,250-500 m,19.21216914,-98.38222036,,,,IMPRESOS EN SERVILLETAS PARA RECUERDO Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,IMPRESOS EN SERVILLETAS PARA RECUERDO Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,manual,,impresos en servilletas para recuerdo 313310 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,269.3770385016121,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
10416578,21074315229002972000000000U3,MAQUILLADORA SIN NOMBRE,315229,agebs\xalmimilulco,revisar,,285.1506900481369,250-500 m,19.21669662,-98.38173764,,,,MAQUILLADORA SIN NOMBRE Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,MAQUILLADORA SIN NOMBRE Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,manual,,maquilladora sin nombre 315229 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,285.1506900481369,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
11467703,21074315229002382000000000U5,MAQUILLA JUAREZ,315229,agebs\xalmimilulco,revisar,,308.5892652494291,250-500 m,19.21384453,-98.38440646,,,,MAQUILLA JUAREZ Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,MAQUILLA JUAREZ Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,manual,,maquilla juarez 315229 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,308.5892652494291,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
3326133,21074315229001451000000000U9,DESEBRADO DE BLUSA SIN NOMBRE,315229,agebs\xalmimilulco,revisar,,318.9127687124768,250-500 m,19.2125903,-98.38502297,,,,DESEBRADO DE BLUSA SIN NOMBRE Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,DESEBRADO DE BLUSA SIN NOMBRE Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,manual,,desebrado de blusa sin nombre 315229 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,318.9127687124768,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
10451408,21074812210000861000000000U8,STONE LAV,812210,agebs\xalmimilulco,revisar,,473.2490792656064,250-500 m,19.21703648,-98.37353551,,,,STONE LAV Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,STONE LAV Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,manual,,stone lav 812210 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,473.2490792656064,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
