id,clee,nombre_de_la_unidad_economica,raz_social,codigo_de_la_clase_actividad_scian,nombre_clase_actividad_scian,categoria_clasificacion,regla_decisiva,terminos_detectados,per_ocu,direccion_completa,tipo_vial,nom_vial,numero_ext,letra_ext,numero_int,letra_int,tipo_asent,nomb_asent,cod_postal,localidad,municipio,entidad,telefono,correoelec,www,latitud_revision,longitud_revision,url_busqueda_google_maps,url_punto_google_maps,url_openstreetmap,clasificacion_proceso_hidrico,decision_hidrica_automatica,prioridad_hidrica_maquila,causa_decision_hidrica,en_mh,antecedente_mh,nota_antecedente_mh,grupo_primera_revision,orden_revision,dictamen_documental_inicial,error_sectorial_evidente,causa_dictamen_inicial,posible_duplicado_geometria,ids_misma_geometria,estado_revision_manual,establecimiento_encontrado,objeto_maquila_observado,evidencia_textil,evidencia_mezclilla,evidencia_proceso_humedo,decision_manual,confianza_revision,fuentes_consultadas,fecha_revision,revisor,notas_revision
3428204,21074315229000241000000000U5,MAQUILA DE PANTALON DE MESCLILLA,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,maquila_textil,base_texto_textil,mesclilla|maquila|ropa|pantalon,0 a 5 personas,"CALLE CALLE DEL REFUGIO 22, PUEBLO SANTA ANA XALMIMINULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,CALLE DEL REFUGIO,22,,,,PUEBLO,SANTA ANA XALMIMINULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,,,,19.21390585,-98.38287639,https://www.google.com/maps/search/?api=1&query=MAQUILA+DE+PANTALON+DE+MESCLILLA+CALLE+DEL+REFUGIO+SANTA+ANA+XALMIMINULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21390585%2C-98.38287639,https://www.openstreetmap.org/?mlat=19.2139058&mlon=-98.3828764#map=19/19.2139058/-98.3828764,MEZCLILLA_DENIM_EXPLICITA,INCLUIR_POR_MEZCLILLA,inclusion_precautoria,"El nombre DENUE menciona explícitamente mezclilla, mesclilla, denim o jeans; se incluye por política precautoria, aunque el nombre no pruebe lavado",False,NO_APARECE_EN_MH,,mezclilla_explicita,0,GIRO_TEXTIL_RESPALDADO_POR_SCIAN_315,False,"Código SCIAN manufacturero 315 y descripción de confección de prendas; confirma pertenencia al universo productivo, no existencia actual ni proceso húmedo",True,3428204|3428202,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
3326083,21074315229001261000000000U2,MAQUILA DE PANTALON DE MESCLILLA,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,maquila_textil,base_texto_textil,mesclilla|maquila|ropa|pantalon,0 a 5 personas,"CALLE RIO XOCHIAC 1, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,RIO XOCHIAC,1,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,,,,19.2142724,-98.37712002,https://www.google.com/maps/search/?api=1&query=MAQUILA+DE+PANTALON+DE+MESCLILLA+RIO+XOCHIAC+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.2142724%2C-98.37712002,https://www.openstreetmap.org/?mlat=19.2142724&mlon=-98.3771200#map=19/19.2142724/-98.3771200,MEZCLILLA_DENIM_EXPLICITA,INCLUIR_POR_MEZCLILLA,inclusion_precautoria,"El nombre DENUE menciona explícitamente mezclilla, mesclilla, denim o jeans; se incluye por política precautoria, aunque el nombre no pruebe lavado",False,NO_APARECE_EN_MH,,mezclilla_explicita,1,GIRO_TEXTIL_RESPALDADO_POR_SCIAN_315,False,"Código SCIAN manufacturero 315 y descripción de confección de prendas; confirma pertenencia al universo productivo, no existencia actual ni proceso húmedo",False,,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
3428151,21074315229001371002000000U9,MAQUILA DE PANTALON DE MESCLILLA,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,maquila_textil,base_texto_textil,mesclilla|maquila|ropa|pantalon,0 a 5 personas,"CALLE CALLE DEL PRADO 47, COLONIA SANTA ANA XALMIMINULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,CALLE DEL PRADO,47,,,,COLONIA,SANTA ANA XALMIMINULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2271530278,,,19.2131021,-98.38392209,https://www.google.com/maps/search/?api=1&query=MAQUILA+DE+PANTALON+DE+MESCLILLA+CALLE+DEL+PRADO+SANTA+ANA+XALMIMINULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.2131021%2C-98.38392209,https://www.openstreetmap.org/?mlat=19.2131021&mlon=-98.3839221#map=19/19.2131021/-98.3839221,MEZCLILLA_DENIM_EXPLICITA,INCLUIR_POR_MEZCLILLA,inclusion_precautoria,"El nombre DENUE menciona explícitamente mezclilla, mesclilla, denim o jeans; se incluye por política precautoria, aunque el nombre no pruebe lavado",True,VISTO_BUENO_PREVIO_MH,"MH incluyó previamente este ID DENUE; usar como antecedente favorable, sin asumir que confirma proceso húmedo actual",mezclilla_explicita,1,GIRO_TEXTIL_RESPALDADO_POR_SCIAN_315,False,"Código SCIAN manufacturero 315 y descripción de confección de prendas; confirma pertenencia al universo productivo, no existencia actual ni proceso húmedo",False,,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
3326339,21074315229001291001000000U9,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,maquila_textil,base_texto_textil,mezclilla|pantalon de mezclilla|maquila|ropa|pantalon,6 a 10 personas,"PRIVADA NINGUNO 17, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",PRIVADA,NINGUNO,17,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,,,,19.20577329,-98.37807708,https://www.google.com/maps/search/?api=1&query=MAQUILA+DE+PANTALON+DE+MEZCLILLA+SIN+NOMBRE+NINGUNO+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.20577329%2C-98.37807708,https://www.openstreetmap.org/?mlat=19.2057733&mlon=-98.3780771#map=19/19.2057733/-98.3780771,MEZCLILLA_DENIM_EXPLICITA,INCLUIR_POR_MEZCLILLA,inclusion_precautoria,"El nombre DENUE menciona explícitamente mezclilla, mesclilla, denim o jeans; se incluye por política precautoria, aunque el nombre no pruebe lavado",True,VISTO_BUENO_PREVIO_MH,"MH incluyó previamente este ID DENUE; usar como antecedente favorable, sin asumir que confirma proceso húmedo actual",mezclilla_explicita,1,GIRO_TEXTIL_RESPALDADO_POR_SCIAN_315,False,"Código SCIAN manufacturero 315 y descripción de confección de prendas; confirma pertenencia al universo productivo, no existencia actual ni proceso húmedo",False,,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
10099363,21074315223001011000000000U4,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,maquila_textil,base_texto_textil,mezclilla|pantalon de mezclilla|maquila|ropa|pantalon,0 a 5 personas,"CALLE SAN ISIDRO 28, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,SAN ISIDRO,28,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2271136906,,,19.20441257,-98.38004211,https://www.google.com/maps/search/?api=1&query=MAQUILA+DE+PANTALON+DE+MEZCLILLA+SIN+NOMBRE+SAN+ISIDRO+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.20441257%2C-98.38004211,https://www.openstreetmap.org/?mlat=19.2044126&mlon=-98.3800421#map=19/19.2044126/-98.3800421,MEZCLILLA_DENIM_EXPLICITA,INCLUIR_POR_MEZCLILLA,inclusion_precautoria,"El nombre DENUE menciona explícitamente mezclilla, mesclilla, denim o jeans; se incluye por política precautoria, aunque el nombre no pruebe lavado",False,NO_APARECE_EN_MH,,mezclilla_explicita,1,GIRO_TEXTIL_RESPALDADO_POR_SCIAN_315,False,"Código SCIAN manufacturero 315 y descripción de confección de prendas; confirma pertenencia al universo productivo, no existencia actual ni proceso húmedo",False,,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
3326137,21074315229001301002000000U6,MAQUILA DE PANTALON FOSIL JEANS,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,maquila_textil,base_texto_textil,jeans|fosil|maquila|ropa|pantalon,6 a 10 personas,"CALLE REFORMA 15, PUEBLO SANTA ANA XALMIMINULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,REFORMA,15,,,,PUEBLO,SANTA ANA XALMIMINULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2227054744,JOSEROBERTO.JUAREZC@GMAIL.COM,,19.21180747,-98.38308957,https://www.google.com/maps/search/?api=1&query=MAQUILA+DE+PANTALON+FOSIL+JEANS+REFORMA+SANTA+ANA+XALMIMINULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21180747%2C-98.38308957,https://www.openstreetmap.org/?mlat=19.2118075&mlon=-98.3830896#map=19/19.2118075/-98.3830896,MEZCLILLA_DENIM_EXPLICITA,INCLUIR_POR_MEZCLILLA,inclusion_precautoria,"El nombre DENUE menciona explícitamente mezclilla, mesclilla, denim o jeans; se incluye por política precautoria, aunque el nombre no pruebe lavado",False,NO_APARECE_EN_MH,,mezclilla_explicita,1,GIRO_TEXTIL_RESPALDADO_POR_SCIAN_315,False,"Código SCIAN manufacturero 315 y descripción de confección de prendas; confirma pertenencia al universo productivo, no existencia actual ni proceso húmedo",False,,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
8088970,21074315229001671000000000U2,MAQUILADORA DE PANTALONES DE MEZCLILLA,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,maquila_textil,base_texto_textil,mezclilla|pantalones de mezclilla|maquiladora|ropa,0 a 5 personas,"CALLE IXTACUIXTLA NORTE 8, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,IXTACUIXTLA NORTE,8,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,,,,19.20894047,-98.37831876,https://www.google.com/maps/search/?api=1&query=MAQUILADORA+DE+PANTALONES+DE+MEZCLILLA+IXTACUIXTLA+NORTE+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.20894047%2C-98.37831876,https://www.openstreetmap.org/?mlat=19.2089405&mlon=-98.3783188#map=19/19.2089405/-98.3783188,MEZCLILLA_DENIM_EXPLICITA,INCLUIR_POR_MEZCLILLA,inclusion_precautoria,"El nombre DENUE menciona explícitamente mezclilla, mesclilla, denim o jeans; se incluye por política precautoria, aunque el nombre no pruebe lavado",False,NO_APARECE_EN_MH,,mezclilla_explicita,1,GIRO_TEXTIL_RESPALDADO_POR_SCIAN_315,False,"Código SCIAN manufacturero 315 y descripción de confección de prendas; confirma pertenencia al universo productivo, no existencia actual ni proceso húmedo",False,,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
8090455,21074315229001931000000000U0,TALLER DE MAQUILA DE MEZCLILLA,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,maquila_textil,base_texto_textil,mezclilla|maquila|maquila de mezclilla|ropa,0 a 5 personas,"PRIVADA SANDOVAL 52, PUEBLO SANTA ANA XALMININULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",PRIVADA,SANDOVAL,52,,,,PUEBLO,SANTA ANA XALMININULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,,,,19.21440504,-98.38432234,https://www.google.com/maps/search/?api=1&query=TALLER+DE+MAQUILA+DE+MEZCLILLA+SANDOVAL+SANTA+ANA+XALMININULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21440504%2C-98.38432234,https://www.openstreetmap.org/?mlat=19.2144050&mlon=-98.3843223#map=19/19.2144050/-98.3843223,MEZCLILLA_DENIM_EXPLICITA,INCLUIR_POR_MEZCLILLA,inclusion_precautoria,"El nombre DENUE menciona explícitamente mezclilla, mesclilla, denim o jeans; se incluye por política precautoria, aunque el nombre no pruebe lavado",True,VISTO_BUENO_PREVIO_MH,"MH incluyó previamente este ID DENUE; usar como antecedente favorable, sin asumir que confirma proceso húmedo actual",mezclilla_explicita,1,GIRO_TEXTIL_RESPALDADO_POR_SCIAN_315,False,"Código SCIAN manufacturero 315 y descripción de confección de prendas; confirma pertenencia al universo productivo, no existencia actual ni proceso húmedo",False,,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
8949535,21074315229001601000000000U9,TALLER DE MAQUILA DE MEZCLILLA SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,maquila_textil,base_texto_textil,mezclilla|maquila|maquila de mezclilla|ropa,0 a 5 personas,"BOULEVARD RIO XOCHIAC 101, PUEBLO SANTA ANA XALMININULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",BOULEVARD,RIO XOCHIAC,101,,,,PUEBLO,SANTA ANA XALMININULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2248200085,,,19.21556529,-98.38554393,https://www.google.com/maps/search/?api=1&query=TALLER+DE+MAQUILA+DE+MEZCLILLA+SIN+NOMBRE+RIO+XOCHIAC+SANTA+ANA+XALMININULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21556529%2C-98.38554393,https://www.openstreetmap.org/?mlat=19.2155653&mlon=-98.3855439#map=19/19.2155653/-98.3855439,MEZCLILLA_DENIM_EXPLICITA,INCLUIR_POR_MEZCLILLA,inclusion_precautoria,"El nombre DENUE menciona explícitamente mezclilla, mesclilla, denim o jeans; se incluye por política precautoria, aunque el nombre no pruebe lavado",False,NO_APARECE_EN_MH,,mezclilla_explicita,1,GIRO_TEXTIL_RESPALDADO_POR_SCIAN_315,False,"Código SCIAN manufacturero 315 y descripción de confección de prendas; confirma pertenencia al universo productivo, no existencia actual ni proceso húmedo",False,,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
3326348,21074315229001403002000000U0,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,maquila_textil,base_texto_textil,mezclilla|pantalon de mezclilla|maquila|ropa|pantalon,11 a 30 personas,"CALLE NINGUNO 15, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,NINGUNO,15,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2481462395,,,19.20615378,-98.38106673,https://www.google.com/maps/search/?api=1&query=TALLER+DE+MAQUILA+DE+PANTALON+DE+MEZCLILLA+NINGUNO+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.20615378%2C-98.38106673,https://www.openstreetmap.org/?mlat=19.2061538&mlon=-98.3810667#map=19/19.2061538/-98.3810667,MEZCLILLA_DENIM_EXPLICITA,INCLUIR_POR_MEZCLILLA,inclusion_precautoria,"El nombre DENUE menciona explícitamente mezclilla, mesclilla, denim o jeans; se incluye por política precautoria, aunque el nombre no pruebe lavado",False,NO_APARECE_EN_MH,,mezclilla_explicita,1,GIRO_TEXTIL_RESPALDADO_POR_SCIAN_315,False,"Código SCIAN manufacturero 315 y descripción de confección de prendas; confirma pertenencia al universo productivo, no existencia actual ni proceso húmedo",False,,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
