id,clee,nombre_de_la_unidad_economica,raz_social,codigo_de_la_clase_actividad_scian,nombre_clase_actividad_scian,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipocencom,nom_cencom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipounieco,latitud,longitud,fecha_alta,source_path,source_file,source_folder,layer_type,texto_normalizado,regla_base_saic_textil,regla_base_servicio_textil,regla_base_texto_textil,regla_exc_comercio_o_giro_no_textil,flag_candidato_textil,regla_exc_nombre_no_objetivo,regla_exc_actividad_no_objetivo,regla_inc_humedo_texto,regla_inc_humedo_scian,regla_inc_mezclilla_texto,regla_inc_material_textil,match_textil_explicito,match_lavado_no_textil,match_lavado_textil,match_produccion_textil,match_maquila_textil,match_maquila_senal_textil,match_maquila_sola,match_comercio_excluir,match_actividad_no_objetivo,categoria_filtro,relevancia_ambiental,universo_filtro,flag_nuevo_relevante,flag_nuevo_revisar,motivo_clasificacion,keywords_detectadas,grupos_keywords_detectados,etapas_productivas_detectadas,universos_keywords_detectados,niveles_evidencia_detectados,campos_coincidentes,flag_foco_estricto_tratamiento,flag_foco_estricto_mezclilla,flag_foco_estricto_material_textil,flag_foco_textil_estricto,reglas_candidato_activadas,reglas_inclusion_activadas,reglas_exclusion_activadas,decision_filtro_estricto,motivo_decision_filtro,categoria_foco_estricto,_id_key,en_universo_canonico_original,en_mh_filtrado,senales_foco_estricto,nota_metodologica_foco
3326123,21074314991000161011000000U1,CORTE DE PANTALON SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,CALLE,BENITO JUAREZ,CALLE,ALAMOS,PRIVADA,EX-HACIENDA DE ARRIBA,CALLE,FRONTERA,4,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0190,035,2271250290,,,Fijo,19.21366359,-98.3881916,2014-12,data\raw\denue2026\Denue26 area estudio.shp,Denue26 area estudio.shp,denue2026,denue2026,corte de pantalon sin nombre confecci�n en serie de otra ropa exterior de materiales textiles,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,produccion_textil,media,principal,True,False,Actividad manufacturera textil explicita por SCIAN y/o texto.,corte; pantalon; ropa,candidate_textile; production; textile_explicit,confeccion; corte,revisar,baja,nombre_unidad; actividad_denue; scian_saic,False,False,True,True,base_saic_textil; base_texto_textil,,,produccion_textil,Actividad manufacturera textil explicita por SCIAN y/o texto.,produccion_textil,3326123,False,False,sin senal estricta,Clasificacion directa SAIC -> DENUE -> filtro explicito. El resultado no sustituye al canonico original ni constituye evidencia de descarga o contaminacion.
11073004,21074315229002751000000000U1,CORTE DE PANTALON,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,PRIVADA,MAGNOLIA,CALLE,INDUSTRIA,CALLE,16 DE SEPTIEMBRE,CALLE,ZARAGOZA,3,,,,,,COLONIA,CENTRO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0190,014,2271064993,,,Fijo,19.21128246,-98.38003737,2024-11,data\raw\denue2026\Denue26 area estudio.shp,Denue26 area estudio.shp,denue2026,denue2026,corte de pantalon confecci�n en serie de otra ropa exterior de materiales textiles,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,produccion_textil,media,principal,True,False,Actividad manufacturera textil explicita por SCIAN y/o texto.,corte; pantalon; ropa,candidate_textile; production; textile_explicit,confeccion; corte,revisar,baja,nombre_unidad; actividad_denue; scian_saic,False,False,True,True,base_saic_textil; base_texto_textil,,,produccion_textil,Actividad manufacturera textil explicita por SCIAN y/o texto.,produccion_textil,11073004,False,False,sin senal estricta,Clasificacion directa SAIC -> DENUE -> filtro explicito. El resultado no sustituye al canonico original ni constituye evidencia de descarga o contaminacion.
8271528,21074315229001641000000000U5,DESHEBRADO DE PANTALON SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,XICOHTENCATL,CALLE,REAL DE PUEBLA,CALLE,PALMA,CALLE,PORFIRIO DIAZ,18,,,,,,COLONIA,CENTRO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0025,011,,,,Fijo,19.20887583,-98.38169434,2019-11,data\raw\denue2026\Denue26 area estudio.shp,Denue26 area estudio.shp,denue2026,denue2026,deshebrado de pantalon sin nombre confecci�n en serie de otra ropa exterior de materiales textiles,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,produccion_textil,media,principal,True,False,Actividad manufacturera textil explicita por SCIAN y/o texto.,deshebrado; pantalon; ropa,candidate_textile; denim; production; textile_explicit,confeccion; mezclilla_jeans,principal; revisar,alta; baja,nombre_unidad; actividad_denue; scian_saic,False,False,True,True,base_saic_textil; base_texto_textil,inc_mezclilla_texto,,produccion_textil,Actividad manufacturera textil explicita por SCIAN y/o texto.,produccion_textil,8271528,False,False,inc_mezclilla_texto,Clasificacion directa SAIC -> DENUE -> filtro explicito. El resultado no sustituye al canonico original ni constituye evidencia de descarga o contaminacion.
8089385,21074315229001861000000000U9,DESHEBRADO SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,PRIVADA,PRIVADA DEL VOLCAN,CALLE,SAN ANTONIO,CALLEJON,VOLCANCITO,CALLE,AQUILES SERDAN SUR,7,,,,,,COLONIA,SAN ANTONIO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0025,046,,,,Fijo,19.20865442,-98.38539492999999,2019-11,data\raw\denue2026\Denue26 area estudio.shp,Denue26 area estudio.shp,denue2026,denue2026,deshebrado sin nombre confecci�n en serie de otra ropa exterior de materiales textiles,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,produccion_textil,media,principal,True,False,Actividad manufacturera textil explicita por SCIAN y/o texto.,deshebrado; ropa,candidate_textile; denim; production; textile_explicit,confeccion; mezclilla_jeans,principal; revisar,alta; baja,nombre_unidad; actividad_denue; scian_saic,False,False,True,True,base_saic_textil; base_texto_textil,inc_mezclilla_texto,,produccion_textil,Actividad manufacturera textil explicita por SCIAN y/o texto.,produccion_textil,8089385,False,False,inc_mezclilla_texto,Clasificacion directa SAIC -> DENUE -> filtro explicito. El resultado no sustituye al canonico original ni constituye evidencia de descarga o contaminacion.
11137575,21074314991000311000000000U2,BORDADOS,,314991,"Confecci�n, bordado y deshilado de productos textiles",0 a 5 personas,CALLE,16 DE SEPTIEMBRE,CALLE,IXTACUIXTLA NORTE,CALLE,ZARAGOZA,CALLE,IXTACUIXTLA NORTE,,SN,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0190,020,2482252082,,,Fijo,19.21195405,-98.37814439,2024-11,data\raw\denue2026\Denue26 area estudio.shp,Denue26 area estudio.shp,denue2026,denue2026,"bordados confecci�n, bordado y deshilado de productos textiles",True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,produccion_textil,media,principal,True,False,Actividad manufacturera textil explicita por SCIAN y/o texto.,bordado; bordados,candidate_textile; production; textile_explicit,bordado,revisar,media,nombre_unidad; actividad_denue; scian_saic,False,False,True,True,base_saic_textil; base_texto_textil,,,produccion_textil,Actividad manufacturera textil explicita por SCIAN y/o texto.,produccion_textil,11137575,False,False,sin senal estricta,Clasificacion directa SAIC -> DENUE -> filtro explicito. El resultado no sustituye al canonico original ni constituye evidencia de descarga o contaminacion.
10178860,21074314991000321000000000U1,BORDADORA SIN NOMBRE,,314991,"Confecci�n, bordado y deshilado de productos textiles",0 a 5 personas,CALLE,RAFAEL ESPINOSA FLORES,CALLE,PORFIRIO DIAZ,CALLE,AQUILES SERDAN SUR,PRIVADA,CHAPULTEPEC,,SN,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0025,017,,,,Fijo,19.20481154,-98.38520812,2024-11,data\raw\denue2026\Denue26 area estudio.shp,Denue26 area estudio.shp,denue2026,denue2026,"bordadora sin nombre confecci�n, bordado y deshilado de productos textiles",True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,produccion_textil,media,principal,True,False,Actividad manufacturera textil explicita por SCIAN y/o texto.,bordado,candidate_textile; production; textile_explicit,bordado,revisar,media,actividad_denue; scian_saic,False,False,True,True,base_saic_textil; base_texto_textil,,,produccion_textil,Actividad manufacturera textil explicita por SCIAN y/o texto.,produccion_textil,10178860,False,False,sin senal estricta,Clasificacion directa SAIC -> DENUE -> filtro explicito. El resultado no sustituye al canonico original ni constituye evidencia de descarga o contaminacion.
10939082,21074315223001191000000000U4,CREACIONES MARY,,315223,Confecci�n en serie de uniformes,0 a 5 personas,CALLE,REFORMA,CALLE,VIOLETAS PONIENTE,CALLE,MORELOS,CALLE,MELCHOR OCAMPO,,SN,,,,,PUEBLO,SANTA ANA XALMIMINULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0190,009,2271056957,,,Fijo,19.21147172,-98.38285654,2024-11,data\raw\denue2026\Denue26 area estudio.shp,Denue26 area estudio.shp,denue2026,denue2026,creaciones mary confecci�n en serie de uniformes,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,produccion_textil,media,principal,True,False,Actividad manufacturera textil explicita por SCIAN y/o texto.,,,,,,scian_saic,False,False,True,True,base_saic_textil,,,produccion_textil,Actividad manufacturera textil explicita por SCIAN y/o texto.,produccion_textil,10939082,False,False,sin senal estricta,Clasificacion directa SAIC -> DENUE -> filtro explicito. El resultado no sustituye al canonico original ni constituye evidencia de descarga o contaminacion.
11304210,21074315223000561000000000U9,DESHEBRADO,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,PRIVADA,PRIVADA DE LA GLORIA,CALLE,LOS REYES,CALLE,GLORIA,CALLE,NINGUNO,1,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0025,052,,,,Fijo,19.20863774,-98.37699364999999,2024-11,data\raw\denue2026\Denue26 area estudio.shp,Denue26 area estudio.shp,denue2026,denue2026,deshebrado confecci�n en serie de otra ropa exterior de materiales textiles,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,produccion_textil,media,principal,True,False,Actividad manufacturera textil explicita por SCIAN y/o texto.,deshebrado; ropa,candidate_textile; denim; production; textile_explicit,confeccion; mezclilla_jeans,principal; revisar,alta; baja,nombre_unidad; actividad_denue; scian_saic,False,False,True,True,base_saic_textil; base_texto_textil,inc_mezclilla_texto,,produccion_textil,Actividad manufacturera textil explicita por SCIAN y/o texto.,produccion_textil,11304210,False,False,inc_mezclilla_texto,Clasificacion directa SAIC -> DENUE -> filtro explicito. El resultado no sustituye al canonico original ni constituye evidencia de descarga o contaminacion.
11539121,21074315223000781000000000U3,DESHEBRA PANTALONES,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,PRIVADA,DIVISION DEL NORTE,CALLE,DIVISION DEL NORTE,CALLE,10 DE SEPTIEMBRE,PRIVADA,NINGUNO,,SN,,,,,COLONIA,SANTA CRUZ,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0203,059,2271121709,,,Fijo,19.21983429,-98.38307405999998,2024-11,data\raw\denue2026\Denue26 area estudio.shp,Denue26 area estudio.shp,denue2026,denue2026,deshebra pantalones confecci�n en serie de otra ropa exterior de materiales textiles,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,produccion_textil,media,principal,True,False,Actividad manufacturera textil explicita por SCIAN y/o texto.,ropa,candidate_textile; textile_explicit,confeccion,revisar,baja,actividad_denue; scian_saic,False,False,True,True,base_saic_textil; base_texto_textil,,,produccion_textil,Actividad manufacturera textil explicita por SCIAN y/o texto.,produccion_textil,11539121,False,False,sin senal estricta,Clasificacion directa SAIC -> DENUE -> filtro explicito. El resultado no sustituye al canonico original ni constituye evidencia de descarga o contaminacion.
8089451,21074315229001901000000000U3,DESEBRADORA SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,SAN ISIDRO,CALLE,IXTACUIXTLA SUR,CALLE,PORFIRIO DIAZ,CALLE,ADOLFO LOPEZ MATEOS,25,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0167,006,,,,Fijo,19.20447416,-98.38030722,2019-11,data\raw\denue2026\Denue26 area estudio.shp,Denue26 area estudio.shp,denue2026,denue2026,desebradora sin nombre confecci�n en serie de otra ropa exterior de materiales textiles,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,produccion_textil,media,principal,True,False,Actividad manufacturera textil explicita por SCIAN y/o texto.,ropa,candidate_textile; textile_explicit,confeccion,revisar,baja,actividad_denue; scian_saic,False,False,True,True,base_saic_textil; base_texto_textil,,,produccion_textil,Actividad manufacturera textil explicita por SCIAN y/o texto.,produccion_textil,8089451,False,False,sin senal estricta,Clasificacion directa SAIC -> DENUE -> filtro explicito. El resultado no sustituye al canonico original ni constituye evidencia de descarga o contaminacion.
